"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","EU_Forest_net",154.003862240155
"RCP2.6_MFM","noAFM","EU_Energy_crops",33.62441029853
"RCP2.6_MFM","noAFM","Import_Energy_plantations",7.8233409425918
"RCP2.6_MFM","noAFM","Import_Forest",139.269998693533
"RCP2.6_SFM","noAFM","EU_Forest_net",154.001862029743
"RCP2.6_SFM","noAFM","EU_Energy_crops",33.62286468943
"RCP2.6_SFM","noAFM","Import_Energy_plantations",7.802335906429
"RCP2.6_SFM","noAFM","Import_Forest",139.496940500681
"REF_MFM","noAFM","EU_Forest_net",146.05077198127
"REF_MFM","noAFM","EU_Energy_crops",9.834919806057
"REF_MFM","noAFM","Import_Energy_plantations",1.0760553180415
"REF_MFM","noAFM","Import_Forest",138.851186898761
"REF_SFM","noAFM","EU_Forest_net",146.106993777109
"REF_SFM","noAFM","EU_Energy_crops",9.836049854615
"REF_SFM","noAFM","Import_Energy_plantations",1.6999616821856
"REF_SFM","noAFM","Import_Forest",137.66344113399
"RCP2.6_MFM","AFMfree","EU_Forest_net",155.846993695093
"RCP2.6_MFM","AFMfree","EU_Energy_crops",32.756214943966
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",6.8987507873414
"RCP2.6_MFM","AFMfree","Import_Forest",96.730737725242
"RCP2.6_SFM","AFMfree","EU_Forest_net",154.623183903274
"RCP2.6_SFM","AFMfree","EU_Energy_crops",32.904627581265
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",6.778858474553
"RCP2.6_SFM","AFMfree","Import_Forest",99.5066515233978
"REF_MFM","AFMfree","EU_Forest_net",149.945449452629
"REF_MFM","AFMfree","EU_Energy_crops",9.394307633919
"REF_MFM","AFMfree","Import_Energy_plantations",1.480826048681
"REF_MFM","AFMfree","Import_Forest",92.77441338369
"REF_SFM","AFMfree","EU_Forest_net",145.697713868873
"REF_SFM","AFMfree","EU_Energy_crops",9.389392334522
"REF_SFM","AFMfree","Import_Energy_plantations",1.12735394888
"REF_SFM","AFMfree","Import_Forest",95.5511333682692
"RCP2.6_MFM","AFM25","EU_Forest_net",155.954258485452
"RCP2.6_MFM","AFM25","EU_Energy_crops",33.544898255513
"RCP2.6_MFM","AFM25","Import_Energy_plantations",7.99773191749
"RCP2.6_MFM","AFM25","Import_Forest",104.277808583855
"RCP2.6_SFM","AFM25","EU_Forest_net",137.538349081895
"RCP2.6_SFM","AFM25","EU_Energy_crops",34.19496427237
"RCP2.6_SFM","AFM25","Import_Energy_plantations",9.058733190316
"RCP2.6_SFM","AFM25","Import_Forest",128.479397143003
"REF_MFM","AFM25","EU_Forest_net",150.756500010131
"REF_MFM","AFM25","EU_Energy_crops",9.461366302075
"REF_MFM","AFM25","Import_Energy_plantations",1.313080642931
"REF_MFM","AFM25","Import_Forest",100.112823719356
"REF_SFM","AFM25","EU_Forest_net",131.876226250639
"REF_SFM","AFM25","EU_Energy_crops",9.725065047269
"REF_SFM","AFM25","Import_Energy_plantations",1.517541062082
"REF_SFM","AFM25","Import_Forest",124.439563932712
"RCP2.6_MFM","AFM50","EU_Forest_net",154.751405349593
"RCP2.6_MFM","AFM50","EU_Energy_crops",33.919624614198
"RCP2.6_MFM","AFM50","Import_Energy_plantations",9.03756471382
"RCP2.6_MFM","AFM50","Import_Forest",122.617393778066
"RCP2.6_SFM","AFM50","EU_Forest_net",119.762808915063
"RCP2.6_SFM","AFM50","EU_Energy_crops",35.088865758904
"RCP2.6_SFM","AFM50","Import_Energy_plantations",11.228422379076
"RCP2.6_SFM","AFM50","Import_Forest",166.875027967002
"REF_MFM","AFM50","EU_Forest_net",150.993625119661
"REF_MFM","AFM50","EU_Energy_crops",9.650440503546
"REF_MFM","AFM50","Import_Energy_plantations",1.421132545982
"REF_MFM","AFM50","Import_Forest",113.73034897052
"REF_SFM","AFM50","EU_Forest_net",115.092391349081
"REF_SFM","AFM50","EU_Energy_crops",10.595959766407
"REF_SFM","AFM50","Import_Energy_plantations",1.74985753333
"REF_SFM","AFM50","Import_Forest",164.850203308383
"RCP2.6_MFM","AFM75","EU_Forest_net",154.103742209162
"RCP2.6_MFM","AFM75","EU_Energy_crops",34.703528987527
"RCP2.6_MFM","AFM75","Import_Energy_plantations",9.7542111776772
"RCP2.6_MFM","AFM75","Import_Forest",141.824486799674
"RCP2.6_SFM","AFM75","EU_Forest_net",100.162904875747
"RCP2.6_SFM","AFM75","EU_Energy_crops",35.970103319866
"RCP2.6_SFM","AFM75","Import_Energy_plantations",13.970816541837
"RCP2.6_SFM","AFM75","Import_Forest",212.392463358387
"REF_MFM","AFM75","EU_Forest_net",149.924521096368
"REF_MFM","AFM75","EU_Energy_crops",9.989883651902
"REF_MFM","AFM75","Import_Energy_plantations",1.11265777817
"REF_MFM","AFM75","Import_Forest",139.51333274751
"REF_SFM","AFM75","EU_Forest_net",97.0622240077613
"REF_SFM","AFM75","EU_Energy_crops",11.271915328844
"REF_SFM","AFM75","Import_Energy_plantations",2.17705319806
"REF_SFM","AFM75","Import_Forest",216.31837918711
"RCP2.6_MFM","AFM100","EU_Forest_net",153.62201189297
"RCP2.6_MFM","AFM100","EU_Energy_crops",34.727551342687
"RCP2.6_MFM","AFM100","Import_Energy_plantations",11.252864744268
"RCP2.6_MFM","AFM100","Import_Forest",156.78412589801
"RCP2.6_SFM","AFM100","EU_Forest_net",81.6138527817676
"RCP2.6_SFM","AFM100","EU_Energy_crops",36.735590815811
"RCP2.6_SFM","AFM100","Import_Energy_plantations",15.892737791457
"RCP2.6_SFM","AFM100","Import_Forest",257.47461269548
"REF_MFM","AFM100","EU_Forest_net",149.750221372834
"REF_MFM","AFM100","EU_Energy_crops",10.338434812529
"REF_MFM","AFM100","Import_Energy_plantations",1.660817360031
"REF_MFM","AFM100","Import_Forest",155.63805571754
"REF_SFM","AFM100","EU_Forest_net",78.1723210934001
"REF_SFM","AFM100","EU_Energy_crops",12.089707093009
"REF_SFM","AFM100","Import_Energy_plantations",3.92776825764
"REF_SFM","AFM100","Import_Forest",266.82262417368
