"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","For_ClearCut_EU",103.814735045721
"RCP2.6_MFM","noAFM","For_Retention_EU",0
"RCP2.6_MFM","noAFM","For_TimberPlant_EU",0
"RCP2.6_MFM","noAFM","For_SelectionSystem_EU",2.379966818474
"RCP2.6_MFM","noAFM","ForOther_Extensive_EU",0.984046551952549
"RCP2.6_MFM","noAFM","ForOther_Intensive_EU",46.8251138240077
"RCP2.6_MFM","noAFM","EP_EU",19.771580851
"RCP2.6_MFM","noAFM","EP_conv_EU",13.85282944753
"RCP2.6_SFM","noAFM","For_ClearCut_EU",103.827170307421
"RCP2.6_SFM","noAFM","For_Retention_EU",0
"RCP2.6_SFM","noAFM","For_TimberPlant_EU",0
"RCP2.6_SFM","noAFM","For_SelectionSystem_EU",2.373106505438
"RCP2.6_SFM","noAFM","ForOther_Extensive_EU",0.983890633942053
"RCP2.6_SFM","noAFM","ForOther_Intensive_EU",46.8176945829421
"RCP2.6_SFM","noAFM","EP_EU",19.771580851
"RCP2.6_SFM","noAFM","EP_conv_EU",13.85128383843
"REF_MFM","noAFM","For_ClearCut_EU",77.7136107401909
"REF_MFM","noAFM","For_Retention_EU",0
"REF_MFM","noAFM","For_TimberPlant_EU",0
"REF_MFM","noAFM","For_SelectionSystem_EU",22.707860388332
"REF_MFM","noAFM","ForOther_Extensive_EU",10.023990702251
"REF_MFM","noAFM","ForOther_Intensive_EU",35.605310150496
"REF_MFM","noAFM","EP_EU",5.109364748
"REF_MFM","noAFM","EP_conv_EU",4.725555058057
"REF_SFM","noAFM","For_ClearCut_EU",77.7519331216849
"REF_SFM","noAFM","For_Retention_EU",0
"REF_SFM","noAFM","For_TimberPlant_EU",0
"REF_SFM","noAFM","For_SelectionSystem_EU",22.673907253737
"REF_SFM","noAFM","ForOther_Extensive_EU",10.0353818359908
"REF_SFM","noAFM","ForOther_Intensive_EU",35.6457715656966
"REF_SFM","noAFM","EP_EU",5.109364748
"REF_SFM","noAFM","EP_conv_EU",4.726685106615
"RCP2.6_MFM","AFMfree","For_ClearCut_EU",74.492719742558
"RCP2.6_MFM","AFMfree","For_Retention_EU",26.034756454828
"RCP2.6_MFM","AFMfree","For_TimberPlant_EU",0
"RCP2.6_MFM","AFMfree","For_SelectionSystem_EU",4.766791899131
"RCP2.6_MFM","AFMfree","ForOther_Extensive_EU",1.04051681572922
"RCP2.6_MFM","AFMfree","ForOther_Intensive_EU",49.5122087828463
"RCP2.6_MFM","AFMfree","EP_EU",19.771580851
"RCP2.6_MFM","AFMfree","EP_conv_EU",12.984634092966
"RCP2.6_SFM","AFMfree","For_ClearCut_EU",74.501803935458
"RCP2.6_SFM","AFMfree","For_Retention_EU",26.016428859059
"RCP2.6_SFM","AFMfree","For_TimberPlant_EU",0
"RCP2.6_SFM","AFMfree","For_SelectionSystem_EU",3.71553333786
"RCP2.6_SFM","AFMfree","ForOther_Extensive_EU",1.03715548280744
"RCP2.6_SFM","AFMfree","ForOther_Intensive_EU",49.3522622880894
"RCP2.6_SFM","AFMfree","EP_EU",19.771580851
"RCP2.6_SFM","AFMfree","EP_conv_EU",13.133046730265
"REF_MFM","AFMfree","For_ClearCut_EU",61.217016077732
"REF_MFM","AFMfree","For_Retention_EU",20.03823435665
"REF_MFM","AFMfree","For_TimberPlant_EU",0
"REF_MFM","AFMfree","For_SelectionSystem_EU",20.434542809367
"REF_MFM","AFMfree","ForOther_Extensive_EU",10.6009568441527
"REF_MFM","AFMfree","ForOther_Intensive_EU",37.6546993647268
"REF_MFM","AFMfree","EP_EU",5.109364748
"REF_MFM","AFMfree","EP_conv_EU",4.284942885919
"REF_SFM","AFMfree","For_ClearCut_EU",61.942363143112
"REF_SFM","AFMfree","For_Retention_EU",20.631588528921
"REF_SFM","AFMfree","For_TimberPlant_EU",0
"REF_SFM","AFMfree","For_SelectionSystem_EU",14.899080053833
"REF_SFM","AFMfree","ForOther_Extensive_EU",10.5941523623282
"REF_SFM","AFMfree","ForOther_Intensive_EU",37.6305297806788
"REF_SFM","AFMfree","EP_EU",5.109364748
"REF_SFM","AFMfree","EP_conv_EU",4.280027586522
"RCP2.6_MFM","AFM25","For_ClearCut_EU",65.081691779058
"RCP2.6_MFM","AFM25","For_Retention_EU",20.952916754359
"RCP2.6_MFM","AFM25","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM25","For_SelectionSystem_EU",19.898486827211
"RCP2.6_MFM","AFM25","ForOther_Extensive_EU",1.02957576980143
"RCP2.6_MFM","AFM25","ForOther_Intensive_EU",48.9915873550229
"RCP2.6_MFM","AFM25","EP_EU",19.771580851
"RCP2.6_MFM","AFM25","EP_conv_EU",13.773317404513
"RCP2.6_SFM","AFM25","For_ClearCut_EU",67.153966838158
"RCP2.6_SFM","AFM25","For_Retention_EU",20.230298561567
"RCP2.6_SFM","AFM25","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM25","For_SelectionSystem_EU",1.624610308295
"RCP2.6_SFM","AFM25","ForOther_Extensive_EU",0.998872612823536
"RCP2.6_SFM","AFM25","ForOther_Intensive_EU",47.5306007610516
"RCP2.6_SFM","AFM25","EP_EU",19.771580851
"RCP2.6_SFM","AFM25","EP_conv_EU",14.42338342137
"REF_MFM","AFM25","For_ClearCut_EU",53.397420034609
"REF_MFM","AFM25","For_Retention_EU",17.593355229928
"REF_MFM","AFM25","For_TimberPlant_EU",0
"REF_MFM","AFM25","For_SelectionSystem_EU",32.055875881758
"REF_MFM","AFM25","ForOther_Extensive_EU",10.4810521414794
"REF_MFM","AFM25","ForOther_Intensive_EU",37.2287967223566
"REF_MFM","AFM25","EP_EU",5.109364748
"REF_MFM","AFM25","EP_conv_EU",4.352001554075
"REF_SFM","AFM25","For_ClearCut_EU",57.197066414759
"REF_SFM","AFM25","For_Retention_EU",17.904918393921
"REF_SFM","AFM25","For_TimberPlant_EU",0
"REF_SFM","AFM25","For_SelectionSystem_EU",10.196480300228
"REF_SFM","AFM25","ForOther_Extensive_EU",10.2323514910544
"REF_SFM","AFM25","ForOther_Intensive_EU",36.3454096506763
"REF_SFM","AFM25","EP_EU",5.109364748
"REF_SFM","AFM25","EP_conv_EU",4.615700299269
"RCP2.6_MFM","AFM50","For_ClearCut_EU",54.671160653658
"RCP2.6_MFM","AFM50","For_Retention_EU",15.230740548398
"RCP2.6_MFM","AFM50","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM50","For_SelectionSystem_EU",36.285798640478
"RCP2.6_MFM","AFM50","ForOther_Extensive_EU",0.99957720609313
"RCP2.6_MFM","AFM50","ForOther_Intensive_EU",47.5641283009662
"RCP2.6_MFM","AFM50","EP_EU",19.771580851
"RCP2.6_MFM","AFM50","EP_conv_EU",14.148043763198
"RCP2.6_SFM","AFM50","For_ClearCut_EU",57.484023504158
"RCP2.6_SFM","AFM50","For_Retention_EU",14.143641618232
"RCP2.6_SFM","AFM50","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM50","For_SelectionSystem_EU",1.210489682512
"RCP2.6_SFM","AFM50","ForOther_Extensive_EU",0.965840933318059
"RCP2.6_SFM","AFM50","ForOther_Intensive_EU",45.9588131768432
"RCP2.6_SFM","AFM50","EP_EU",19.771580851
"RCP2.6_SFM","AFM50","EP_conv_EU",15.317284907904
"REF_MFM","AFM50","For_ClearCut_EU",44.447240734559
"REF_MFM","AFM50","For_Retention_EU",14.276382315117
"REF_MFM","AFM50","For_TimberPlant_EU",0
"REF_MFM","AFM50","For_SelectionSystem_EU",45.418921027992
"REF_MFM","AFM50","ForOther_Extensive_EU",10.2923952806319
"REF_MFM","AFM50","ForOther_Intensive_EU",36.558685761361
"REF_MFM","AFM50","EP_EU",5.109364748
"REF_MFM","AFM50","EP_conv_EU",4.541075755546
"REF_SFM","AFM50","For_ClearCut_EU",49.038693531505
"REF_SFM","AFM50","For_Retention_EU",12.93055147474
"REF_SFM","AFM50","For_TimberPlant_EU",0
"REF_SFM","AFM50","For_SelectionSystem_EU",8.257252269276
"REF_SFM","AFM50","ForOther_Extensive_EU",9.85628306015277
"REF_SFM","AFM50","ForOther_Intensive_EU",35.0096110134072
"REF_SFM","AFM50","EP_EU",5.109364748
"REF_SFM","AFM50","EP_conv_EU",5.486595018407
"RCP2.6_MFM","AFM75","For_ClearCut_EU",45.389364822188
"RCP2.6_MFM","AFM75","For_Retention_EU",8.752984566083
"RCP2.6_MFM","AFM75","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM75","For_SelectionSystem_EU",52.549068938569
"RCP2.6_MFM","AFM75","ForOther_Extensive_EU",0.975878544395362
"RCP2.6_MFM","AFM75","ForOther_Intensive_EU",46.4364453379266
"RCP2.6_MFM","AFM75","EP_EU",19.771580851
"RCP2.6_MFM","AFM75","EP_conv_EU",14.931948136527
"RCP2.6_SFM","AFM75","For_ClearCut_EU",48.268390245299
"RCP2.6_SFM","AFM75","For_Retention_EU",7.111088479527
"RCP2.6_SFM","AFM75","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM75","For_SelectionSystem_EU",0.822267874200002
"RCP2.6_SFM","AFM75","ForOther_Extensive_EU",0.904843881002341
"RCP2.6_SFM","AFM75","ForOther_Intensive_EU",43.0563143957184
"RCP2.6_SFM","AFM75","EP_EU",19.771580851
"RCP2.6_SFM","AFM75","EP_conv_EU",16.198522468866
"REF_MFM","AFM75","For_ClearCut_EU",36.243493947549
"REF_MFM","AFM75","For_Retention_EU",8.444390810914
"REF_MFM","AFM75","For_TimberPlant_EU",0
"REF_MFM","AFM75","For_SelectionSystem_EU",60.163131146714
"REF_MFM","AFM75","ForOther_Extensive_EU",9.90189173427054
"REF_MFM","AFM75","ForOther_Intensive_EU",35.1716134569202
"REF_MFM","AFM75","EP_EU",5.109364748
"REF_MFM","AFM75","EP_conv_EU",4.880518903902
"REF_SFM","AFM75","For_ClearCut_EU",39.730757533622
"REF_SFM","AFM75","For_Retention_EU",7.012303585095
"REF_SFM","AFM75","For_TimberPlant_EU",0
"REF_SFM","AFM75","For_SelectionSystem_EU",7.410550853875
"REF_SFM","AFM75","ForOther_Extensive_EU",9.42630108392598
"REF_SFM","AFM75","ForOther_Intensive_EU",33.4823109512433
"REF_SFM","AFM75","EP_EU",5.109364748
"REF_SFM","AFM75","EP_conv_EU",6.162550580844
"RCP2.6_MFM","AFM100","For_ClearCut_EU",37.661859820171
"RCP2.6_MFM","AFM100","For_Retention_EU",0
"RCP2.6_MFM","AFM100","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM100","For_SelectionSystem_EU",69.206529187729
"RCP2.6_MFM","AFM100","ForOther_Extensive_EU",0.962320631225239
"RCP2.6_MFM","AFM100","ForOther_Intensive_EU",45.7913022538446
"RCP2.6_MFM","AFM100","EP_EU",19.771580851
"RCP2.6_MFM","AFM100","EP_conv_EU",14.955970491687
"RCP2.6_SFM","AFM100","For_ClearCut_EU",38.817510365842
"RCP2.6_SFM","AFM100","For_Retention_EU",0
"RCP2.6_SFM","AFM100","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM100","For_SelectionSystem_EU",0.564931984359
"RCP2.6_SFM","AFM100","ForOther_Extensive_EU",0.869240821057639
"RCP2.6_SFM","AFM100","ForOther_Intensive_EU",41.3621696105089
"RCP2.6_SFM","AFM100","EP_EU",19.771580851
"RCP2.6_SFM","AFM100","EP_conv_EU",16.964009964811
"REF_MFM","AFM100","For_ClearCut_EU",29.564457875459
"REF_MFM","AFM100","For_Retention_EU",0
"REF_MFM","AFM100","For_TimberPlant_EU",0
"REF_MFM","AFM100","For_SelectionSystem_EU",75.6641232152759
"REF_MFM","AFM100","ForOther_Extensive_EU",9.78065628655941
"REF_MFM","AFM100","ForOther_Intensive_EU",34.7409839955402
"REF_MFM","AFM100","EP_EU",5.109364748
"REF_MFM","AFM100","EP_conv_EU",5.229070064529
"REF_SFM","AFM100","For_ClearCut_EU",32.043923640542
"REF_SFM","AFM100","For_Retention_EU",0
"REF_SFM","AFM100","For_TimberPlant_EU",0
"REF_SFM","AFM100","For_SelectionSystem_EU",5.102884655622
"REF_SFM","AFM100","ForOther_Extensive_EU",9.01261582248891
"REF_SFM","AFM100","ForOther_Intensive_EU",32.0128969747471
"REF_SFM","AFM100","EP_EU",5.109364748
"REF_SFM","AFM100","EP_conv_EU",6.980342345009
