"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",282.907933709591,0,0
"RCP2.6_SFM","noAFM",283.118527152655,0,0
"REF_MFM","noAFM",245.87506923435,0,0
"REF_SFM","noAFM",244.727201955817,0,0
"RCP2.6_MFM","AFMfree",259.025197140276,0,0
"RCP2.6_SFM","AFMfree",259.33757669254,0,0
"REF_MFM","AFMfree",221.603387973221,0,0
"REF_SFM","AFMfree",218.076121546239,0,0
"RCP2.6_MFM","AFM25",265.467388109643,0,0
"RCP2.6_SFM","AFM25",263.211462447304,0,0
"REF_MFM","AFM25",225.68755596903,0,0
"REF_SFM","AFM25",219.133305729942,0,0
"RCP2.6_MFM","AFM50",276.196367691424,0,0
"RCP2.6_SFM","AFM50",271.025565327032,0,0
"REF_MFM","AFM50",232.547459957301,0,0
"REF_SFM","AFM50",224.457641477492,0,0
"RCP2.6_MFM","AFM75",287.480382938397,0,0
"RCP2.6_SFM","AFM75",282.424103551704,0,0
"REF_MFM","AFM75",244.130165807975,0,0
"REF_SFM","AFM75",237.394082987357,0,0
"RCP2.6_MFM","AFM100",297.746453172644,0,0
"RCP2.6_SFM","AFM100",298.14712019752,0,0
"REF_MFM","AFM100",253.197168446694,0,0
"REF_SFM","AFM100",250.054474298304,0,0
