"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",312.501219225538,0,0
"RCP2.6_SFM","noAFM",314.333279121556,0,0
"REF_MFM","noAFM",275.621897208737,0,0
"REF_SFM","noAFM",271.517758442427,0,0
"RCP2.6_MFM","AFMfree",277.475287061321,0,0
"RCP2.6_SFM","AFMfree",283.004111708668,0,0
"REF_MFM","AFMfree",247.475240097608,0,0
"REF_SFM","AFMfree",264.295069235893,0,0
"RCP2.6_MFM","AFM25",288.938085554371,0,0
"RCP2.6_SFM","AFM25",307.787876117923,0,0
"REF_MFM","AFM25",253.503999138385,0,0
"REF_SFM","AFM25",265.801918029713,0,0
"RCP2.6_MFM","AFM50",299.48642185328,0,0
"RCP2.6_SFM","AFM50",316.899875352502,0,0
"REF_MFM","AFM50",263.551464359555,0,0
"REF_SFM","AFM50",275.609224679161,0,0
"RCP2.6_MFM","AFM75",314.371282701883,0,0
"RCP2.6_SFM","AFM75",349.598111340842,0,0
"REF_MFM","AFM75",274.35679137411,0,0
"REF_SFM","AFM75",299.255790567449,0,0
"RCP2.6_MFM","AFM100",328.787577702213,0,0
"RCP2.6_SFM","AFM100",364.76689704478,0,0
"REF_MFM","AFM100",290.1412772848,0,0
"REF_SFM","AFM100",333.4258096297,0,0
