"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Sum",167.883326835673
"RCP2.6_SFM","noAFM","Sum",168.361081941286
"REF_MFM","noAFM","Sum",164.541837293641
"REF_SFM","noAFM","Sum",165.094250913399
"RCP2.6_MFM","AFMfree","Sum",166.054997782541
"RCP2.6_SFM","AFMfree","Sum",183.271775572231
"REF_MFM","AFMfree","Sum",161.144849339969
"REF_SFM","AFMfree","Sum",174.897316129226
"RCP2.6_MFM","AFM25","Sum",167.685876983781
"RCP2.6_SFM","AFM25","Sum",170.325338655653
"REF_MFM","AFM25","Sum",162.867350934374
"REF_SFM","AFM25","Sum",161.773703919739
"RCP2.6_MFM","AFM50","Sum",167.677300837771
"RCP2.6_SFM","AFM50","Sum",151.655376953701
"REF_MFM","AFM50","Sum",163.34820845693
"REF_SFM","AFM50","Sum",146.119274027289
"RCP2.6_MFM","AFM75","Sum",167.777088307635
"RCP2.6_SFM","AFM75","Sum",131.805988604339
"REF_MFM","AFM75","Sum",163.814106437659
"REF_SFM","AFM75","Sum",128.708642723032
"RCP2.6_MFM","AFM100","Sum",167.437419859243
"RCP2.6_SFM","AFM100","Sum",112.318588098313
"REF_MFM","AFM100","Sum",165.739771205665
"REF_SFM","AFM100","Sum",107.95234539859
