"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Clear_cut",137.568402799209
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",19.518003307096
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",41.1326445057685
"RCP2.6_SFM","noAFM","Clear_cut",138.650627185109
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",19.360138874901
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",40.5288465422759
"REF_MFM","noAFM","Clear_cut",121.827795407992
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",30.226044818046
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",41.514454050403
"REF_SFM","noAFM","Clear_cut",121.827795407992
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",30.226044818046
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",42.0858967451605
"RCP2.6_MFM","AFMfree","Clear_cut",107.666571183939
"RCP2.6_MFM","AFMfree","Retention",27.63466218318
"RCP2.6_MFM","AFMfree","Selection",15.394353111575
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",45.9943972028475
"RCP2.6_SFM","AFMfree","Clear_cut",107.330034303707
"RCP2.6_SFM","AFMfree","Retention",27.609318656211
"RCP2.6_SFM","AFMfree","Selection",15.548506777848
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",63.3315395564651
"REF_MFM","AFMfree","Clear_cut",97.559666617142
"REF_MFM","AFMfree","Retention",23.491507521111
"REF_MFM","AFMfree","Selection",23.771784344235
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",45.7098416992812
"REF_SFM","AFMfree","Clear_cut",96.8978582167161
"REF_SFM","AFMfree","Retention",23.571607802795
"REF_SFM","AFMfree","Selection",24.450476174052
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",59.5174165166624
"RCP2.6_MFM","AFM25","Clear_cut",96.856761437007
"RCP2.6_MFM","AFM25","Retention",22.346165784299
"RCP2.6_MFM","AFM25","Selection",35.679770930884
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",43.4274969335912
"RCP2.6_SFM","AFM25","Clear_cut",104.303982892321
"RCP2.6_SFM","AFM25","Retention",21.673692291777
"RCP2.6_SFM","AFM25","Selection",12.277554442306
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",61.8472896532487
"REF_MFM","AFM25","Clear_cut",85.300898088862
"REF_MFM","AFM25","Retention",20.852842234069
"REF_MFM","AFM25","Selection",41.931415239549
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",43.9996211268937
"REF_SFM","AFM25","Clear_cut",90.352959786247
"REF_SFM","AFM25","Retention",20.852185291447
"REF_SFM","AFM25","Selection",20.901285422468
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",58.5983456695774
"RCP2.6_MFM","AFM50","Clear_cut",84.393070535607
"RCP2.6_MFM","AFM50","Retention",17.660230422336
"RCP2.6_MFM","AFM50","Selection",54.476722723673
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",41.8041736351547
"RCP2.6_SFM","AFM50","Clear_cut",98.997699893307
"RCP2.6_SFM","AFM50","Retention",15.93061508527
"RCP2.6_SFM","AFM50","Selection",5.30061807832
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",60.8134113170039
"REF_MFM","AFM50","Clear_cut",72.2364076595421
"REF_MFM","AFM50","Retention",17.299571736968
"REF_MFM","AFM50","Selection",60.377759513244
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",42.5615651451759
"REF_SFM","AFM50","Clear_cut",84.184348340431
"REF_SFM","AFM50","Retention",14.953559826563
"REF_SFM","AFM50","Selection",18.749464038262
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",56.8644840142334
"RCP2.6_MFM","AFM75","Clear_cut",73.4287254606971
"RCP2.6_MFM","AFM75","Retention",9.843681585941
"RCP2.6_MFM","AFM75","Selection",74.864727018103
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",40.3447513548939
"RCP2.6_SFM","AFM75","Clear_cut",92.249294122607
"RCP2.6_SFM","AFM75","Retention",7.816427296459
"RCP2.6_SFM","AFM75","Selection",1.270426080529
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",59.5454638789438
"REF_MFM","AFM75","Clear_cut",62.05608890388
"REF_MFM","AFM75","Retention",9.550052113206
"REF_MFM","AFM75","Selection",80.288147518875
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",40.9971379346982
"REF_SFM","AFM75","Clear_cut",79.248894747337
"REF_SFM","AFM75","Retention",7.935187526049
"REF_SFM","AFM75","Selection",13.98599747444
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",55.9679817744062
"RCP2.6_MFM","AFM100","Clear_cut",64.444097904367
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",94.913522792051
"RCP2.6_MFM","AFM100","Timber",0
"RCP2.6_MFM","AFM100","Other_management",39.0571592818249
"RCP2.6_SFM","AFM100","Clear_cut",81.639217815121
"RCP2.6_SFM","AFM100","Retention",0
"RCP2.6_SFM","AFM100","Selection",0.707973511392
"RCP2.6_SFM","AFM100","Timber",0
"RCP2.6_SFM","AFM100","Other_management",58.7140724318004
"REF_MFM","AFM100","Clear_cut",54.536255234715
"REF_MFM","AFM100","Retention",0
"REF_MFM","AFM100","Selection",101.592723438805
"REF_MFM","AFM100","Timber",0
"REF_MFM","AFM100","Other_management",38.6286494381454
"REF_SFM","AFM100","Clear_cut",74.828502533881
"REF_SFM","AFM100","Retention",0
"REF_SFM","AFM100","Selection",7.441044001424
"REF_SFM","AFM100","Timber",0
"REF_SFM","AFM100","Other_management",54.0007323982854
