"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",334.72161217481,0,0
"RCP2.6_SFM","noAFM",334.924003126283,0,0
"REF_MFM","noAFM",295.812934004129,0,0
"REF_SFM","noAFM",295.3064464479,0,0
"RCP2.6_MFM","AFMfree",292.232697151642,0,0
"RCP2.6_SFM","AFMfree",293.81332148249,0,0
"REF_MFM","AFMfree",253.594996518918,0,0
"REF_SFM","AFMfree",251.765593520544,0,0
"RCP2.6_MFM","AFM25",301.774697242311,0,0
"RCP2.6_SFM","AFM25",309.271443687584,0,0
"REF_MFM","AFM25",261.643770674494,0,0
"REF_SFM","AFM25",267.558396292702,0,0
"RCP2.6_MFM","AFM50",320.325988455677,0,0
"RCP2.6_SFM","AFM50",332.955125020045,0,0
"REF_MFM","AFM50",275.795547139709,0,0
"REF_SFM","AFM50",292.288411957201,0,0
"RCP2.6_MFM","AFM75",340.38596917404,0,0
"RCP2.6_SFM","AFM75",362.496288095837,0,0
"REF_MFM","AFM75",300.54039527395,0,0
"REF_SFM","AFM75",326.829571721775,0,0
"RCP2.6_MFM","AFM100",356.386553877935,0,0
"RCP2.6_SFM","AFM100",391.716794084516,0,0
"REF_MFM","AFM100",317.387529262934,0,0
"REF_SFM","AFM100",361.012420617729,0,0
