"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","For_ClearCut_EU",77.129747249167
"RCP2.6_MFM","noAFM","For_Retention_EU",0
"RCP2.6_MFM","noAFM","For_TimberPlant_EU",0
"RCP2.6_MFM","noAFM","For_SelectionSystem_EU",32.724207425466
"RCP2.6_MFM","noAFM","ForOther_Extensive_EU",12.8872230992887
"RCP2.6_MFM","noAFM","ForOther_Intensive_EU",39.9039450350166
"RCP2.6_MFM","noAFM","EP_EU",1.923618448
"RCP2.6_MFM","noAFM","EP_conv_EU",1.595755525227
"RCP2.6_SFM","noAFM","For_ClearCut_EU",77.132137454185
"RCP2.6_SFM","noAFM","For_Retention_EU",0
"RCP2.6_SFM","noAFM","For_TimberPlant_EU",0
"RCP2.6_SFM","noAFM","For_SelectionSystem_EU",32.725301935747
"RCP2.6_SFM","noAFM","ForOther_Extensive_EU",12.8873150376682
"RCP2.6_SFM","noAFM","ForOther_Intensive_EU",39.9042297126398
"RCP2.6_SFM","noAFM","EP_EU",1.923618448
"RCP2.6_SFM","noAFM","EP_conv_EU",1.595755525227
"REF_MFM","noAFM","For_ClearCut_EU",75.066775945205
"REF_MFM","noAFM","For_Retention_EU",0
"REF_MFM","noAFM","For_TimberPlant_EU",0
"REF_MFM","noAFM","For_SelectionSystem_EU",34.786555998777
"REF_MFM","noAFM","ForOther_Extensive_EU",13.4931430712134
"REF_MFM","noAFM","ForOther_Intensive_EU",38.5033835832011
"REF_MFM","noAFM","EP_EU",1.728654114
"REF_MFM","noAFM","EP_conv_EU",1.360007270504
"REF_SFM","noAFM","For_ClearCut_EU",75.0907716795051
"REF_SFM","noAFM","For_Retention_EU",0
"REF_SFM","noAFM","For_TimberPlant_EU",0
"REF_SFM","noAFM","For_SelectionSystem_EU",34.775640977177
"REF_SFM","noAFM","ForOther_Extensive_EU",13.4909669882732
"REF_SFM","noAFM","ForOther_Intensive_EU",38.4971740176674
"REF_SFM","noAFM","EP_EU",1.728654114
"REF_SFM","noAFM","EP_conv_EU",1.361073497594
"RCP2.6_MFM","AFMfree","For_ClearCut_EU",73.877831509492
"RCP2.6_MFM","AFMfree","For_Retention_EU",3.055870179195
"RCP2.6_MFM","AFMfree","For_TimberPlant_EU",0
"RCP2.6_MFM","AFMfree","For_SelectionSystem_EU",32.83738077542
"RCP2.6_MFM","AFMfree","ForOther_Extensive_EU",12.9347545733907
"RCP2.6_MFM","AFMfree","ForOther_Intensive_EU",40.0511212975354
"RCP2.6_MFM","AFMfree","EP_EU",1.923618448
"RCP2.6_MFM","AFMfree","EP_conv_EU",1.575959131992
"RCP2.6_SFM","AFMfree","For_ClearCut_EU",73.437964096581
"RCP2.6_SFM","AFMfree","For_Retention_EU",3.030744703533
"RCP2.6_SFM","AFMfree","For_TimberPlant_EU",0
"RCP2.6_SFM","AFMfree","For_SelectionSystem_EU",32.038278252577
"RCP2.6_SFM","AFMfree","ForOther_Extensive_EU",12.9462776043169
"RCP2.6_SFM","AFMfree","ForOther_Intensive_EU",40.0868011634905
"RCP2.6_SFM","AFMfree","EP_EU",1.923618448
"RCP2.6_SFM","AFMfree","EP_conv_EU",1.576616899806
"REF_MFM","AFMfree","For_ClearCut_EU",72.014760231425
"REF_MFM","AFMfree","For_Retention_EU",3.03591791311
"REF_MFM","AFMfree","For_TimberPlant_EU",0
"REF_MFM","AFMfree","For_SelectionSystem_EU",34.724599544108
"REF_MFM","AFMfree","ForOther_Extensive_EU",13.520837332841
"REF_MFM","AFMfree","ForOther_Intensive_EU",38.582410595134
"REF_MFM","AFMfree","EP_EU",1.728654114
"REF_MFM","AFMfree","EP_conv_EU",1.371796119176
"REF_SFM","AFMfree","For_ClearCut_EU",71.515516028121
"REF_SFM","AFMfree","For_Retention_EU",3.044435890349
"REF_SFM","AFMfree","For_TimberPlant_EU",0
"REF_SFM","AFMfree","For_SelectionSystem_EU",33.812471700258
"REF_SFM","AFMfree","ForOther_Extensive_EU",13.5622649698113
"REF_SFM","AFMfree","ForOther_Intensive_EU",38.7006265058965
"REF_SFM","AFMfree","EP_EU",1.728654114
"REF_SFM","AFMfree","EP_conv_EU",1.390284385245
"RCP2.6_MFM","AFM25","For_ClearCut_EU",72.8715165816601
"RCP2.6_MFM","AFM25","For_Retention_EU",2.437403073269
"RCP2.6_MFM","AFM25","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM25","For_SelectionSystem_EU",34.475563369941
"RCP2.6_MFM","AFM25","ForOther_Extensive_EU",12.9443749185626
"RCP2.6_MFM","AFM25","ForOther_Intensive_EU",40.0809096950821
"RCP2.6_MFM","AFM25","EP_EU",1.923618448
"RCP2.6_MFM","AFM25","EP_conv_EU",1.594764835949
"RCP2.6_SFM","AFM25","For_ClearCut_EU",73.257480490898
"RCP2.6_SFM","AFM25","For_Retention_EU",2.524903570849
"RCP2.6_SFM","AFM25","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM25","For_SelectionSystem_EU",31.365810850197
"RCP2.6_SFM","AFM25","ForOther_Extensive_EU",12.9467980970634
"RCP2.6_SFM","AFM25","ForOther_Intensive_EU",40.0884128151077
"RCP2.6_SFM","AFM25","EP_EU",1.923618448
"RCP2.6_SFM","AFM25","EP_conv_EU",1.615026533323
"REF_MFM","AFM25","For_ClearCut_EU",70.939996070568
"REF_MFM","AFM25","For_Retention_EU",2.439171085252
"REF_MFM","AFM25","For_TimberPlant_EU",0
"REF_MFM","AFM25","For_SelectionSystem_EU",36.409161981914
"REF_MFM","AFM25","ForOther_Extensive_EU",13.4981764389813
"REF_MFM","AFM25","ForOther_Intensive_EU",38.5177465591851
"REF_MFM","AFM25","EP_EU",1.728654114
"REF_MFM","AFM25","EP_conv_EU",1.36909128821
"REF_SFM","AFM25","For_ClearCut_EU",71.291256562341
"REF_SFM","AFM25","For_Retention_EU",2.432947320425
"REF_SFM","AFM25","For_TimberPlant_EU",0
"REF_SFM","AFM25","For_SelectionSystem_EU",33.250748811958
"REF_SFM","AFM25","ForOther_Extensive_EU",13.5660879516524
"REF_SFM","AFM25","ForOther_Intensive_EU",38.7115355828609
"REF_SFM","AFM25","EP_EU",1.728654114
"REF_SFM","AFM25","EP_conv_EU",1.395731367752
"RCP2.6_MFM","AFM50","For_ClearCut_EU",71.829094682268
"RCP2.6_MFM","AFM50","For_Retention_EU",1.625176409632
"RCP2.6_MFM","AFM50","For_TimberPlant_EU",0
"RCP2.6_MFM","AFM50","For_SelectionSystem_EU",36.346177948014
"RCP2.6_MFM","AFM50","ForOther_Extensive_EU",12.8890833220735
"RCP2.6_MFM","AFM50","ForOther_Intensive_EU",39.909705021259
"RCP2.6_MFM","AFM50","EP_EU",1.923618448
"RCP2.6_MFM","AFM50","EP_conv_EU",1.595585210619
"RCP2.6_SFM","AFM50","For_ClearCut_EU",73.20398970087
"RCP2.6_SFM","AFM50","For_Retention_EU",1.783160940451
"RCP2.6_SFM","AFM50","For_TimberPlant_EU",0
"RCP2.6_SFM","AFM50","For_SelectionSystem_EU",30.389034328444
"RCP2.6_SFM","AFM50","ForOther_Extensive_EU",12.9422962974787
"RCP2.6_SFM","AFM50","ForOther_Intensive_EU",40.0744734612371
"RCP2.6_SFM","AFM50","EP_EU",1.923618448
"RCP2.6_SFM","AFM50","EP_conv_EU",1.632244046552
"REF_MFM","AFM50","For_ClearCut_EU",69.939108079301
"REF_MFM","AFM50","For_Retention_EU",1.628555901206
"REF_MFM","AFM50","For_TimberPlant_EU",0
"REF_MFM","AFM50","For_SelectionSystem_EU",38.217761310172
"REF_MFM","AFM50","ForOther_Extensive_EU",13.5394653747892
"REF_MFM","AFM50","ForOther_Intensive_EU",38.6355666789868
"REF_MFM","AFM50","EP_EU",1.728654114
"REF_MFM","AFM50","EP_conv_EU",1.369695126919
"REF_SFM","AFM50","For_ClearCut_EU",71.259167702741
"REF_SFM","AFM50","For_Retention_EU",1.684975844646
"REF_SFM","AFM50","For_TimberPlant_EU",0
"REF_SFM","AFM50","For_SelectionSystem_EU",32.265615816758
