"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",166.164496782165,0,0
"RCP2.6_SFM","noAFM",166.168358113467,0,0
"REF_MFM","noAFM",164.938519982901,0,0
"REF_SFM","noAFM",164.944281274217,0,0
"RCP2.6_MFM","AFMfree",166.256535915025,0,0
"RCP2.6_SFM","AFMfree",165.040301168304,0,0
"REF_MFM","AFMfree",164.978975849794,0,0
"REF_SFM","AFMfree",163.754253593681,0,0
"RCP2.6_MFM","AFM25",166.328150922464,0,0
"RCP2.6_SFM","AFM25",163.722050805438,0,0
"REF_MFM","AFM25",164.90199753811,0,0
"REF_SFM","AFM25",162.376961710989,0,0
"RCP2.6_MFM","AFM50",166.118441041865,0,0
"RCP2.6_SFM","AFM50",161.948817223033,0,0
"REF_MFM","AFM50",165.058806585374,0,0
"REF_SFM","AFM50",160.533392595851,0,0
"RCP2.6_MFM","AFM75",166.142156644377,0,0
"RCP2.6_SFM","AFM75",160.17175638726,0,0
"REF_MFM","AFM75",165.05905151234,0,0
"REF_SFM","AFM75",158.920261513242,0,0
"RCP2.6_MFM","AFM100",166.142995790827,0,0
"RCP2.6_SFM","AFM100",158.139467211848,0,0
"REF_MFM","AFM100",165.007066905827,0,0
"REF_SFM","AFM100",156.848696589332,0,0
