"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Afforestation",8.575996843
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Annual_crops",60.910146617591
"RCP2.6_MFM","noAFM","Energy_crops",3.519373973227
"RCP2.6_MFM","noAFM","Forest_net",109.853954674633
"RCP2.6_MFM","noAFM","Permanent_crops",62.262402802
"RCP2.6_MFM","noAFM","Pasture",92.7345468878538
"RCP2.6_MFM","noAFM","Urban",17.7620054856958
"RCP2.6_SFM","noAFM","Afforestation",8.575996843
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Annual_crops",60.910146617591
"RCP2.6_SFM","noAFM","Energy_crops",3.519373973227
"RCP2.6_SFM","noAFM","Forest_net",109.857439389932
"RCP2.6_SFM","noAFM","Permanent_crops",62.262402802
"RCP2.6_SFM","noAFM","Pasture",92.7345468878538
"RCP2.6_SFM","noAFM","Urban",17.7620054856958
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Annual_crops",64.158256838563
"REF_MFM","noAFM","Energy_crops",3.088661384504
"REF_MFM","noAFM","Forest_net",109.853331943982
"REF_MFM","noAFM","Permanent_crops",62.262401897
"REF_MFM","noAFM","Pasture",97.255798422781
"REF_MFM","noAFM","Urban",17.7620054856958
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Annual_crops",64.157203911475
"REF_SFM","noAFM","Energy_crops",3.089727611594
"REF_SFM","noAFM","Forest_net",109.866412656682
"REF_SFM","noAFM","Permanent_crops",62.262401897
"REF_SFM","noAFM","Pasture",97.2557851227805
"REF_SFM","noAFM","Urban",17.7620054856958
"RCP2.6_MFM","AFMfree","Afforestation",8.575996843
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Annual_crops",60.906909029785
"RCP2.6_MFM","AFMfree","Energy_crops",3.499577579992
"RCP2.6_MFM","AFMfree","Forest_net",109.771082464107
"RCP2.6_MFM","AFMfree","Permanent_crops",62.262402802
"RCP2.6_MFM","AFMfree","Pasture",92.7519284892043
"RCP2.6_MFM","AFMfree","Urban",17.7620054856958
"RCP2.6_SFM","AFMfree","Afforestation",8.575996843
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Annual_crops",60.904001365652
"RCP2.6_SFM","AFMfree","Energy_crops",3.500235347806
"RCP2.6_SFM","AFMfree","Forest_net",108.506987052691
"RCP2.6_SFM","AFMfree","Permanent_crops",62.262402802
"RCP2.6_SFM","AFMfree","Pasture",92.7545458412023
"RCP2.6_SFM","AFMfree","Urban",17.7620054856958
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Annual_crops",64.155746119704
"REF_MFM","AFMfree","Energy_crops",3.100450233176
"REF_MFM","AFMfree","Forest_net",109.775277688643
"REF_MFM","AFMfree","Permanent_crops",62.262401897
"REF_MFM","AFMfree","Pasture",97.2456231229639
"REF_MFM","AFMfree","Urban",17.7620054856958
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Annual_crops",64.134861170497
"REF_SFM","AFMfree","Energy_crops",3.118938499245
"REF_SFM","AFMfree","Forest_net",108.372423618728
"REF_SFM","AFMfree","Permanent_crops",62.262401897
"REF_SFM","AFMfree","Pasture",97.2480197080961
"REF_SFM","AFMfree","Urban",17.7620054856958
"RCP2.6_MFM","AFM25","Afforestation",8.575996843
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Annual_crops",60.906426199595
"RCP2.6_MFM","AFM25","Energy_crops",3.518383283949
"RCP2.6_MFM","AFM25","Forest_net",109.78448302487
"RCP2.6_MFM","AFM25","Permanent_crops",62.262402802
"RCP2.6_MFM","AFM25","Pasture",92.7364538173487
"RCP2.6_MFM","AFM25","Urban",17.7620054856958
"RCP2.6_SFM","AFM25","Afforestation",8.575996843
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Annual_crops",60.901806578644
"RCP2.6_SFM","AFM25","Energy_crops",3.538644981323
"RCP2.6_SFM","AFM25","Forest_net",107.148194911944
"RCP2.6_SFM","AFM25","Permanent_crops",62.262402802
"RCP2.6_SFM","AFM25","Pasture",92.7301772059764
"RCP2.6_SFM","AFM25","Urban",17.7620054856958
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Annual_crops",64.15473346561
"REF_MFM","AFM25","Energy_crops",3.09774540221
"REF_MFM","AFM25","Forest_net",109.788329137734
"REF_MFM","AFM25","Permanent_crops",62.262401897
"REF_MFM","AFM25","Pasture",97.2493403630185
"REF_MFM","AFM25","Urban",17.7620054856958
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Annual_crops",64.133393221876
"REF_SFM","AFM25","Energy_crops",3.124385481752
"REF_SFM","AFM25","Forest_net",106.974952694724
"REF_SFM","AFM25","Permanent_crops",62.262401897
"REF_SFM","AFM25","Pasture",97.2441295429615
"REF_SFM","AFM25","Urban",17.7620054856958
"RCP2.6_MFM","AFM50","Afforestation",8.575996843
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Annual_crops",60.906223567647
"RCP2.6_MFM","AFM50","Energy_crops",3.519203658619
"RCP2.6_MFM","AFM50","Forest_net",109.800449039914
"RCP2.6_MFM","AFM50","Permanent_crops",62.262402802
"RCP2.6_MFM","AFM50","Pasture",92.7374495826618
"RCP2.6_MFM","AFM50","Urban",17.7620054856958
"RCP2.6_SFM","AFM50","Afforestation",8.575996843
"RCP2.6_SFM","AFM50","Regrowth",0
"RCP2.6_SFM","AFM50","Annual_crops",60.898971776835
"RCP2.6_SFM","AFM50","Energy_crops",3.555862494552
"RCP2.6_SFM","AFM50","Forest_net",105.376184969765
"RCP2.6_SFM","AFM50","Permanent_crops",62.262402802
"RCP2.6_SFM","AFM50","Pasture",92.7174326360004
"RCP2.6_SFM","AFM50","Urban",17.7620054856958
"REF_MFM","AFM50","Afforestation",0
"REF_MFM","AFM50","Regrowth",0
"REF_MFM","AFM50","Annual_crops",64.159264380123
"REF_MFM","AFM50","Energy_crops",3.098349240919
"REF_MFM","AFM50","Forest_net",109.785425290679
"REF_MFM","AFM50","Permanent_crops",62.262401897
"REF_MFM","AFM50","Pasture",97.2442061403735
"REF_MFM","AFM50","Urban",17.7620054856958
"REF_SFM","AFM50","Afforestation",0
"REF_SFM","AFM50","Regrowth",0
"REF_SFM","AFM50","Annual_crops",64.139186909431
"REF_SFM","AFM50","Energy_crops",3.115289033224
"REF_SFM","AFM50","Forest_net",105.209759364145
"REF_SFM","AFM50","Permanent_crops",62.262401897
"REF_SFM","AFM50","Pasture",97.248240850194
"REF_SFM","AFM50","Urban",17.7620054856958
"RCP2.6_MFM","AFM75","Afforestation",8.575996843
"RCP2.6_MFM","AFM75","Regrowth",0
"RCP2.6_MFM","AFM75","Annual_crops",60.905970105907
"RCP2.6_MFM","AFM75","Energy_crops",3.527069450556
"RCP2.6_MFM","AFM75","Forest_net",109.826767675291
"RCP2.6_MFM","AFM75","Permanent_crops",62.262402802
"RCP2.6_MFM","AFM75","Pasture",92.7329317456761
"RCP2.6_MFM","AFM75","Urban",17.7620054856958
"RCP2.6_SFM","AFM75","Afforestation",8.575996843
"RCP2.6_SFM","AFM75","Regrowth",0
"RCP2.6_SFM","AFM75","Annual_crops",60.885251267142
"RCP2.6_SFM","AFM75","Energy_crops",3.588719808335
"RCP2.6_SFM","AFM75","Forest_net",103.46271636863
"RCP2.6_SFM","AFM75","Permanent_crops",62.262402802
"RCP2.6_SFM","AFM75","Pasture",92.7020355397046
"RCP2.6_SFM","AFM75","Urban",17.7620054856958
"REF_MFM","AFM75","Afforestation",0
"REF_MFM","AFM75","Regrowth",0
"REF_MFM","AFM75","Annual_crops",64.162920513981
"REF_MFM","AFM75","Energy_crops",3.095098338651
"REF_MFM","AFM75","Forest_net",109.820488697314
"REF_MFM","AFM75","Permanent_crops",62.262401897
"REF_MFM","AFM75","Pasture",97.2438009087786
"REF_MFM","AFM75","Urban",17.7620054856958
"REF_SFM","AFM75","Afforestation",0
"REF_SFM","AFM75","Regrowth",0
"REF_SFM","AFM75","Annual_crops",64.124553699419
"REF_SFM","AFM75","Energy_crops",3.143765975141
"REF_SFM","AFM75","Forest_net",103.356849441596
"REF_SFM","AFM75","Permanent_crops",62.262401897
"REF_SFM","AFM75","Pasture",97.235294910792
"REF_SFM","AFM75","Urban",17.7620054856958
"RCP2.6_MFM","AFM100","Afforestation",8.575996843
"RCP2.6_MFM","AFM100","Regrowth",0
"RCP2.6_MFM","AFM100","Annual_crops",60.909916818041
"RCP2.6_MFM","AFM100","Energy_crops",3.529249100364
"RCP2.6_MFM","AFM100","Forest_net",109.838133475738
"RCP2.6_MFM","AFM100","Permanent_crops",62.262402802
"RCP2.6_MFM","AFM100","Pasture",92.7267385032024
"RCP2.6_MFM","AFM100","Urban",17.7620054856958
"RCP2.6_SFM","AFM100","Afforestation",8.575996843
"RCP2.6_SFM","AFM100","Regrowth",0
"RCP2.6_SFM","AFM100","Annual_crops",60.876317853513
"RCP2.6_SFM","AFM100","Energy_crops",3.596201905639
"RCP2.6_SFM","AFM100","Forest_net",101.463353240089
"RCP2.6_SFM","AFM100","Permanent_crops",62.262402802
"RCP2.6_SFM","AFM100","Pasture",92.7029311479043
"RCP2.6_SFM","AFM100","Urban",17.7620054856958
"REF_MFM","AFM100","Afforestation",0
"REF_MFM","AFM100","Regrowth",0
"REF_MFM","AFM100","Annual_crops",64.165028886039
"REF_MFM","AFM100","Energy_crops",3.08554282729
"REF_MFM","AFM100","Forest_net",109.840590947841
"REF_MFM","AFM100","Permanent_crops",62.262401897
"REF_MFM","AFM100","Pasture",97.2521451775112
"REF_MFM","AFM100","Urban",17.7620054856958
"REF_SFM","AFM100","Afforestation",0
"REF_SFM","AFM100","Regrowth",0
"REF_SFM","AFM100","Annual_crops",64.122769831714
"REF_SFM","AFM100","Energy_crops",3.138071640851
"REF_SFM","AFM100","Forest_net",101.458771559841
"REF_SFM","AFM100","Permanent_crops",62.262401897
"REF_SFM","AFM100","Pasture",97.2427728332925
"REF_SFM","AFM100","Urban",17.7620054856958
