"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.000351743722515045
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.000293275494861086
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.000454250589882271
"RCP2.6_MFM","noAFM","Import_Forest",0.00104599859352374
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.00035173310651
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.00029330535785492
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.000451812316482146
"RCP2.6_SFM","noAFM","Import_Forest",0.00105512110014048
"REF_MFM","noAFM","EU28_Energy_crops",8.27444432109e-05
"REF_MFM","noAFM","EU28_Forest_net",0.0001969082053796
"REF_MFM","noAFM","Import_Energy_plantations",4.87830150028678e-05
"REF_MFM","noAFM","Import_Forest",0.000774201545124183
"REF_SFM","noAFM","EU28_Energy_crops",8.28855956856e-05
"REF_SFM","noAFM","EU28_Forest_net",0.0001969784991293
"REF_SFM","noAFM","Import_Energy_plantations",5.16126649778243e-05
"REF_SFM","noAFM","Import_Forest",0.000784854994873906
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.000343064122555681
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.00023416155654363
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.000407814993864167
"RCP2.6_MFM","AFMfree","Import_Forest",0.000760735137075358
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.00034256335857348
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.000234735072198134
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.000387156622337685
"RCP2.6_SFM","AFMfree","Import_Forest",0.000759396212315498
"REF_MFM","AFMfree","EU28_Energy_crops",7.91899683397e-05
"REF_MFM","AFMfree","EU28_Forest_net",0.0001602126865658
"REF_MFM","AFMfree","Import_Energy_plantations",5.14101413754332e-05
"REF_MFM","AFMfree","Import_Forest",0.000490976456955923
"REF_SFM","AFMfree","EU28_Energy_crops",7.93689619231e-05
"REF_SFM","AFMfree","EU28_Forest_net",0.00016748071086093
"REF_SFM","AFMfree","Import_Energy_plantations",4.76228006462207e-05
"REF_SFM","AFMfree","Import_Forest",0.000508876201494504
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.000347463433583583
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.000218083404922221
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.000461512759438893
"RCP2.6_MFM","AFM25","Import_Forest",0.000774697786206057
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.000353313067420106
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.000214470211632511
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.00052298622584096
"RCP2.6_SFM","AFM25","Import_Forest",0.000943802194573351
"REF_MFM","AFM25","EU28_Energy_crops",7.98368597953e-05
"REF_MFM","AFM25","EU28_Forest_net",0.000166404825411987
"REF_MFM","AFM25","Import_Energy_plantations",4.86378695068944e-05
"REF_MFM","AFM25","Import_Forest",0.00051085164447254
"REF_SFM","AFM25","EU28_Energy_crops",8.12323452695e-05
"REF_SFM","AFM25","EU28_Forest_net",0.000175336039812755
"REF_SFM","AFM25","Import_Energy_plantations",5.51178845310696e-05
"REF_SFM","AFM25","Import_Forest",0.000614782755954228
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.000351541198618661
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.000200018708952859
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.000517508742069603
"RCP2.6_MFM","AFM50","Import_Forest",0.000839233265866182
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.00036324117726111
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.000190878249556327
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.000639992416626512
"RCP2.6_SFM","AFM50","Import_Forest",0.00136067848238784
"REF_MFM","AFM50","EU28_Energy_crops",8.09432518013e-05
"REF_MFM","AFM50","EU28_Forest_net",0.00016139438028435
"REF_MFM","AFM50","Import_Energy_plantations",5.41642385048304e-05
"REF_MFM","AFM50","Import_Forest",0.000548765297475188
"REF_SFM","AFM50","EU28_Energy_crops",8.66613924034e-05
"REF_SFM","AFM50","EU28_Forest_net",0.0001537580299625
"REF_SFM","AFM50","Import_Energy_plantations",6.18280091673739e-05
"REF_SFM","AFM50","Import_Forest",0.00101102198759308
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.000358776149435155
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.000182484254006569
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.000558252725575381
"RCP2.6_MFM","AFM75","Import_Forest",0.00100940748782009
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.000369978031093775
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.000166523925972174
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.000764966613567747
"RCP2.6_SFM","AFM75","Import_Forest",0.00160544497362959
"REF_MFM","AFM75","EU28_Energy_crops",8.29780848723e-05
"REF_MFM","AFM75","EU28_Forest_net",0.000146675898769486
"REF_MFM","AFM75","Import_Energy_plantations",5.24352926416549e-05
"REF_MFM","AFM75","Import_Forest",0.000671003641326573
"REF_SFM","AFM75","EU28_Energy_crops",9.35305014174e-05
"REF_SFM","AFM75","EU28_Forest_net",0.0001220134416114
"REF_SFM","AFM75","Import_Energy_plantations",9.42353877795559e-05
"REF_SFM","AFM75","Import_Forest",0.00137948678204557
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.000362999454245691
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.000163709880611105
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.000633440815216596
"RCP2.6_MFM","AFM100","Import_Forest",0.00108525827316237
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.00037914321115013
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.000142339350725318
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.000840598168724411
"RCP2.6_SFM","AFM100","Import_Forest",0.00196448364667525
"REF_MFM","AFM100","EU28_Energy_crops",8.58156356472e-05
"REF_MFM","AFM100","EU28_Forest_net",0.0001313407600339
"REF_MFM","AFM100","Import_Energy_plantations",6.32199228911625e-05
"REF_MFM","AFM100","Import_Forest",0.000809474875129715
"REF_SFM","AFM100","EU28_Energy_crops",9.90831596516e-05
"REF_SFM","AFM100","EU28_Forest_net",9.58615884779e-05
"REF_SFM","AFM100","Import_Energy_plantations",0.000141298329038243
"REF_SFM","AFM100","Import_Forest",0.00186399288502504
