"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00214526840078214,0.00123020551882986,0.00304016865248579
"RCP2.6_SFM","noAFM",0.00215197188098755,0.00123302298580509,0.00304983934907483
"REF_MFM","noAFM",0.00110263720871755,0.000558105447447498,0.00159956529319403
"REF_SFM","noAFM",0.00111633175466663,0.000565638491517603,0.00161833953330704
"RCP2.6_MFM","AFMfree",0.00174577581003884,0.000979189840810233,0.00246903980046456
"RCP2.6_SFM","AFMfree",0.0017238512654248,0.000967334508579167,0.00244147506711995
"REF_MFM","AFMfree",0.000781789253236856,0.000365744307621114,0.00114060299629261
"REF_SFM","AFMfree",0.000803348674924755,0.000387750676174831,0.0011752772309434
"RCP2.6_MFM","AFM25",0.00180175738415075,0.00101223275039471,0.00253907185468787
"RCP2.6_SFM","AFM25",0.00203457169946693,0.00115720313290131,0.00285850508104881
"REF_MFM","AFM25",0.000805731199186722,0.000374354425798021,0.00118133757497548
"REF_SFM","AFM25",0.000926469025567553,0.000461872750185627,0.00135569412187822
"RCP2.6_MFM","AFM50",0.0019083019155073,0.00107177663378469,0.00267852833528306
"RCP2.6_SFM","AFM50",0.00255479032583178,0.0014627956599855,0.00356001826547847
"REF_MFM","AFM50",0.000845267168065668,0.000392819910364285,0.0012377634099249
"REF_SFM","AFM50",0.00131326941912636,0.000682641416676358,0.00188386823265209
"RCP2.6_MFM","AFM75",0.0021089206168372,0.00118671079254445,0.00294433600482521
"RCP2.6_SFM","AFM75",0.00290691354426329,0.00169092212067237,0.00402929188878013
"REF_MFM","AFM75",0.000953092917610014,0.00044838281459252,0.00138236379819737
"REF_SFM","AFM75",0.00168926611285392,0.000899313767494681,0.00239740250733835
"RCP2.6_MFM","AFM100",0.00224540842323576,0.00126965437744234,0.00312025469519003
"RCP2.6_SFM","AFM100",0.00332656437727511,0.00193817183388065,0.00459391408504227
"REF_MFM","AFM100",0.00108985119370198,0.000523810442258973,0.00156740462865917
"REF_SFM","AFM100",0.00220023596219278,0.00119657744031563,0.00309471633464997
