"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Clear_cut",0.000291601910628497
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",1.67358423258854e-06
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0
"RCP2.6_MFM","noAFM","EP_EU",0.000351743722515045
"RCP2.6_SFM","noAFM","Clear_cut",0.000291634171768
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",1.67118608692e-06
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0
"RCP2.6_SFM","noAFM","EP_EU",0.00035173310651
"REF_MFM","noAFM","Clear_cut",0.000187758829788
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",9.1493755916e-06
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0
"REF_MFM","noAFM","EP_EU",8.27444432109e-05
"REF_SFM","noAFM","Clear_cut",0.000187839830395
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",9.1386687343e-06
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0
"REF_SFM","noAFM","EP_EU",8.28855956856e-05
"RCP2.6_MFM","AFMfree","Clear_cut",0.000223887352011094
"RCP2.6_MFM","AFMfree","Retention",8.01336329252262e-06
"RCP2.6_MFM","AFMfree","Selection",2.26084124001334e-06
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0
"RCP2.6_MFM","AFMfree","EP_EU",0.000343064122555681
"RCP2.6_SFM","AFMfree","Clear_cut",0.00022478327599615
"RCP2.6_SFM","AFMfree","Retention",7.99120003652643e-06
"RCP2.6_SFM","AFMfree","Selection",1.96059616545754e-06
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0
"RCP2.6_SFM","AFMfree","EP_EU",0.00034256335857348
"REF_MFM","AFMfree","Clear_cut",0.000146685652771
"REF_MFM","AFMfree","Retention",5.3596300515e-06
"REF_MFM","AFMfree","Selection",8.1674037433e-06
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0
"REF_MFM","AFMfree","EP_EU",7.91899683397e-05
"REF_SFM","AFMfree","Clear_cut",0.000155805961669
"REF_SFM","AFMfree","Retention",5.4096336919e-06
"REF_SFM","AFMfree","Selection",6.26511550003e-06
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0
"REF_SFM","AFMfree","EP_EU",7.93689619231e-05
