"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00064501921737613,0.00038522238640819,0.000984999900163826
"RCP2.6_SFM","noAFM",0.00064503846436492,0.0003852461076361,0.00098503478028751
"REF_MFM","noAFM",0.0002796526485905,0.0001047444077671,0.0004515467396102
"REF_SFM","noAFM",0.0002798640948149,0.0001049144561954,0.0004518445716954
"RCP2.6_MFM","AFMfree",0.000577225679099311,0.000315916365502512,0.000873799543428451
"RCP2.6_SFM","AFMfree",0.000577298430771614,0.000317209781873914,0.000874410126212948
"REF_MFM","AFMfree",0.0002394026549055,6.48977548403e-05,0.0003850237892984
"REF_SFM","AFMfree",0.00024684967278403,8.012077575325e-05,0.00039954790482958
"RCP2.6_MFM","AFM25",0.000565546838505804,0.000309185406392054,0.000852489707312229
"RCP2.6_SFM","AFM25",0.000567783279052617,0.000327350643260774,0.000853455383565757
"REF_MFM","AFM25",0.000246241685207287,6.480740630562e-05,0.000401403451307575
"REF_SFM","AFM25",0.000256568385082255,9.0110045008132e-05,0.000420190303733734
"RCP2.6_MFM","AFM50",0.00055155990757152,0.000300919059192955,0.00082689377744994
"RCP2.6_SFM","AFM50",0.000554119426817437,0.000334726602442406,0.000825963321083882
"REF_MFM","AFM50",0.00024233763208565,5.7893362017633e-05,0.0003967279292608
"REF_SFM","AFM50",0.0002404194223659,9.3444596023e-05,0.0003898283198955
"RCP2.6_MFM","AFM75",0.000541260403441724,0.000296431802949761,0.000806310805983616
"RCP2.6_SFM","AFM75",0.000536501957065949,0.000340707216672355,0.000792202836833111
"REF_MFM","AFM75",0.000229653983641786,4.9959863875506e-05,0.000374078017742572
"REF_SFM","AFM75",0.0002155439430288,9.37400520006e-05,0.0003418920311396
"RCP2.6_MFM","AFM100",0.000526709334856797,0.000290089389442626,0.000778403975487527
"RCP2.6_SFM","AFM100",0.000521482561875448,0.000350036681266983,0.000760352031683546
"REF_MFM","AFM100",0.0002171563956811,4.42519813864e-05,0.0003504005702094
"REF_SFM","AFM100",0.0001949447481295,0.0001015257633851,0.000302796952896
