"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000335111593431272,0.000103472483989066,0.000518258355845503,"noAFM","2020"
"RCP2.6_SFM",0.000335111583403401,0.000103472484638306,0.000518258339073243,"noAFM","2020"
"REF_MFM",0.000341124199977396,0.000103203513824654,0.000527931888486505,"noAFM","2020"
"REF_SFM",0.000341117803703187,0.00010320080727382,0.000527923207876103,"noAFM","2020"
"RCP2.6_MFM",0.000337161183207552,0.000104265690650625,0.000521094148610861,"AFMfree","2020"
"RCP2.6_SFM",0.000336930254571678,0.000104116822243406,0.000521004024885697,"AFMfree","2020"
"REF_MFM",0.00034217014083117,0.000103579009002875,0.000529366866895011,"AFMfree","2020"
"REF_SFM",0.000344415825220193,0.000104062785330919,0.000533524194029064,"AFMfree","2020"
"RCP2.6_MFM",0.000337184408241372,0.000104277222018966,0.000521123983366261,"AFM25","2020"
"RCP2.6_SFM",0.000333786044972578,0.00010303384809747,0.000515040203634422,"AFM25","2020"
"REF_MFM",0.000341118742394555,0.000103201406286903,0.000527925419896238,"AFM25","2020"
"REF_SFM",0.000340820928085907,0.000102907549334537,0.000526429422421882,"AFM25","2020"
"RCP2.6_MFM",0.000335155725462071,0.00010349562588088,0.000518321503300163,"AFM50","2020"
"RCP2.6_SFM",0.000329528114681971,0.000101539133954065,0.000506975842152545,"AFM50","2020"
"REF_MFM",0.000342988741541351,0.000103923372387896,0.000530511012253032,"AFM50","2020"
"REF_SFM",0.000335683830125854,0.000101192044089254,0.000516947392261746,"AFM50","2020"
"RCP2.6_MFM",0.000335163929000894,0.000103499716752355,0.000518332381762146,"AFM75","2020"
"RCP2.6_SFM",0.00032422831458471,9.96811298610617e-05,0.000496696349910057,"AFM75","2020"
"REF_MFM",0.000343025009985706,0.000103942085186846,0.000530552783748198,"AFM75","2020"
"REF_SFM",0.000331540705924921,9.99282772740943e-05,0.000508120243000172,"AFM75","2020"
"RCP2.6_MFM",0.000335153579696812,0.000103494037748135,0.000518319817536924,"AFM100","2020"
"RCP2.6_SFM",0.000315239145196761,9.65278831108039e-05,0.000479870929022554,"AFM100","2020"
"REF_MFM",0.000342154875352841,0.000103570087949307,0.000529348039498268,"AFM100","2020"
"REF_SFM",0.000321017666029388,9.61829431140496e-05,0.000489117664402547,"AFM100","2020"
"RCP2.6_MFM",0.000371974194592319,0.000134414735741377,0.000569832165485813,"noAFM","2030"
"RCP2.6_SFM",0.000371987166083612,0.00013441715746398,0.000569853658508469,"noAFM","2030"
"REF_MFM",0.000364429806347994,0.000121758639243836,0.000561549335368056,"noAFM","2030"
"REF_SFM",0.000364457461908804,0.000121780894337441,0.000561605780822959,"noAFM","2030"
"RCP2.6_MFM",0.000366477348087777,0.000127662370213617,0.000560466610050132,"AFMfree","2030"
"RCP2.6_SFM",0.000365035564705987,0.000129013870424483,0.000557862957885829,"AFMfree","2030"
"REF_MFM",0.000358692013609403,0.000115757501800988,0.000551649968696069,"AFMfree","2030"
"REF_SFM",0.000360281315702739,0.000118241707000036,0.000554368804268591,"AFMfree","2030"
"RCP2.6_MFM",0.000365743413802656,0.000127138296756907,0.000559169865118418,"AFM25","2030"
"RCP2.6_SFM",0.000362682623962878,0.000129625589210662,0.000553123953125849,"AFM25","2030"
"REF_MFM",0.000356420494129328,0.000114234067782117,0.000548097385015901,"AFM25","2030"
"REF_SFM",0.000356382498810228,0.000118098071530975,0.000546878712709562,"AFM25","2030"
"RCP2.6_MFM",0.000361653743988109,0.000125213908793877,0.000552541910623181,"AFM50","2030"
"RCP2.6_SFM",0.000358547397970227,0.00012971590352967,0.000545397607224808,"AFM50","2030"
"REF_MFM",0.000356120498041825,0.000113682687575862,0.000547276126956374,"AFM50","2030"
"REF_SFM",0.000350954213821058,0.000117612612617925,0.000536952903370622,"AFM50","2030"
"RCP2.6_MFM",0.000360717404128939,0.000124688887096237,0.000551045105304887,"AFM75","2030"
"RCP2.6_SFM",0.000354912089947823,0.000130461566209419,0.000538331599383346,"AFM75","2030"
"REF_MFM",0.000354245544831146,0.000112626830984084,0.000544239232150705,"AFM75","2030"
"REF_SFM",0.000345621311192505,0.000117055235487299,0.000526144728002347,"AFM75","2030"
"RCP2.6_MFM",0.000359603279726706,0.000124204675248655,0.000549162927980605,"AFM100","2030"
"RCP2.6_SFM",0.000345643671579524,0.000129189388511796,0.000521103434223047,"AFM100","2030"
"REF_MFM",0.000352014743158968,0.000111284777103129,0.000540653657916737,"AFM100","2030"
"REF_SFM",0.000334645942440262,0.00011456818376912,0.000506276131687591,"AFM100","2030"
"RCP2.6_MFM",0.00039932720232971,0.000160704461136892,0.000606032362236996,"noAFM","2040"
"RCP2.6_SFM",0.000399401592422289,0.000160744288709689,0.000606133487805455,"noAFM","2040"
"REF_MFM",0.000375176963573734,0.00013593760337603,0.000573708771897613,"noAFM","2040"
"REF_SFM",0.00037519995150667,0.000135961660499084,0.000573764413204908,"noAFM","2040"
"RCP2.6_MFM",0.00038409790065986,0.000145428523607413,0.000580012207697209,"AFMfree","2040"
"RCP2.6_SFM",0.000381602087917757,0.000148039156919022,0.000575482766631565,"AFMfree","2040"
"REF_MFM",0.000361351747917109,0.000122486017369083,0.000550355201293651,"AFMfree","2040"
"REF_SFM",0.000363321803628205,0.000127799081282357,0.000553715036619376,"AFMfree","2040"
"RCP2.6_MFM",0.000382191031088818,0.000144236545412472,0.000576871804858139,"AFM25","2040"
"RCP2.6_SFM",0.000380688213842168,0.000150370795878273,0.000573150484586995,"AFM25","2040"
"REF_MFM",0.000357547655130609,0.000120094071930509,0.000544142793762077,"AFM25","2040"
"REF_SFM",0.000359371090286747,0.000127600784635994,0.000546060855216733,"AFM25","2040"
"RCP2.6_MFM",0.000377387034592353,0.000141798763817964,0.000568786744886501,"AFM50","2040"
"RCP2.6_SFM",0.000380188388846826,0.000153151028591542,0.000572591226629143,"AFM50","2040"
"REF_MFM",0.000355684920451631,0.000118036176585992,0.000540743842893569,"AFM50","2040"
"REF_SFM",0.000354019219262018,0.000128587725202587,0.000536292383816235,"AFM50","2040"
"RCP2.6_MFM",0.000376372349507021,0.000141359207087699,0.000567311760142011,"AFM75","2040"
"RCP2.6_SFM",0.000380008207737588,0.00015818570165867,0.000571903917185726,"AFM75","2040"
"REF_MFM",0.000352851546905715,0.000116411947417562,0.000536038546188452,"AFM75","2040"
"REF_SFM",0.00035371732048074,0.000132021118182864,0.000535342496950054,"AFM75","2040"
"RCP2.6_MFM",0.000376307431258628,0.000141429684075342,0.000567628293599265,"AFM100","2040"
"RCP2.6_SFM",0.00037307758244801,0.000162395204680145,0.000558709278197788,"AFM100","2040"
"REF_MFM",0.000350088972551482,0.000115091497423396,0.000531501270634283,"AFM100","2040"
"REF_SFM",0.000343765322827482,0.000133776357550709,0.000517260926489063,"AFM100","2040"
"RCP2.6_MFM",0.000445784540983376,0.000197023150125438,0.000675159186262894,"noAFM","2050"
"RCP2.6_SFM",0.000445719088816694,0.000196985542692917,0.000675076021119578,"noAFM","2050"
"REF_MFM",0.000391450724947972,0.000150092020575615,0.000596871836327658,"noAFM","2050"
"REF_SFM",0.000391524481705479,0.000150176572689079,0.000596972991420521,"noAFM","2050"
"RCP2.6_MFM",0.000418463299271389,0.00017179291609493,0.000627893625570036,"AFMfree","2050"
"RCP2.6_SFM",0.000418406441193339,0.00017646634978379,0.000627891790111138,"AFMfree","2050"
"REF_MFM",0.00036733137950989,0.000128975418118142,0.000555238348586348,"AFMfree","2050"
"REF_SFM",0.000369948281096193,0.000136345492569306,0.00056014954792236,"AFMfree","2050"
"RCP2.6_MFM",0.00041737192992303,0.000170186456964079,0.000626525921532472,"AFM25","2050"
"RCP2.6_SFM",0.000419415645948438,0.000180204946625798,0.000629825653695667,"AFM25","2050"
"REF_MFM",0.000362374980989245,0.000125757910101662,0.000547314400645016,"AFM25","2050"
"REF_SFM",0.000366103360694111,0.000136131638579011,0.000553417380394105,"AFM25","2050"
"RCP2.6_MFM",0.000414660104227461,0.000168790785490504,0.000623138277431489,"AFM50","2050"
"RCP2.6_SFM",0.000418612266736657,0.000185308084220131,0.00062847685373719,"AFM50","2050"
"REF_MFM",0.000360988754094254,0.000123718910757713,0.000545282198998856,"AFM50","2050"
"REF_SFM",0.000364161831652931,0.000139866548233925,0.000550197165486247,"AFM50","2050"
"RCP2.6_MFM",0.000414194729235637,0.000169054150209987,0.000622585319683706,"AFM75","2050"
"RCP2.6_SFM",0.000413346190353119,0.0001911971723141,0.000618676150059143,"AFM75","2050"
"REF_MFM",0.00035747456911204,0.000121140864176474,0.000539598569578658,"AFM75","2050"
"REF_SFM",0.000362065789789982,0.00014578570677725,0.00054535047764877,"AFM75","2050"
"RCP2.6_MFM",0.000412181715153695,0.000168996232257808,0.000619176053690663,"AFM100","2050"
"RCP2.6_SFM",0.000405974438920531,0.00019817583213495,0.000604808247170616,"AFM100","2050"
"REF_MFM",0.000356097513230453,0.000120551401020139,0.000537702646889843,"AFM100","2050"
"REF_SFM",0.000355258752331687,0.000152084618100677,0.000532426304717033,"AFM100","2050"
