"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0735500812159952,0.0429543401924348,0.108759887982223
"RCP2.6_SFM","noAFM",0.0728193528362716,0.0423309198170506,0.107906762904383
"REF_MFM","noAFM",0.040386844406166,0.0164760490639438,0.0634584483885566
"REF_SFM","noAFM",0.0405743790721584,0.0165850543826464,0.0637210769021078
"RCP2.6_MFM","AFMfree",0.0724368171917713,0.0402681512576516,0.105604657268375
"RCP2.6_SFM","AFMfree",0.0911120084894355,0.0512753674522723,0.131110499404672
"REF_MFM","AFMfree",0.0369562150198525,0.0130778701579424,0.0570028065519752
"REF_SFM","AFMfree",0.0458258199564632,0.0169668399127539,0.0687448881047864
"RCP2.6_MFM","AFM25",0.0669578509718193,0.0361547529209647,0.0976236539848202
"RCP2.6_SFM","AFM25",0.0896573292753194,0.0470041775850227,0.127684945702387
"REF_MFM","AFM25",0.0336516334385213,0.0104797302662749,0.05181800995569
"REF_SFM","AFM25",0.0452328516318774,0.0167775327661723,0.0678696383997795
"RCP2.6_MFM","AFM50",0.0639556189176602,0.0338781628335683,0.0928346205367379
"RCP2.6_SFM","AFM50",0.090147880764239,0.0487722844132021,0.128576081191845
"REF_MFM","AFM50",0.0305940430624429,0.00806488128300032,0.046942758984798
"REF_SFM","AFM50",0.044577637068218,0.0170857752790511,0.0669642528202998
"RCP2.6_MFM","AFM75",0.0606574234852537,0.031666154698413,0.0874582958607604
"RCP2.6_SFM","AFM75",0.0910264208399584,0.0510391460567532,0.130160453966681
"REF_MFM","AFM75",0.0279096782504109,0.00623324394731077,0.0426374220954002
"REF_SFM","AFM75",0.0440191234414792,0.0183481923418152,0.0659778028296184
"RCP2.6_MFM","AFM100",0.0582754359131202,0.0301601540411409,0.0834330814423851
"RCP2.6_SFM","AFM100",0.0894675437663176,0.0527004003739267,0.12705503001126
"REF_MFM","AFM100",0.0256226929334928,0.00444824562098136,0.0389023148553554
"REF_SFM","AFM100",0.0434715521136239,0.0202016706657253,0.0652475456433081
