"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0697513744864748,0.0103732160323641,0.0985057226049541,"noAFM","2020"
"RCP2.6_SFM",0.0699055390332489,0.0103088061653185,0.0987020936501012,"noAFM","2020"
"REF_MFM",0.070340806779743,0.0105365316680046,0.099566631234852,"noAFM","2020"
"REF_SFM",0.0704016631112396,0.0103535476831483,0.0996017009903775,"noAFM","2020"
"RCP2.6_MFM",0.0699404871063553,0.0104102961442366,0.0988234439501715,"AFMfree","2020"
"RCP2.6_SFM",0.072129359619986,0.0311116587354441,0.106740359693512,"AFMfree","2020"
"REF_MFM",0.0710347056861921,0.0105179477005011,0.100733162350574,"AFMfree","2020"
"REF_SFM",0.0764894337145957,0.0131420275634491,0.107917622355019,"AFMfree","2020"
"RCP2.6_MFM",0.0697608192568809,0.0103816069874951,0.0985254072324436,"AFM25","2020"
"RCP2.6_SFM",0.075294141219532,0.0128561631580569,0.10580528282007,"AFM25","2020"
"REF_MFM",0.070906678162759,0.0105349710370565,0.100525628774165,"AFM25","2020"
"REF_SFM",0.0763469206451304,0.0131464741298026,0.107645659151307,"AFM25","2020"
"RCP2.6_MFM",0.0699004476647624,0.0102866926369826,0.0986994171983163,"AFM50","2020"
"RCP2.6_SFM",0.0747882068284144,0.0127902376458008,0.104930557425332,"AFM50","2020"
"REF_MFM",0.0708029947027155,0.0104777624229036,0.100309090404484,"AFM50","2020"
"REF_SFM",0.0755139699496494,0.0128456929122312,0.10608176144368,"AFM50","2020"
"RCP2.6_MFM",0.0697035252782075,0.0103398238622296,0.0983922754925228,"AFM75","2020"
"RCP2.6_SFM",0.0741469002258615,0.0125293032569715,0.103713140643288,"AFM75","2020"
"REF_MFM",0.0705666620033817,0.0105652228203433,0.099970350461776,"AFM75","2020"
"REF_SFM",0.0747487056029467,0.0125809368473927,0.104615245733563,"AFM75","2020"
"RCP2.6_MFM",0.0697496302216611,0.0102110973224914,0.0984325998556125,"AFM100","2020"
"RCP2.6_SFM",0.0731933630095667,0.0121887515106088,0.101911768668005,"AFM100","2020"
"REF_MFM",0.0702544552714472,0.0103596361933688,0.0993171328260277,"AFM100","2020"
"REF_SFM",0.0737882354873328,0.012406123012894,0.102842359514533,"AFM100","2020"
"RCP2.6_MFM",0.0774931678766637,0.0099642445867301,0.107828119596552,"noAFM","2030"
"RCP2.6_SFM",0.0771215447136774,0.0104659478976796,0.107404690351541,"noAFM","2030"
"REF_MFM",0.0743115733141812,0.00957108282497843,0.104251508301987,"noAFM","2030"
"REF_SFM",0.0737612230713839,0.009757224364906,0.103606657265477,"noAFM","2030"
"RCP2.6_MFM",0.0763748481626048,0.00998818399279385,0.105113434218497,"AFMfree","2030"
"RCP2.6_SFM",0.076694789444737,0.0348147155389921,0.11157948346817,"AFMfree","2030"
"REF_MFM",0.0740637636579881,0.0093096076483992,0.10264174926407,"AFMfree","2030"
"REF_SFM",0.0773699303246134,0.0114943632261588,0.106816256674699,"AFMfree","2030"
"RCP2.6_MFM",0.0774183372832306,0.0100094292542427,0.105698042756573,"AFM25","2030"
"RCP2.6_SFM",0.0806261038530282,0.0116769545183076,0.109949333179265,"AFM25","2030"
"REF_MFM",0.074709398484918,0.0100476653877964,0.102908879418291,"AFM25","2030"
"REF_SFM",0.0774911934609019,0.0111995988399075,0.106587176157457,"AFM25","2030"
"RCP2.6_MFM",0.0770082271990413,0.0097227549133481,0.105148702463087,"AFM50","2030"
"RCP2.6_SFM",0.0815868189903973,0.0111382957644149,0.11080762702242,"AFM50","2030"
"REF_MFM",0.0736418490374879,0.00930158622738122,0.101425259581803,"AFM50","2030"
"REF_SFM",0.0769539671416339,0.0110992498238178,0.105496063285182,"AFM50","2030"
"RCP2.6_MFM",0.076490099768315,0.00891737538867204,0.104240436848391,"AFM75","2030"
"RCP2.6_SFM",0.0852611516893742,0.00939067469032072,0.114452386795411,"AFM75","2030"
"REF_MFM",0.0732615608220002,0.00897113201374342,0.100720324065814,"AFM75","2030"
"REF_SFM",0.0800237614718934,0.00928098457033431,0.10832553879099,"AFM75","2030"
"RCP2.6_MFM",0.075437148127181,0.00704304446109957,0.10293413371788,"AFM100","2030"
"RCP2.6_SFM",0.0875067555642057,0.0108104391441289,0.117428216574591,"AFM100","2030"
"REF_MFM",0.0718882063857206,0.00761383337576547,0.0988570835667762,"AFM100","2030"
"REF_SFM",0.0838681606727415,0.00798174943469127,0.112574199109826,"AFM100","2030"
"RCP2.6_MFM",0.0852238019284677,0.0116381963989098,0.117514176963496,"noAFM","2040"
"RCP2.6_SFM",0.0855773779208878,0.0110786076969051,0.117912856690538,"noAFM","2040"
"REF_MFM",0.0791299665512805,0.00873123737535613,0.110034200523271,"noAFM","2040"
"REF_SFM",0.0786908613650858,0.00883498061094761,0.109525097265604,"noAFM","2040"
"RCP2.6_MFM",0.0887783776805434,0.0084494632519708,0.119449415181614,"AFMfree","2040"
"RCP2.6_SFM",0.0881547097844302,0.0417272505630935,0.126944497861333,"AFMfree","2040"
"REF_MFM",0.0772510785202778,0.00797044010599476,0.105955065408862,"AFMfree","2040"
"REF_SFM",0.0821369830773116,0.00998141879617819,0.112080084552142,"AFMfree","2040"
"RCP2.6_MFM",0.0860145845747611,0.00932676441114154,0.115767526724989,"AFM25","2040"
"RCP2.6_SFM",0.0920367412983465,0.0121193112221539,0.124001699112351,"AFM25","2040"
"REF_MFM",0.0780748759698468,0.00821136449806904,0.10648227517525,"AFM25","2040"
"REF_SFM",0.083395468815661,0.0103828311375257,0.113709080359084,"AFM25","2040"
"RCP2.6_MFM",0.084085223541678,0.0093838632263955,0.113344455294339,"AFM50","2040"
"RCP2.6_SFM",0.093591277328634,0.011935410809623,0.126074640561515,"AFM50","2040"
"REF_MFM",0.0767224017488175,0.00776499610616022,0.104662704518812,"AFM50","2040"
"REF_SFM",0.0844728692370962,0.0110070744624071,0.115140708803266,"AFM50","2040"
"RCP2.6_MFM",0.0821235977257356,0.00911901400838917,0.110858314057011,"AFM75","2040"
"RCP2.6_SFM",0.104390131066045,0.007479160977687,0.137935202197809,"AFM75","2040"
"REF_MFM",0.0760898876340889,0.00716488982908996,0.103632242762153,"AFM75","2040"
"REF_SFM",0.0905822107578485,0.00838968139560202,0.121340135483709,"AFM75","2040"
"RCP2.6_MFM",0.0837172527312406,0.00523359985818237,0.112404811324981,"AFM100","2040"
"RCP2.6_SFM",0.110059528914878,0.010763989616444,0.145828239993591,"AFM100","2040"
"REF_MFM",0.0745716176547501,0.0048442431826989,0.101292239594033,"AFM100","2040"
"REF_SFM",0.101230458517799,0.00410124958314497,0.133758947805897,"AFM100","2040"
"RCP2.6_MFM",0.109857328385593,0.00642963575288652,0.147170077025069,"noAFM","2050"
"RCP2.6_SFM",0.11429703650534,0.00359723679288078,0.152236242844859,"noAFM","2050"
"REF_MFM",0.0957511298343405,0.000293289403048371,0.129308204371885,"noAFM","2050"
"REF_SFM",0.0945963208203663,0.00110063244092769,0.128061415527295,"noAFM","2050"
"RCP2.6_MFM",0.104378542903087,0.00806421003815582,0.139253587584743,"AFMfree","2050"
"RCP2.6_SFM",0.104435518129373,0.0510101813709197,0.149831328394155,"AFMfree","2050"
"REF_MFM",0.091193318126224,0.000322649769615368,0.122068869598949,"AFMfree","2050"
"REF_SFM",0.0965130794047368,0.00128313874070163,0.128408440146811,"AFMfree","2050"
"RCP2.6_MFM",0.101462512616944,0.00808035026005994,0.135335602309164,"AFM25","2050"
"RCP2.6_SFM",0.113416229097963,0.01205929125228,0.151276374940345,"AFM25","2050"
"REF_MFM",0.0856047453009573,0.00399332532532762,0.115477455678377,"AFM25","2050"
"REF_SFM",0.0952903220436616,0.0066365538601346,0.128321315209799,"AFM25","2050"
"RCP2.6_MFM",0.10113692613947,0.00625253074994496,0.134555953645693,"AFM50","2050"
"RCP2.6_SFM",0.117007192638595,0.012416865654256,0.155823806964108,"AFM50","2050"
"REF_MFM",0.084735376468734,0.00287960543259682,0.113947967123948,"AFM50","2050"
"REF_SFM",0.0982514680350484,0.00843766068598589,0.132310482345845,"AFM50","2050"
"RCP2.6_MFM",0.102450968829488,0.00470895708753098,0.135846474815929,"AFM75","2050"
"RCP2.6_SFM",0.135575402734454,0.00327031726032134,0.176121083164326,"AFM75","2050"
"REF_MFM",0.0831976722044363,0.0030479798630212,0.112045334315232,"AFM75","2050"
"REF_SFM",0.112890399707407,0.00166931139094108,0.1487264914167,"AFM75","2050"
"RCP2.6_MFM",0.100868347599829,0.00482868379219686,0.133870342060724,"AFM100","2050"
"RCP2.6_SFM",0.143727877426338,0.00816038410494973,0.187597482209481,"AFM100","2050"
"REF_MFM",0.0828448450013513,0.00126454154610199,0.111094557199931,"AFM100","2050"
"REF_SFM",0.127490244729629,-0.00410594448410908,0.165220125370328,"AFM100","2050"
"RCP2.6_MFM",0.126212004832201,0.0086764805450068,0.168408929146189,"noAFM","2060"
"RCP2.6_SFM",0.13373615476547,0.00206844365905089,0.176672727360274,"noAFM","2060"
"REF_MFM",0.100137365561242,-0.00300823091303809,0.134176716981036,"noAFM","2060"
"REF_SFM",0.101764788883847,-0.00429739331209228,0.135894756510228,"noAFM","2060"
"RCP2.6_MFM",0.113693763454726,0.0128699413609831,0.151971078102981,"AFMfree","2060"
"RCP2.6_SFM",0.122346283720421,0.0610341849278109,0.175023141183053,"AFMfree","2060"
"REF_MFM",0.0930508922446974,-0.00209316964777086,0.124085407322165,"AFMfree","2060"
"REF_SFM",0.100158171098801,-0.00591568445842762,0.131437720346908,"AFMfree","2060"
"RCP2.6_MFM",0.118181687956883,0.00592679008064963,0.156077624193195,"AFM25","2060"
"RCP2.6_SFM",0.12941626570622,0.0179331158714268,0.17258971963642,"AFM25","2060"
"REF_MFM",0.0879999986491076,-0.000123088280061062,0.117834911238316,"AFM25","2060"
"REF_SFM",0.0999680840359984,0.00365589483334087,0.133884954151596,"AFM25","2060"
"RCP2.6_MFM",0.110848384303906,0.0104751645260451,0.147849400358529,"AFM50","2060"
"RCP2.6_SFM",0.139309510969291,0.0162596415415943,0.18486841638009,"AFM50","2060"
"REF_MFM",0.0875923119718265,-0.00220326129033974,0.116725850288239,"AFM50","2060"
"REF_SFM",0.106532160820835,0.00707411192508151,0.143057272554866,"AFM50","2060"
"RCP2.6_MFM",0.119235589927693,0.00281139607191458,0.156969360207516,"AFM75","2060"
"RCP2.6_SFM",0.169611763786906,0.00304831068180572,0.218310119401636,"AFM75","2060"
"REF_MFM",0.0881660808683368,-0.0031538460619123,0.117160929507005,"AFM75","2060"
"REF_SFM",0.125189748885486,-0.00371162983713104,0.163387180326573,"AFM75","2060"
"RCP2.6_MFM",0.117918254108575,0.00501948953401642,0.155937372916173,"AFM100","2060"
"RCP2.6_SFM",0.182939415636103,0.0107131670646183,0.237347235410236,"AFM100","2060"
"REF_MFM",0.0891727702224257,-0.00547363882058799,0.11788219940479,"AFM100","2060"
"REF_SFM",0.152087689544965,-0.0150786710098852,0.194295955023797,"AFM100","2060"
