"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.0046366294066264
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0535183717992165
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0353140358322946
"RCP2.6_MFM","noAFM","Annual_crops",0.0114477876062173
"RCP2.6_MFM","noAFM","Pasture",0.0796820959991066
"RCP2.6_MFM","noAFM","Permanent_crops",0.0861487670870704
"RCP2.6_MFM","noAFM","Urban",0.0226141441696471
"RCP2.6_SFM","noAFM","Afforestation",0.00463646120870934
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0535043539051258
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0353124300903407
"RCP2.6_SFM","noAFM","Annual_crops",0.0114474807891878
"RCP2.6_SFM","noAFM","Pasture",0.0796778187587496
"RCP2.6_SFM","noAFM","Permanent_crops",0.0861479130140301
"RCP2.6_SFM","noAFM","Urban",0.0226133425807352
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0403546432768632
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00828905286048246
"REF_MFM","noAFM","Annual_crops",0.0828523170960429
"REF_MFM","noAFM","Pasture",0.0901922831117721
"REF_MFM","noAFM","Permanent_crops",0.0882807203500036
"REF_MFM","noAFM","Urban",0.0240484897728955
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0403664440060489
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00830314203051446
"REF_SFM","noAFM","Annual_crops",0.0828312892858612
"REF_SFM","noAFM","Pasture",0.0901921504241177
"REF_SFM","noAFM","Permanent_crops",0.088280236870501
"REF_SFM","noAFM","Urban",0.0240475824018585
"RCP2.6_MFM","AFMfree","Afforestation",0.00460699885082328
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0484092145864139
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0344127711108782
"RCP2.6_MFM","AFMfree","Annual_crops",0.0115287762953019
"RCP2.6_MFM","AFMfree","Pasture",0.0796071065042235
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0857267561458926
"RCP2.6_MFM","AFMfree","Urban",0.0224707517945656
"RCP2.6_SFM","AFMfree","Afforestation",0.00460672210933854
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0483375270820268
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0343775347294047
"RCP2.6_SFM","AFMfree","Annual_crops",0.0114991135020991
"RCP2.6_SFM","AFMfree","Pasture",0.0795923793568701
"RCP2.6_SFM","AFMfree","Permanent_crops",0.0857099160165944
"RCP2.6_SFM","AFMfree","Urban",0.022472161445709
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.037405306476442
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00795428058199312
"REF_MFM","AFMfree","Annual_crops",0.0827439572712296
"REF_MFM","AFMfree","Pasture",0.0902797578679521
"REF_MFM","AFMfree","Permanent_crops",0.0881435954685702
"REF_MFM","AFMfree","Urban",0.0240016121808158
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.0379869318511428
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00796695555025236
"REF_SFM","AFMfree","Annual_crops",0.0828269116324919
"REF_SFM","AFMfree","Pasture",0.0902779490044244
"REF_SFM","AFMfree","Permanent_crops",0.08821291965064
"REF_SFM","AFMfree","Urban",0.0239972460317277
"RCP2.6_MFM","AFM25","Afforestation",0.00459751567024468
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0465045464271095
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0348297172398055
"RCP2.6_MFM","AFM25","Annual_crops",0.0112876364067876
"RCP2.6_MFM","AFM25","Pasture",0.0793816055048592
"RCP2.6_MFM","AFM25","Permanent_crops",0.0856254801876808
"RCP2.6_MFM","AFM25","Urban",0.022434307131848
"RCP2.6_SFM","AFM25","Afforestation",0.00459776001851872
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.0459805909572808
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0354471026347428
"RCP2.6_SFM","AFM25","Annual_crops",0.0111240743508297
"RCP2.6_SFM","AFM25","Pasture",0.0791856179184719
"RCP2.6_SFM","AFM25","Permanent_crops",0.0856437037998612
"RCP2.6_SFM","AFM25","Urban",0.0224421044029066
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.0377089389283706
"REF_MFM","AFM25","Energy_crops_and_plantations",0.00799701248004166
"REF_MFM","AFM25","Annual_crops",0.0826633294114035
"REF_MFM","AFM25","Pasture",0.0900727148693773
"REF_MFM","AFM25","Permanent_crops",0.0881416557826899
"REF_MFM","AFM25","Urban",0.0239125941126636
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Forest",0.0385475515879756
"REF_SFM","AFM25","Energy_crops_and_plantations",0.00815056811871906
"REF_SFM","AFM25","Annual_crops",0.082918706654381
"REF_SFM","AFM25","Pasture",0.0903758657824354
"REF_SFM","AFM25","Permanent_crops",0.088442730863412
"REF_SFM","AFM25","Urban",0.0240275606468936
"RCP2.6_MFM","AFM50","Afforestation",0.00458954512252261
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Forest",0.0440807953394201
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",0.0352348441291205
"RCP2.6_MFM","AFM50","Annual_crops",0.0111768018727595
"RCP2.6_MFM","AFM50","Pasture",0.0791348576447482
"RCP2.6_MFM","AFM50","Permanent_crops",0.0855517609373142
"RCP2.6_MFM","AFM50","Urban",0.0223949055482703
