"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.1757394582901,9.30484344641235,18.9422361258501
"RCP2.6_SFM","noAFM",14.1762268003581,9.30516314130885,18.9429347315442
"REF_MFM","noAFM",16.3214713076653,10.9127083207069,22.156623288296
"REF_SFM","noAFM",16.3216533348308,10.9128778784049,22.1567701199188
"RCP2.6_MFM","AFMfree",14.1548045428636,9.28337469597289,18.9098410898252
"RCP2.6_SFM","AFMfree",14.1541663801386,9.28298058764451,18.909127459347
"REF_MFM","AFMfree",16.3004990458051,10.8957107603809,22.1233228594467
"REF_SFM","AFMfree",16.3020072272921,10.8979837579352,22.1259241905391
"RCP2.6_MFM","AFM25",14.15308797678,9.28244709022443,18.9065584521803
"RCP2.6_SFM","AFM25",14.1603594358814,9.2901364595991,18.9169156407313
"REF_MFM","AFM25",16.3013421995119,10.8961685573917,22.1254703967951
"REF_SFM","AFM25",16.3078519082871,10.9033445952344,22.1364430165085
"RCP2.6_MFM","AFM50",14.1542930217709,9.28375314564368,18.9074833356606
"RCP2.6_SFM","AFM50",14.1812694927531,9.31033080020783,18.9469399414238
"REF_MFM","AFM50",16.3018773701718,10.8967865579859,22.1266866846247
"REF_SFM","AFM50",16.3315979997747,10.9215212630419,22.1723104421683
"RCP2.6_MFM","AFM75",14.1615794409734,9.28996594867062,18.9172792735315
"RCP2.6_SFM","AFM75",14.1877013582638,9.32047061622443,18.9551400383113
"REF_MFM","AFM75",16.3097766187401,10.9022104850239,22.1380442885589
"REF_SFM","AFM75",16.3460969643204,10.9343110088797,22.1943417658656
"RCP2.6_MFM","AFM100",14.1657622144479,9.29580754687619,18.9224508158053
"RCP2.6_SFM","AFM100",14.2042191306,9.3360846318374,18.9786018126735
"REF_MFM","AFM100",16.3169997917623,10.9083927697722,22.1487340735578
"REF_SFM","AFM100",16.3711395932527,10.9534637869784,22.2323270405865
