Climate scenario,Forest use scenario,Management scenario,Domestic or imported,Category,Extinction risk [PDF]
RCP2.6,CFM,Baseline (noAFM),Import,Clear-cut,0.000212393
RCP2.6,CFM,Baseline (noAFM),Import,Energy plantations,0.000454251
RCP2.6,CFM,Baseline (noAFM),Import,Selection,0
RCP2.6,CFM,Baseline (noAFM),Import,Selective,0
RCP2.6,CFM,Baseline (noAFM),Import,Timber and pulp plantatios,0.000833605
RCP2.6,CFM,Baseline (noAFM),EU28,Clear-cut,0.000291602
RCP2.6,CFM,Baseline (noAFM),EU28,Lignocell. energy crops,0.000351744
RCP2.6,CFM,Baseline (noAFM),EU28,Retention,0
RCP2.6,CFM,Baseline (noAFM),EU28,Selection,1.67E-06
RCP6.5,CFM,Baseline (noAFM),Import,Clear-cut,0.000202715
RCP6.5,CFM,Baseline (noAFM),Import,Energy plantations,4.88E-05
RCP6.5,CFM,Baseline (noAFM),Import,Selection,0
RCP6.5,CFM,Baseline (noAFM),Import,Selective,0
RCP6.5,CFM,Baseline (noAFM),Import,Timber and pulp plantatios,0.000571486
RCP6.5,CFM,Baseline (noAFM),EU28,Clear-cut,0.000187759
RCP6.5,CFM,Baseline (noAFM),EU28,Lignocell. energy crops,8.27E-05
RCP6.5,CFM,Baseline (noAFM),EU28,Retention,0
RCP6.5,CFM,Baseline (noAFM),EU28,Selection,9.15E-06
RCP2.6,SFM,Baseline (noAFM),Import,Clear-cut,0.000212676
RCP2.6,SFM,Baseline (noAFM),Import,Energy plantations,0.000451812
RCP2.6,SFM,Baseline (noAFM),Import,Selection,0
RCP2.6,SFM,Baseline (noAFM),Import,Selective,0
RCP2.6,SFM,Baseline (noAFM),Import,Timber and pulp plantatios,0.000842445
RCP2.6,SFM,Baseline (noAFM),EU28,Clear-cut,0.000291634
RCP2.6,SFM,Baseline (noAFM),EU28,Lignocell. energy crops,0.000351733
RCP2.6,SFM,Baseline (noAFM),EU28,Retention,0
RCP2.6,SFM,Baseline (noAFM),EU28,Selection,1.67E-06
RCP6.5,SFM,Baseline (noAFM),Import,Clear-cut,0.00020166
RCP6.5,SFM,Baseline (noAFM),Import,Energy plantations,5.16E-05
RCP6.5,SFM,Baseline (noAFM),Import,Selection,0
RCP6.5,SFM,Baseline (noAFM),Import,Selective,0
RCP6.5,SFM,Baseline (noAFM),Import,Timber and pulp plantatios,0.000583195
RCP6.5,SFM,Baseline (noAFM),EU28,Clear-cut,0.00018784
RCP6.5,SFM,Baseline (noAFM),EU28,Lignocell. energy crops,8.29E-05
RCP6.5,SFM,Baseline (noAFM),EU28,Retention,0
RCP6.5,SFM,Baseline (noAFM),EU28,Selection,9.14E-06
