"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00214526840078214,0.00123020551882986,0.00304016865248579
"RCP2.6_SFM","noAFM",0.00215197183855375,0.00123302298315929,0.00304983932347038
"REF_MFM","noAFM",0.00110263721060404,0.000558105444559543,0.00159956529718708
"REF_SFM","noAFM",0.00111633174220655,0.00056563848115687,0.00161833952998972
"RCP2.6_MFM","AFMfree",0.00174577581003884,0.000979189840810233,0.00246903980046456
"RCP2.6_SFM","AFMfree",0.0017238512654248,0.000967334508579167,0.00244147506711995
"REF_MFM","AFMfree",0.000781789249750357,0.000365744308888557,0.00114060300433594
"REF_SFM","AFMfree",0.000803348682018157,0.000387750671031383,0.00117527721772289
"RCP2.6_MFM","AFM25",0.00180175738415075,0.00101223275039471,0.00253907185468787
"RCP2.6_SFM","AFM25",0.00203457169946693,0.00115720313290131,0.00285850508104881
"REF_MFM","AFM25",0.000805731197153751,0.000374354419559827,0.00118133758323402
"REF_SFM","AFM25",0.000926469011447536,0.000461872743206842,0.00135569410401691
"RCP2.6_MFM","AFM50",0.0019083019155073,0.00107177663378469,0.00267852833528306
"RCP2.6_SFM","AFM50",0.00255479032583178,0.0014627956599855,0.00356001826547847
"REF_MFM","AFM50",0.000845267173199003,0.000392819910565924,0.0012377634200747
"REF_SFM","AFM50",0.00131326941409078,0.000682641413894724,0.00188386824292475
"RCP2.6_MFM","AFM75",0.0021089206168372,0.00118671079254445,0.00294433600482521
"RCP2.6_SFM","AFM75",0.00290691354426329,0.00169092212067237,0.00402929188878013
"REF_MFM","AFM75",0.000953092914947767,0.000448382800921994,0.00138236377787956
"REF_SFM","AFM75",0.00168926610611248,0.000899313771861413,0.00239740252383908
"RCP2.6_MFM","AFM100",0.00224540842323576,0.00126965437744234,0.00312025469519003
"RCP2.6_SFM","AFM100",0.00332656437727511,0.00193817183388065,0.00459391408504227
"REF_MFM","AFM100",0.00108985119693839,0.000523810436896311,0.00156740461300618
"REF_SFM","AFM100",0.00220023592029039,0.00119657745293154,0.00309471636075868
