"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00064501921737613,0.00038522238640819,0.000984999900163826
"RCP2.6_SFM","noAFM",0.000645038465288244,0.000385246110383223,0.000985034762477894
"REF_MFM","noAFM",0.000279652648208222,0.000104744413113864,0.000451546741099994
"REF_SFM","noAFM",0.000279864081783435,0.000104914451990872,0.000451844573492314
"RCP2.6_MFM","AFMfree",0.000577225679099311,0.000315916365502512,0.000873799543428451
"RCP2.6_SFM","AFMfree",0.000577298430771614,0.000317209781873914,0.000874410126212948
"REF_MFM","AFMfree",0.00023940265357087,6.48977594797977e-05,0.000385023799217179
"REF_SFM","AFMfree",0.000246849678163834,8.0120773192323e-05,0.000399547902977144
"RCP2.6_MFM","AFM25",0.000565546838505804,0.000309185406392054,0.000852489707312229
"RCP2.6_SFM","AFM25",0.000567783279052617,0.000327350643260774,0.000853455383565757
"REF_MFM","AFM25",0.000246241692228397,6.4807403308086e-05,0.000401403458318877
"REF_SFM","AFM25",0.000256568374218914,9.01100413087545e-05,0.000420190282280245
"RCP2.6_MFM","AFM50",0.00055155990757152,0.000300919059192955,0.00082689377744994
"RCP2.6_SFM","AFM50",0.000554119426817437,0.000334726602442406,0.000825963321083882
"REF_MFM","AFM50",0.00024233763493985,5.78933669581765e-05,0.000396727932102116
"REF_SFM","AFM50",0.000240419426964542,9.34445962474286e-05,0.000389828328878209
"RCP2.6_MFM","AFM75",0.000541260403441724,0.000296431802949761,0.000806310805983616
"RCP2.6_SFM","AFM75",0.000536501957065949,0.000340707216672355,0.000792202836833111
"REF_MFM","AFM75",0.000229653979363483,4.99598526852849e-05,0.000374078003029363
"REF_SFM","AFM75",0.000215543946098098,9.37400498742608e-05,0.000341892041516644
"RCP2.6_MFM","AFM100",0.000526709334856797,0.000290089389442626,0.000778403975487527
"RCP2.6_SFM","AFM100",0.000521482561875448,0.000350036681266983,0.000760352031683546
"REF_MFM","AFM100",0.000217156390067796,4.42519737889513e-05,0.000350400572111598
"REF_SFM","AFM100",0.000194944748337407,0.00010152576572764,0.000302796949126899
