"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.294308094352055,0.210473189159355,0.425790689175338
"RCP2.6_SFM","noAFM",0.294291559554243,0.21046481586228,0.425766651336004
"REF_MFM","noAFM",0.335035407440442,0.240164744754139,0.471595091039072
"REF_SFM","noAFM",0.335050230468894,0.240173472237091,0.471619408278899
"RCP2.6_MFM","AFMfree",0.287313674290395,0.203318899427303,0.414148760577344
"RCP2.6_SFM","AFMfree",0.287275048230144,0.203411629257462,0.414151402264275
"REF_MFM","AFMfree",0.330417821447901,0.235564361160428,0.463875719927782
"REF_SFM","AFMfree",0.331351587034459,0.237405119717135,0.465597136729293
"RCP2.6_MFM","AFM25",0.285317647030082,0.202141350394303,0.410757421316383
"RCP2.6_SFM","AFM25",0.285253586344942,0.203701186196116,0.410576204283106
"REF_MFM","AFM25",0.331309660659027,0.235945070197887,0.46592076796217
"REF_SFM","AFM25",0.33293108200736,0.239037893928435,0.468829553528349
"RCP2.6_MFM","AFM50",0.283008025135475,0.200761811499748,0.406836195356127
"RCP2.6_SFM","AFM50",0.283170950440545,0.203875226124314,0.406960052544909
"REF_MFM","AFM50",0.330993670783028,0.235430659944326,0.465566340648136
"REF_SFM","AFM50",0.330698669684448,0.238861676008891,0.465043554148636
"RCP2.6_MFM","AFM75",0.281755433720555,0.200189781706748,0.404433258321218
"RCP2.6_SFM","AFM75",0.280810347205664,0.203963938554271,0.402985635613508
"REF_MFM","AFM75",0.329899013225511,0.234905727659773,0.463443981273716
"REF_SFM","AFM75",0.327363856680141,0.238106242193279,0.45926531750118
"RCP2.6_MFM","AFM100",0.281097116980316,0.200190492356716,0.402764462893147
"RCP2.6_SFM","AFM100",0.279310228898881,0.204645829537215,0.400210563222812
"REF_MFM","AFM100",0.329544909827162,0.23503425191335,0.462247140197253
"REF_SFM","AFM100",0.324611020986879,0.238126936482989,0.454831670051792
