"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000",4.23182378515393e-07,7.26299968841399e-07,4.63767160483729e-07,1.85136608875748e-06,NA,NA,3.39849106069436e-07
"RCP_MFM_AF0","2010",3.81258071626918e-07,7.2180422787238e-07,4.31991204773356e-07,1.99822725171835e-06,NA,NA,2.98890081995545e-07
"RCP_MFM_AF0","2020",3.45854431870329e-07,7.29853803065091e-07,4.05777900623651e-07,2.07283191170951e-06,7.03712419028017e-07,NA,2.66714507115056e-07
"RCP_MFM_AF0","2030",3.10583385405386e-07,7.28057873947529e-07,3.70136662589352e-07,2.17724753973982e-06,6.4925838107719e-07,NA,2.36027746538061e-07
"RCP_MFM_AF0","2040",2.76861022030262e-07,7.27959544719066e-07,3.43802112964028e-07,2.50564380221904e-06,6.26959619054831e-07,1.5784237764093e-06,2.04203669569233e-07
"RCP_MFM_AF0","2050",2.6389037511916e-07,7.24759709708849e-07,3.30060531470828e-07,2.53925136703684e-06,5.87302072371195e-07,1.68666453570782e-06,1.862945952121e-07
"RCP_MFM_AF0","2060",2.66478097783696e-07,7.18719281485596e-07,3.27952963180526e-07,2.78237014685667e-06,5.75556373057143e-07,1.92106845338968e-06,1.82511376653241e-07
"RCP_MFM_AF0","2070",2.89857871512347e-07,7.12725317735972e-07,3.44559509662759e-07,2.95853038750523e-06,5.43818373546843e-07,1.81362505182466e-06,1.90073450228908e-07
"RCP_MFM_AF0","2080",2.93499952044205e-07,7.07397779715573e-07,3.45463107264956e-07,3.15052504164281e-06,5.36594504320338e-07,1.76799225443619e-06,1.82441690238757e-07
"RCP_MFM_AF0","2090",2.8920839112607e-07,7.04113051972433e-07,3.40076233340709e-07,3.40104835585472e-06,5.26549626342855e-07,1.85603908985128e-06,1.70444553846933e-07
"RCP_MFM_AF0","2100",2.79429065054247e-07,6.96997102554385e-07,3.29817653000224e-07,3.40397105915983e-06,5.15027288758943e-07,2.02581740374895e-06,1.55732651013772e-07
"RCP_MFM_AF100","2000",4.23180959713447e-07,7.26296391285506e-07,4.63765452643597e-07,1.84983275519171e-06,NA,NA,3.39845035306558e-07
"RCP_MFM_AF100","2010",3.81256714182446e-07,7.21800496849379e-07,4.31989493723143e-07,1.99653924652576e-06,NA,NA,2.98886167041476e-07
"RCP_MFM_AF100","2020",3.48264725683263e-07,7.29680871374689e-07,4.0816662035916e-07,2.02958267257921e-06,7.04926076612901e-07,2.41411086067754e-06,2.69800433275339e-07
"RCP_MFM_AF100","2030",3.0635728600661e-07,7.25422667121807e-07,3.67011485904862e-07,2.12370419340389e-06,6.60153256968421e-07,2.42530445624022e-06,2.3340721870666e-07
"RCP_MFM_AF100","2040",2.74140249687758e-07,7.22184735769459e-07,3.41839279178125e-07,2.4717846962663e-06,6.04188754383437e-07,1.54117006922532e-06,1.97215552336743e-07
"RCP_MFM_AF100","2050",2.69531533753029e-07,7.22248153685163e-07,3.36001831124017e-07,2.77488030050342e-06,5.74035241352408e-07,1.62468445773e-06,1.81493705721494e-07
"RCP_MFM_AF100","2060",2.87148629356132e-07,7.18888250269219e-07,3.49548496441227e-07,3.12006317731194e-06,5.53975321829249e-07,1.90916057916592e-06,1.77211509933369e-07
"RCP_MFM_AF100","2070",3.15443593940435e-07,7.08872521679156e-07,3.72678994961402e-07,3.36408496283071e-06,5.17474608486291e-07,1.74544608556974e-06,1.74352447633011e-07
"RCP_MFM_AF100","2080",3.16965519361124e-07,7.0060423801415e-07,3.7397207594812e-07,3.49307368478176e-06,5.16673413725531e-07,1.65396950311504e-06,1.5588806448084e-07
"RCP_MFM_AF100","2090",3.02107881106251e-07,6.96771561786006e-07,3.62532251527566e-07,3.36028885466507e-06,5.1310186531404e-07,1.74230958008982e-06,1.31890625358949e-07
