"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0658362516620073,0.0284167753431536,0.0972127517325237,"noAFM","2020"
"RCP2.6_SFM",0.065794955957042,0.0283953431933779,0.0971550031419684,"noAFM","2020"
"REF_MFM",0.0662662091180768,0.0283086415969252,0.0979065691313403,"noAFM","2020"
"REF_SFM",0.0663292624266491,0.0283362564842192,0.0979965648716328,"noAFM","2020"
"RCP2.6_MFM",0.06577776915672,0.0283514176558908,0.0970850690124163,"AFMfree","2020"
"RCP2.6_SFM",0.0660882963895109,0.0285169262856139,0.0975858659735962,"AFMfree","2020"
"REF_MFM",0.0663461889108106,0.0283183511500168,0.0979917890895215,"AFMfree","2020"
"REF_SFM",0.0666475172444859,0.028407599513442,0.0985363412747259,"AFMfree","2020"
"RCP2.6_MFM",0.0657352665303491,0.0283325420612062,0.0970242485105924,"AFM25","2020"
"RCP2.6_SFM",0.0657350803845044,0.0283890339526194,0.0969323726492223,"AFM25","2020"
"REF_MFM",0.0664003522784884,0.0283635041673401,0.0980994480472293,"AFM25","2020"
"REF_SFM",0.0661945199958464,0.0282496066958193,0.0976841337530784,"AFM25","2020"
"RCP2.6_MFM",0.0658608418446551,0.0284331173383258,0.0972412185784308,"AFM50","2020"
"RCP2.6_SFM",0.0652781487623045,0.0282255544163246,0.0960861281682937,"AFM50","2020"
"REF_MFM",0.0663411055228182,0.028314511901958,0.0979659202831883,"AFM50","2020"
"REF_SFM",0.0657417005242953,0.0281118230937686,0.0968380017036727,"AFM50","2020"
"RCP2.6_MFM",0.065833450115207,0.028420055444577,0.0972030886339041,"AFM75","2020"
"RCP2.6_SFM",0.0644808025868143,0.0279238945843956,0.0946547591234282,"AFM75","2020"
"REF_MFM",0.0662925200328937,0.0282985145858431,0.0978912488059648,"AFM75","2020"
"REF_SFM",0.065092054956484,0.0278679949535774,0.0955911860600329,"AFM75","2020"
"RCP2.6_MFM",0.0657988420979342,0.0284030602215217,0.0971581828011791,"AFM100","2020"
"RCP2.6_SFM",0.0636340035552378,0.0276001435830537,0.0930618257678991,"AFM100","2020"
"REF_MFM",0.066219871932345,0.0282695210601379,0.0978100801209167,"AFM100","2020"
"REF_SFM",0.0642612060831531,0.027587718263603,0.0940514172584831,"AFM100","2020"
"RCP2.6_MFM",0.073127546913703,0.03324943968089,0.107461355833704,"noAFM","2030"
"RCP2.6_SFM",0.0730708180438381,0.0332390478522412,0.107373999268074,"noAFM","2030"
"REF_MFM",0.0710099617761143,0.0313765637584649,0.104653252570213,"noAFM","2030"
"REF_SFM",0.0712203740606145,0.0315047823980644,0.104941559539915,"noAFM","2030"
"RCP2.6_MFM",0.0725560757936237,0.0325153042113103,0.106478515395949,"AFMfree","2030"
"RCP2.6_SFM",0.0711903136954674,0.0321245140689185,0.104504949325132,"AFMfree","2030"
"REF_MFM",0.0701991524507074,0.0306024127606149,0.103326161516897,"AFMfree","2030"
"REF_SFM",0.0702505086449285,0.0308146080809788,0.103458558577609,"AFMfree","2030"
