"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0817778691758941,0.0490146184625577,0.121293623702326
"RCP2.6_SFM","noAFM",0.0817677871825058,0.049010066447445,0.121280829379191
"REF_MFM","noAFM",0.0413851756093254,0.0169597338309981,0.0631562284467713
"REF_SFM","noAFM",0.0414213713448367,0.0169856639805878,0.0632052983444669
"RCP2.6_MFM","AFMfree",0.0752951710940041,0.0422171766406897,0.110554982497485
"RCP2.6_SFM","AFMfree",0.0752877447741604,0.0423244577055557,0.110604375502859
"REF_MFM","AFMfree",0.0375266122898866,0.0130514386162893,0.0567130620477169
"REF_SFM","AFMfree",0.038372737130477,0.0146055636183793,0.0583174258039688
"RCP2.6_MFM","AFM25",0.0740316591851244,0.041484513300242,0.108297333589871
"RCP2.6_SFM","AFM25",0.0741183156658223,0.0432089168091194,0.108224420973034
"REF_MFM","AFM25",0.0381230929695435,0.0129992984237471,0.0582352669519438
"REF_SFM","AFM25",0.0391784768991138,0.0155184192711458,0.060157858979592
"RCP2.6_MFM","AFM50",0.0722913748353825,0.0404650194704311,0.105280847806938
"RCP2.6_SFM","AFM50",0.0725569901360393,0.0438281143713356,0.10521695431133
"REF_MFM","AFM50",0.0376562574959621,0.0122633971884667,0.057665241986484
"REF_SFM","AFM50",0.0373963345777419,0.0157690986371863,0.0568947335673288
"RCP2.6_MFM","AFM75",0.0711080600114885,0.039920823546903,0.103021035118776
"RCP2.6_SFM","AFM75",0.0703062452822107,0.0441324310281682,0.101197783183504
"REF_MFM","AFM75",0.0361966892775433,0.0113747632870557,0.0551435282597808
"REF_SFM","AFM75",0.0347202602048728,0.0157023639146151,0.0518486692002999
"RCP2.6_MFM","AFM100",0.0695569780201587,0.0392359079185355,0.100105040965398
"RCP2.6_SFM","AFM100",0.0684315067921094,0.0448545379116845,0.0975133314835797
"REF_MFM","AFM100",0.0348871874301496,0.0107757781666836,0.0526988427722722
"REF_SFM","AFM100",0.0324170653299512,0.0163585538411997,0.047613135184507
