"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","ANZ","2000",0,0,0,0,0.0636825856810938,0.046582952144236,0.482710244381111,0.016140628526263,0,6.63781121647249e-05,0,0,9.4094513808427e-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0412058496914456,0,0.00692089436665883,0,0.0157454583224417
"RCP_MFM_AF0","ANZ","2010",0,0,0,0,0.067118697341242,0.0466579291901926,0.489783467010788,0.0162411961586788,0,0.000117196442959074,0,0,9.62871766757583e-09,0,0,0,0,0,0,0,0,0,0,0,1.85649075148185e-05,0.0366882645039288,0,0.00752014781294383,0,0.020944632719817
"RCP_MFM_AF0","ANZ","2020",0,0,0,0,0.0715525733032251,0.0468499693654215,0.497146424878797,0.0163504733815943,0,0.000216741103933132,0,0,9.66487477950889e-09,0,0,0,0,0,0,0,0,0,0,0,3.04954926437311e-05,0.0327648052442394,0,0.00797478225761816,0,0.0234130934455388
"RCP_MFM_AF0","ANZ","2030",0,0,0,0,0.071086853300855,0.0467412728599457,0.482622159266311,0.0162674554539577,0,0.000216371369242165,0,0,1.00702572696182e-08,0,0,0,0,0,0,0,0,7.30724816033978e-09,0,0,6.79673109619033e-05,0.032844706027682,0,0.00832830333586588,0,0.0255343384482536
"RCP_MFM_AF0","ANZ","2040",0,0,0,0,0.0713338807259881,0.0468580661965235,0.481921017197694,0.0162813618874092,0,0.000216805527935759,0,0,1.04082433897886e-08,0,0,0,0,0,0,0,0,7.67943249411674e-09,0,0,0.000114963457160312,0.0329406336572749,0,0.00840456198961115,0,0.0271626239239238
"RCP_MFM_AF0","ANZ","2050",0,0,0,0,0.0710256191310756,0.0469276012235589,0.47971095594437,0.0162800913363193,0,0.000216949818768283,0,0,1.0443115683815e-08,0,0,0,0,0,0,0,0,1.68947107678029e-08,3.77292877065823e-10,0,0.000179442708093956,0.0322379019000429,0,0.00866143687963305,0,0.0290913468947434
"RCP_MFM_AF0","ANZ","2060",0,0,0,0,0.0725227939262751,0.0467878793964836,0.46727426827078,0.0162188285354438,0,0.00021637470100859,0,0,1.65752009000791e-08,0,0,0,0,0,0,0,0,1.72991223083432e-08,2.28066116844221e-09,0,0.000257781143548136,0.031301123751509,0,0.00887819057394267,0,0.0307873551347148
"RCP_MFM_AF0","ANZ","2070",0,0,0,0,0.0751448624232418,0.046664359309215,0.446066801796604,0.0161410983396647,0,0.000215643607503448,0,0,1.5789093767882e-08,0,0,0,0,0,0,0,0,0.000108073800801571,6.2796737877516e-09,0,0.000287818253598089,0.0302536735432634,0,0.00907876765405761,0,0.0328563452669995
"RCP_MFM_AF0","ANZ","2080",0,0,0,0,0.0732759680575525,0.0469299422241685,0.419042424581858,0.0162303301758445,0,0.000215835882326665,0,0,1.45014879227594e-08,0,0,0,0,0,0,0,0,0.0139609441603157,8.51511057025759e-07,0,0.000322789215106508,0.0271201817946206,0,0.0100263768198848,0,0.0400379124417872
"RCP_MFM_AF0","ANZ","2090",0,0,0,0,0.0727714765599372,0.0475584953642055,0.385873839789275,0.0164510271673048,0,0.000220106271469552,0,0,2.34948438929568e-08,0,0,0,0,0,0,0,0,0.0392111725683852,8.87029038027556e-07,0,0.000358525321489232,0.0203745597006977,0,0.0121200535411777,0,0.0571182157615953
"RCP_MFM_AF0","ANZ","2100",0,0,0,0,0.059257002177071,0.0476022039072456,0.362048329012438,0.0163859043631496,0,0.000223585143526821,0,0,2.42051922680046e-08,0,0,0,0,0,0,0,0,0.0523153133925926,8.39222009684508e-07,0,0.00154750156097549,0.0110407875365996,0,0.0149284865385063,0,0.0800145408706082
"RCP_MFM_AF0","ArgentinaReg","2000",0,0,0,0,0.0386547358851915,0.0102140516233148,0.173263235265807,0.00244704981187038,0,9.33336533493777e-05,0,0,8.65536863778002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00804399095004268,0,0.00481215466801472,0,0.0183377044767103
"RCP_MFM_AF0","ArgentinaReg","2010",0,0,0,0,0.0397372026077373,0.0102264973377149,0.169517566843308,0.00243379222586911,0,0.00010113134929068,0,0,0.000119383007031172,0,0,0,0,0,0,0,0,0,0,0,0.00264413006013018,0.0060539772309513,0,0.00449806565653066,0,0.0174225270732026
"RCP_MFM_AF0","ArgentinaReg","2020",0,0,0,0,0.0447331955439188,0.0103271195382062,0.171957518122173,0.00245979164416291,0,0.000141990479248272,0,0,0.00012070286556751,0,0,0,0,0,0,0,0,0.000134765057858917,0,0,0.0026853901286044,0.00411555057334117,0,0.00461832726414446,0,0.0184081209241582
"RCP_MFM_AF0","ArgentinaReg","2030",0,0,0,0,0.0482112554855919,0.0102728964032785,0.160325503852183,0.0024450013764655,0,0.000146014084944072,0,0,0.000121295528139034,0,0,0,0,0,0,0,0,0.000721774218909767,0,0,0.00289518808561731,0.00388180266585275,0,0.00463658349181408,0,0.0189716036622486
"RCP_MFM_AF0","ArgentinaReg","2040",0,0,0,0,0.0525781176519079,0.0102716974098947,0.151170047756594,0.00244275405768973,0,0.000159098416094245,0,0,0.000172776293877964,0,0,0,0,0,0,0,0,0.00202923270224417,2.43436405285655e-06,0,0.00303161479566722,0.00368921629203687,0,0.00467177941284596,0,0.0194874635837756
"RCP_MFM_AF0","ArgentinaReg","2050",0,0,0,0,0.0560057811482923,0.0102850378921765,0.142843162738876,0.00244520394373217,0,0.000199457350507229,0,0,0.000193983783983326,0,0,0,0,0,0,0,0,0.00503902215813005,3.70724522001799e-05,0,0.00316426364444725,0.00363053598601165,0,0.00466827234668721,0,0.0198322865005988
"RCP_MFM_AF0","ArgentinaReg","2060",0,0,0,0,0.0574362803563859,0.0103422493804488,0.135506580594638,0.00245122606473004,0,0.000209430344605556,0,0,0.000194398627017765,0,0,0,0,0,0,0,0,0.0106558532422949,9.97175691184503e-05,0,0.00339173108437152,0.00347040541482205,0,0.00472456508929499,0,0.0203598189559618
"RCP_MFM_AF0","ArgentinaReg","2070",0,0,0,0,0.0579173379110314,0.0104732087202748,0.128739616567178,0.00247813512759123,0,0.000196686278885773,0,0,0.000187684065544352,0,0,0,0,0,0,0,0,0.0201081446900677,0.000377235222745613,0,0.00349516021094939,0.00332835947827025,0,0.00479328453542084,0,0.0208997196663063
"RCP_MFM_AF0","ArgentinaReg","2080",0,0,0,0,0.0584159066393215,0.0105473003139354,0.123075136509202,0.00249243061746519,0,0.000195610955364728,0,0,0.000300756994102477,0,0,0,0,0,0,0,0,0.0261820687528307,0.000789262945744605,0,0.00371618767207617,0.00286415643251728,0,0.00491961908419795,0,0.0221194707181361
