"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.000351743722515045
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.000293275494861086
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.000454250589882271
"RCP2.6_MFM","noAFM","Clear_cut_im",0.00021239322900596
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",0.00083360536451778
"RCP2.6_MFM","noAFM","Selection_im",0
"RCP2.6_MFM","noAFM","Selective_im",0
"RCP2.6_MFM","noAFM","ReducedImpactLogging_im",0
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.000351733115917897
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.000293305349370346
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.000451812301637342
"RCP2.6_SFM","noAFM","Clear_cut_im",0.000212675702874441
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",0.000842445368753722
"RCP2.6_SFM","noAFM","Selection_im",0
"RCP2.6_SFM","noAFM","Selective_im",0
"RCP2.6_SFM","noAFM","ReducedImpactLogging_im",0
"REF_MFM","noAFM","EU28_Energy_crops",8.27444439131752e-05
"REF_MFM","noAFM","EU28_Forest_net",0.000196908204295047
"REF_MFM","noAFM","Import_Energy_plantations",4.87830153561766e-05
"REF_MFM","noAFM","Clear_cut_im",0.000202715085140627
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",0.000571486461899012
"REF_MFM","noAFM","Selection_im",0
"REF_MFM","noAFM","Selective_im",0
"REF_MFM","noAFM","ReducedImpactLogging_im",0
"REF_SFM","noAFM","EU28_Energy_crops",8.28855990741895e-05
"REF_SFM","noAFM","EU28_Forest_net",0.000196978482709246
"REF_SFM","noAFM","Import_Energy_plantations",5.16126651968838e-05
"REF_SFM","noAFM","Clear_cut_im",0.000201659745658766
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",0.000583195249567466
"REF_SFM","noAFM","Selection_im",0
"REF_SFM","noAFM","Selective_im",0
"REF_SFM","noAFM","ReducedImpactLogging_im",0
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.000343064122555681
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.00023416155654363
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.000407814993864167
"RCP2.6_MFM","AFMfree","Clear_cut_im",0.000153678023138103
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",0.000607057113937255
"RCP2.6_MFM","AFMfree","Selection_im",0
"RCP2.6_MFM","AFMfree","Selective_im",0
"RCP2.6_MFM","AFMfree","ReducedImpactLogging_im",0
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.00034256335857348
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.000234735072198134
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.000387156622337685
"RCP2.6_SFM","AFMfree","Clear_cut_im",0.000156426659184977
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",0.000602969553130522
"RCP2.6_SFM","AFMfree","Selection_im",0
"RCP2.6_SFM","AFMfree","Selective_im",0
"RCP2.6_SFM","AFMfree","ReducedImpactLogging_im",0
"REF_MFM","AFMfree","EU28_Energy_crops",7.91899706887859e-05
"REF_MFM","AFMfree","EU28_Forest_net",0.000160212682882084
"REF_MFM","AFMfree","Import_Energy_plantations",5.14101421696144e-05
"REF_MFM","AFMfree","Clear_cut_im",0.000133566581220752
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",0.00035740987278912
"REF_MFM","AFMfree","Selection_im",0
"REF_MFM","AFMfree","Selective_im",0
"REF_MFM","AFMfree","ReducedImpactLogging_im",0
"REF_SFM","AFMfree","EU28_Energy_crops",7.93689653846123e-05
"REF_SFM","AFMfree","EU28_Forest_net",0.000167480712779222
"REF_SFM","AFMfree","Import_Energy_plantations",4.76228007168028e-05
"REF_SFM","AFMfree","Clear_cut_im",0.00013578197933407
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",0.00037309422380345
"REF_SFM","AFMfree","Selection_im",0
"REF_SFM","AFMfree","Selective_im",0
"REF_SFM","AFMfree","ReducedImpactLogging_im",0
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.000347463433583583
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.000218083404922221
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.000461512759438893
"RCP2.6_MFM","AFM25","Clear_cut_im",0.000166112124938739
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",0.000608585661267317
"RCP2.6_MFM","AFM25","Selection_im",0
"RCP2.6_MFM","AFM25","Selective_im",0
"RCP2.6_MFM","AFM25","ReducedImpactLogging_im",0
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.000353313067420106
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.000214470211632511
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.00052298622584096
"RCP2.6_SFM","AFM25","Clear_cut_im",0.000195974640039631
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",0.00074782755453372
"RCP2.6_SFM","AFM25","Selection_im",0
"RCP2.6_SFM","AFM25","Selective_im",0
"RCP2.6_SFM","AFM25","ReducedImpactLogging_im",0
"REF_MFM","AFM25","EU28_Energy_crops",7.98368604851518e-05
"REF_MFM","AFM25","EU28_Forest_net",0.000166404831743245
"REF_MFM","AFM25","Import_Energy_plantations",4.86378686390715e-05
"REF_MFM","AFM25","Clear_cut_im",0.00013908626104583
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",0.000371765375240453
"REF_MFM","AFM25","Selection_im",0
"REF_MFM","AFM25","Selective_im",0
"REF_MFM","AFM25","ReducedImpactLogging_im",0
"REF_SFM","AFM25","EU28_Energy_crops",8.12323449260023e-05
"REF_SFM","AFM25","EU28_Forest_net",0.000175336029292912
"REF_SFM","AFM25","Import_Energy_plantations",5.51178844456071e-05
"REF_SFM","AFM25","Clear_cut_im",0.000182267690870672
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",0.000432515061912343
"REF_SFM","AFM25","Selection_im",0
"REF_SFM","AFM25","Selective_im",0
"REF_SFM","AFM25","ReducedImpactLogging_im",0
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.000351541198618661
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.000200018708952859
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.000517508742069603
"RCP2.6_MFM","AFM50","Clear_cut_im",0.000186364028903781
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",0.0006528692369624
"RCP2.6_MFM","AFM50","Selection_im",0
"RCP2.6_MFM","AFM50","Selective_im",0
"RCP2.6_MFM","AFM50","ReducedImpactLogging_im",0
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.00036324117726111
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.000190878249556327
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.000639992416626512
"RCP2.6_SFM","AFM50","Clear_cut_im",0.000249430196130024
"RCP2.6_SFM","AFM50","Pulp_Timber_Plantation_im",0.00111124828625781
"RCP2.6_SFM","AFM50","Selection_im",0
"RCP2.6_SFM","AFM50","Selective_im",0
"RCP2.6_SFM","AFM50","ReducedImpactLogging_im",0
"REF_MFM","AFM50","EU28_Energy_crops",8.09432520021318e-05
"REF_MFM","AFM50","EU28_Forest_net",0.000161394382937718
"REF_MFM","AFM50","Import_Energy_plantations",5.4164240971781e-05
"REF_MFM","AFM50","Clear_cut_im",0.000160167380583331
"REF_MFM","AFM50","Pulp_Timber_Plantation_im",0.000388597916704041
"REF_MFM","AFM50","Selection_im",0
"REF_MFM","AFM50","Selective_im",0
"REF_MFM","AFM50","ReducedImpactLogging_im",0
"REF_SFM","AFM50","EU28_Energy_crops",8.66613933665418e-05
"REF_SFM","AFM50","EU28_Forest_net",0.000153758033598
"REF_SFM","AFM50","Import_Energy_plantations",6.18280124408496e-05
"REF_SFM","AFM50","Clear_cut_im",0.000238810994150839
"REF_SFM","AFM50","Pulp_Timber_Plantation_im",0.000772210980534552
"REF_SFM","AFM50","Selection_im",0
"REF_SFM","AFM50","Selective_im",0
"REF_SFM","AFM50","ReducedImpactLogging_im",0
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.000358776149435155
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.000182484254006569
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.000558252725575381
"RCP2.6_MFM","AFM75","Clear_cut_im",0.000200729812603676
"RCP2.6_MFM","AFM75","Pulp_Timber_Plantation_im",0.000808677675216419
"RCP2.6_MFM","AFM75","Selection_im",0
"RCP2.6_MFM","AFM75","Selective_im",0
