"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.000296892633278272
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.000349372662213807
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.000446146551920463
"RCP2.6_MFM","noAFM","Import_Forest",0.000687635514066393
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.000293398350502548
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.000353463662228523
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.000426047454314878
"RCP2.6_SFM","noAFM","Import_Forest",0.000709219253551144
"REF_MFM","noAFM","EU28_Energy_crops",6.06920289110811e-05
"REF_MFM","noAFM","EU28_Forest_net",0.000297583461995242
"REF_MFM","noAFM","Import_Energy_plantations",4.30208295093877e-05
"REF_MFM","noAFM","Import_Forest",0.000802353126247013
"REF_SFM","noAFM","EU28_Energy_crops",6.12219989146961e-05
"REF_SFM","noAFM","EU28_Forest_net",0.000297701217608717
"REF_SFM","noAFM","Import_Energy_plantations",4.82525272802406e-05
"REF_SFM","noAFM","Import_Forest",0.000735780799339721
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.000319151907682463
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.000273064306629232
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.000352952515247305
"RCP2.6_MFM","AFMfree","Import_Forest",0.000499234562232735
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.000318903044477778
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.000271260317100954
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.000344678407605505
"RCP2.6_SFM","AFMfree","Import_Forest",0.000448859071776742
"REF_MFM","AFMfree","EU28_Energy_crops",6.25304879934575e-05
"REF_MFM","AFMfree","EU28_Forest_net",0.000218351912889259
"REF_MFM","AFMfree","Import_Energy_plantations",4.56498907828118e-05
"REF_MFM","AFMfree","Import_Forest",0.000541757649816537
"REF_SFM","AFMfree","EU28_Energy_crops",6.25253121289442e-05
"REF_SFM","AFMfree","EU28_Forest_net",0.000211476813084847
"REF_SFM","AFMfree","Import_Energy_plantations",4.01770264217842e-05
"REF_SFM","AFMfree","Import_Forest",0.000587703351813848
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.000295697519252034
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.000256933233277976
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.000381663572542575
"RCP2.6_MFM","AFM25","Import_Forest",0.00051629136126095
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.000304074190869579
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.000268826976283608
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.000424674125137948
"RCP2.6_SFM","AFM25","Import_Forest",0.000631482377238837
"REF_MFM","AFM25","EU28_Energy_crops",6.19658915813472e-05
"REF_MFM","AFM25","EU28_Forest_net",0.000196214842963956
"REF_MFM","AFM25","Import_Energy_plantations",4.87542421924303e-05
"REF_MFM","AFM25","Import_Forest",0.000568557784284962
"REF_SFM","AFM25","EU28_Energy_crops",6.20706597066308e-05
"REF_SFM","AFM25","EU28_Forest_net",0.000200768455222866
"REF_SFM","AFM25","Import_Energy_plantations",5.38647355209411e-05
"REF_SFM","AFM25","Import_Forest",0.000663087015049248
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.000295463361831837
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.000232323884649997
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.000427250785169748
"RCP2.6_MFM","AFM50","Import_Forest",0.000538674177378281
