"Pathway","Group","Scenario","EU28_forests_ratio","Import_forests_ratio","Import_energy_ratio","Imports_tot_ratio"
"REF","MFM","noAFM",5.66937474795186e-07,3.3508916354754e-06,2.24286330912063e-06,3.26871376837075e-06
"REF","MFM","AFMfree",3.93702912136491e-07,2.7742028781398e-06,2.51645192305014e-06,2.75229467290554e-06
"REF","MFM","AFM25",3.58371037591283e-07,2.82083609508856e-06,2.29577448603649e-06,2.77078749532857e-06
"REF","MFM","AFM50",3.25167728936874e-07,2.89632434961517e-06,2.19821682539339e-06,2.83337965859315e-06
"REF","MFM","AFM75",3.03852410202216e-07,2.75623537275913e-06,2.52734661697739e-06,2.7362144183614e-06
"REF","MFM","AFM100",3.03163220464694e-07,2.93981820196653e-06,2.30611981951535e-06,2.88252860372522e-06
"RCP2.6","MFM","noAFM",4.47240190104338e-07,2.87466382358079e-06,1.91242532871577e-06,2.39956978351887e-06
"RCP2.6","MFM","AFMfree",3.12335192473169e-07,2.66666417151804e-06,1.97081197204224e-06,2.32645377768412e-06
"RCP2.6","MFM","AFM25",3.05218628066314e-07,2.55692490109968e-06,1.96178846524935e-06,2.2648882783742e-06
"RCP2.6","MFM","AFM50",2.89931523385359e-07,2.49302093264353e-06,1.93149670302187e-06,2.20896559120416e-06
"RCP2.6","MFM","AFM75",2.75234674340355e-07,2.5068001048556e-06,1.94691165663107e-06,2.22765935185498e-06
"RCP2.6","MFM","AFM100",2.70472242784413e-07,2.53499687714349e-06,1.85191897719468e-06,2.19582140805172e-06
"REF","SFM","noAFM",5.70173426900433e-07,3.12924534574561e-06,2.48652908038784e-06,3.08024528804494e-06
"REF","SFM","AFMfree",3.8255096330562e-07,2.97347472218712e-06,2.49806444568936e-06,2.93770024579212e-06
"REF","SFM","AFM25",3.83392839749863e-07,2.88575081091005e-06,2.42209542373119e-06,2.84483643185777e-06
"REF","SFM","AFM50",4.16133930002423e-07,2.82359041243162e-06,2.33290322689478e-06,2.77570872417251e-06
"REF","SFM","AFM75",5.11484086257511e-07,3.41695422016769e-06,1.93174480374539e-06,3.28778100696679e-06
"REF","SFM","AFM100",8.03855861618002e-07,3.5324820402099e-06,1.82355348934402e-06,3.38333165933864e-06
"RCP2.6","SFM","noAFM",4.50373939235782e-07,2.88656106347599e-06,1.93188515455527e-06,2.43498490570426e-06
"RCP2.6","SFM","AFMfree",3.11654208025506e-07,2.43151765688836e-06,1.96962767749088e-06,2.20674043979273e-06
"RCP2.6","SFM","AFM25",3.41360200756787e-07,2.70745810459596e-06,1.92094433367436e-06,2.32472906148536e-06
"RCP2.6","SFM","AFM50",3.72656227088386e-07,2.90802280306348e-06,1.88960145715006e-06,2.41560773286991e-06
"RCP2.6","SFM","AFM75",4.73710750759673e-07,3.86872265122562e-06,1.74203543590958e-06,2.93372084449362e-06
"RCP2.6","SFM","AFM100",7.43408591226715e-07,3.62335891891559e-06,1.71068996604675e-06,2.80414865615703e-06
