"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","For_ReducedImpactLogging_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","ANZ","2000",0,0,0,0,0.000636825919959952,0.000465829481681191,0.00482710209198986,0.000161406332732506,0,6.76007522962471e-07,0,0,8.83485618389419e-11,0,0,0,1.10986762787809e-10,0,0,1.94289046392997e-11,0,0,0,0,0,0,0.000412054309075727,0,6.9208470780593e-05,0,0.000157453042966911
"RCP_MFM_AF0","ANZ","2010",0,0,0,0,0.000671183098588212,0.000466574430224238,0.00489781456453129,0.000162410721086553,0,8.75673164503795e-07,0,0,8.95370297828107e-11,0,0,0,1.05825595641459e-10,0,0,1.96900935357334e-11,0,0,0,0,0,1.85648728736363e-07,0.000366960651630523,0,7.52184048216776e-05,0,0.00020949001637332
"RCP_MFM_AF0","ANZ","2020",0,0,0,0,0.000715530877080966,0.000468504693341991,0.00497148431575843,0.000163506355199035,0,2.5564570235526e-06,0,0,9.70144454278555e-11,0,0,0,2.76378801427935e-10,0,0,2.13390698972106e-11,0,0,0,0,0,3.04956036332929e-07,0.000327548793495378,0,7.97242458090652e-05,0,0.000234061803691987
"RCP_MFM_AF0","ANZ","2030",0,0,0,0,0.000710873403155543,0.000467417702054242,0.00482624021739456,0.000162676127541689,0,2.55209779288951e-06,0,0,1.01356397051572e-10,0,0,0,2.52118971731368e-10,0,0,2.22980750048806e-11,0,0,7.30415361403815e-11,0,0,6.79675927163856e-07,0.00032834985264289,0,8.32593743653256e-05,0,0.000255270077159997
"RCP_MFM_AF0","ANZ","2040",0,0,0,0,0.000713343572573653,0.000468585670740645,0.00481922853888977,0.000162815173521977,0,2.55711105840341e-06,0,0,1.32802004949332e-10,0,0,0,2.47546520286917e-10,0,0,2.92246818902031e-11,0,0,7.67670477744207e-11,0,0,1.14964000777024e-06,0.000329309719670377,0,8.40221244048462e-05,0,0.000271549094837767
"RCP_MFM_AF0","ANZ","2050",0,0,0,0,0.000710260741745953,0.000469280994537649,0.00479712748164525,0.000162802439329916,0,2.55870372654682e-06,0,0,2.20290619984923e-10,0,0,0,2.44918027037266e-10,0,0,4.8522520478412e-11,0,0,1.68938364727299e-10,1.16901611536777e-11,0,1.79444603921961e-06,0.000322284703915462,0,8.65902385396156e-05,0,0.000290831056300219
"RCP_MFM_AF0","ANZ","2060",0,0,0,0,0.000725232284713672,0.000467883670589313,0.00467275949356839,0.000162189765977331,0,2.55209786764608e-06,0,0,2.10979997404211e-10,0,0,0,0,0,0,4.64899216448263e-11,0,0,1.72890455113805e-10,4.017673594447e-11,0,2.57783521229257e-06,0.000312919852086094,0,8.8757205872302e-05,0,0.000307786516776566
"RCP_MFM_AF0","ANZ","2070",0,0,0,0,0.000751452605525418,0.000466648353654064,0.00446068353692242,0.000161412406311562,0,2.54341651052794e-06,0,0,1.72285376552747e-10,0,0,0,0,0,0,3.80180861271044e-11,0,0,1.08074965769136e-06,6.63812596431636e-11,0,2.87820561975293e-06,0.000302448343082296,0,9.07623603803512e-05,0,0.00032847048219402
"RCP_MFM_AF0","ANZ","2080",0,0,0,0,0.000732767416069273,0.00046930423788239,0.00419044036662973,0.000162304698615416,0,2.56006172456324e-06,0,0,1.53199685042604e-10,0,0,0,0,0,0,3.38806380753146e-11,0,0,0.00013961158655436,6.89703212007943e-11,0,3.22791659072896e-06,0.000271119924501077,0,0.000100234773331322,0,0.000400261966128354
"RCP_MFM_AF0","ANZ","2090",0,0,0,0,0.000727721687531137,0.000475589594649574,0.00385875049196081,0.0001645115133701,0,2.61110167032929e-06,0,0,1.45158063178307e-10,0,0,0,0,0,0,3.21745867560471e-11,0,0,0.000392117835795601,7.00960459659089e-11,0,3.58527497085342e-06,0.000203683763714642,0,0.000121165254279209,0,0.000571014105876266
"RCP_MFM_AF0","ANZ","2100",0,0,0,0,0.000592574980787,0.000476025758052847,0.00362049067668174,0.000163859878395084,0,2.65184767388864e-06,0,0,1.4123448725962e-10,0,0,0,0,0,0,3.14394038382033e-11,0,0,0.000523160343967115,7.16956698303048e-11,0,1.54750800643657e-05,0.000110374217122339,0,0.000149240971514367,0,0.00079990858511459
"RCP_MFM_AF0","ArgentinaReg","2000",0,0,0,0,0.00038654362020012,0.000102137635170313,0.0017325921101729,2.44700046188699e-05,0,9.9995553194586e-07,0,0,7.54630780329818e-07,0,0,0,0,0,0,1.95975653286122e-07,0,0,0,0,0,0,8.03056155220165e-05,0,4.80477104512118e-05,0,0.00018309372473122
"RCP_MFM_AF0","ArgentinaReg","2010",0,0,0,0,0.000397361010449959,0.000102258957145613,0.00169510111170934,2.43368751111723e-05,0,1.01332711380284e-06,0,0,7.65147206045012e-07,0,0,0,0,0,0,1.98987726962306e-07,0,0,0,0,0,2.64406555776164e-05,6.0460551425937e-05,0,4.49241280644542e-05,0,0.000174009249130471
"RCP_MFM_AF0","ArgentinaReg","2020",0,0,0,0,0.000447313194075545,0.000103263513031227,0.00171949190314929,2.45966708272377e-05,0,1.16624803676917e-06,0,0,7.7419751508397e-07,0,0,0,0,0,0,2.01913022336749e-07,0,0,1.34758014608193e-06,0,0,2.68529355951775e-05,4.11244586944471e-05,0,4.61518873496282e-05,0,0.000183978208074178
"RCP_MFM_AF0","ArgentinaReg","2030",0,0,0,0,0.00048209121134827,0.000102721142883997,0.00160317603734951,2.4448745343412e-05,0,1.18953764968112e-06,0,0,7.75504350477513e-07,0,0,0,0,0,0,2.02735708801335e-07,0,0,7.21697389671435e-06,0,0,2.89506580470325e-05,3.879071378024e-05,0,4.63366541249276e-05,0,0.000189615266809617
"RCP_MFM_AF0","ArgentinaReg","2040",0,0,0,0,0.000525758143644441,0.000102706819129722,0.00151160893431521,2.44258787827642e-05,0,1.3058271771217e-06,0,0,1.42705688806857e-06,0,0,0,0,0,0,3.72191945159017e-07,0,0,2.02904297212971e-05,0,0,3.0314439182648e-05,3.67837291367385e-05,0,4.66058268018802e-05,0,0.000194434019280824
"RCP_MFM_AF0","ArgentinaReg","2050",0,0,0,0,0.000560102282941573,0.000102835170849706,0.00142840540519656,2.4449492535172e-05,0,1.46628421688009e-06,0,0,1.45828663343169e-06,0,0,0,0,0,0,3.81236857816898e-07,0,0,5.0382811853724e-05,1.04146518102032e-07,0,3.16400527365133e-05,3.62314801868047e-05,0,4.66089263675309e-05,0,0.000198044639579851
"RCP_MFM_AF0","ArgentinaReg","2060",0,0,0,0,0.000574641264907952,0.000103400329687166,0.00135525028012923,2.45083073404915e-05,0,1.54950607576161e-06,0,0,1.46148387613047e-06,0,0,0,0,0,0,3.83158585894389e-07,0,0,0.000106524941818441,8.43820849466071e-08,0,3.39136797457337e-05,3.46349160003765e-05,0,4.71705965652125e-05,0,0.000203310880270346
"RCP_MFM_AF0","ArgentinaReg","2070",0,0,0,0,0.000580402395430847,0.000104675653828844,0.00128843135998184,2.47699255490678e-05,0,1.47719146562659e-06,0,0,1.46595854433379e-06,0,0,0,0,0,0,3.8542932610008e-07,0,0,0.000200827976447476,1.42702542196555e-07,0,3.49443807721767e-05,3.32067663153521e-05,0,4.78357746711637e-05,0,0.000208618732904282
"RCP_MFM_AF0","ArgentinaReg","2080",0,0,0,0,0.000586883897211618,0.000105376192479726,0.00123266119259905,2.49051440178348e-05,0,1.47697085155032e-06,0,0,1.47400015615126e-06,0,0,0,0,0,0,3.88947165960239e-07,0,0,0.000261252298316973,1.06688401973089e-06,0,3.71486790962605e-05,2.86294936825701e-05,0,4.91595315954393e-05,0,0.000221080661019045
