"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000522135038529099,0,0,"noAFM","2020"
"RCP2.6_SFM",0.000523324688206919,0,0,"noAFM","2020"
"REF_MFM",0.000526674561470482,0,0,"noAFM","2020"
"REF_SFM",0.000526779838170125,0,0,"noAFM","2020"
"RCP2.6_MFM",0.000523994909079003,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.000488068027301611,0,0,"AFMfree","2020"
"REF_MFM",0.000533921714472827,0,0,"AFMfree","2020"
"REF_SFM",0.000529455508465547,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.000521952385816548,0,0,"AFM25","2020"
"RCP2.6_SFM",0.000519610168245207,0,0,"AFM25","2020"
"REF_MFM",0.00053241305179614,0,0,"AFM25","2020"
"REF_SFM",0.000528060674817319,0,0,"AFM25","2020"
"RCP2.6_MFM",0.000523620348667381,0,0,"AFM50","2020"
"RCP2.6_SFM",0.000514959485533356,0,0,"AFM50","2020"
"REF_MFM",0.00053167717435297,0,0,"AFM50","2020"
"REF_SFM",0.00051932814619635,0,0,"AFM50","2020"
"RCP2.6_MFM",0.000521264916463586,0,0,"AFM75","2020"
"RCP2.6_SFM",0.000508461283144101,0,0,"AFM75","2020"
"REF_MFM",0.000528754976411086,0,0,"AFM75","2020"
"REF_SFM",0.0005119394133465,0,0,"AFM75","2020"
"RCP2.6_MFM",0.000522110636601203,0,0,"AFM100","2020"
"RCP2.6_SFM",0.000498858174588585,0,0,"AFM100","2020"
"REF_MFM",0.000525768980229427,0,0,"AFM100","2020"
"REF_SFM",0.000502202787132111,0,0,"AFM100","2020"
"RCP2.6_MFM",0.000608854810583166,0,0,"noAFM","2030"
"RCP2.6_SFM",0.000602256172245466,0,0,"noAFM","2030"
"REF_MFM",0.000589467653522859,0,0,"noAFM","2030"
"REF_SFM",0.000583515599186916,0,0,"noAFM","2030"
"RCP2.6_MFM",0.000571715159476069,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.000522287136715508,0,0,"AFMfree","2030"
"REF_MFM",0.000556709758689023,0,0,"AFMfree","2030"
"REF_SFM",0.000544603152258702,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.000566395521647066,0,0,"AFM25","2030"
"RCP2.6_SFM",0.000561292206317308,0,0,"AFM25","2030"
"REF_MFM",0.000545948112917362,0,0,"AFM25","2030"
"REF_SFM",0.000546449812092109,0,0,"AFM25","2030"
"RCP2.6_MFM",0.00056486710550449,0,0,"AFM50","2030"
"RCP2.6_SFM",0.000571554977410198,0,0,"AFM50","2030"
"REF_MFM",0.000545509967205442,0,0,"AFM50","2030"
"REF_SFM",0.000541848825476657,0,0,"AFM50","2030"
"RCP2.6_MFM",0.000567671622154958,0,0,"AFM75","2030"
"RCP2.6_SFM",0.000608407411098863,0,0,"AFM75","2030"
"REF_MFM",0.000545440810632698,0,0,"AFM75","2030"
"REF_SFM",0.000572814974736882,0,0,"AFM75","2030"
"RCP2.6_MFM",0.000579882778452688,0,0,"AFM100","2030"
"RCP2.6_SFM",0.000630772765452412,0,0,"AFM100","2030"
"REF_MFM",0.000548725102099873,0,0,"AFM100","2030"
"REF_SFM",0.000611181875545134,0,0,"AFM100","2030"
"RCP2.6_MFM",0.000702771480271694,0,0,"noAFM","2040"
"RCP2.6_SFM",0.000698786159199619,0,0,"noAFM","2040"
"REF_MFM",0.00066222718336058,0,0,"noAFM","2040"
"REF_SFM",0.000657483140587839,0,0,"noAFM","2040"
"RCP2.6_MFM",0.000697673112229449,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.000631044978840749,0,0,"AFMfree","2040"
"REF_MFM",0.000609320090290931,0,0,"AFMfree","2040"
"REF_SFM",0.00060026299241796,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.000663186789442578,0,0,"AFM25","2040"
"RCP2.6_SFM",0.000669895134476726,0,0,"AFM25","2040"
"REF_MFM",0.000604320074126688,0,0,"AFM25","2040"
"REF_SFM",0.000613642832799525,0,0,"AFM25","2040"
"RCP2.6_MFM",0.000653516624524193,0,0,"AFM50","2040"
"RCP2.6_SFM",0.000687403265380947,0,0,"AFM50","2040"
"REF_MFM",0.000603463390244851,0,0,"AFM50","2040"
"REF_SFM",0.000625275221344391,0,0,"AFM50","2040"
"RCP2.6_MFM",0.00064937143703752,0,0,"AFM75","2040"
"RCP2.6_SFM",0.000794184448218324,0,0,"AFM75","2040"
"REF_MFM",0.00060567157040332,0,0,"AFM75","2040"
"REF_SFM",0.000685111704002701,0,0,"AFM75","2040"
"RCP2.6_MFM",0.000687119201469316,0,0,"AFM100","2040"
"RCP2.6_SFM",0.000849717696943062,0,0,"AFM100","2040"
"REF_MFM",0.000615197749742181,0,0,"AFM100","2040"
"REF_SFM",0.000791334810364455,0,0,"AFM100","2040"
"RCP2.6_MFM",0.000964131406369274,0,0,"noAFM","2050"
"RCP2.6_SFM",0.00100396592622795,0,0,"noAFM","2050"
"REF_MFM",0.000854804866206178,0,0,"noAFM","2050"
"REF_SFM",0.000842940616879234,0,0,"noAFM","2050"
"RCP2.6_MFM",0.000864941936245272,0,0,"AFMfree","2050"
"RCP2.6_SFM",0.00078407008875598,0,0,"AFMfree","2050"
"REF_MFM",0.000766142446479742,0,0,"AFMfree","2050"
"REF_SFM",0.000753002609677598,0,0,"AFMfree","2050"
"RCP2.6_MFM",0.000841167979488258,0,0,"AFM25","2050"
"RCP2.6_SFM",0.000873172392414555,0,0,"AFM25","2050"
"REF_MFM",0.000711902713455462,0,0,"AFM25","2050"
"REF_SFM",0.000741240735517874,0,0,"AFM25","2050"
"RCP2.6_MFM",0.000853417392289945,0,0,"AFM50","2050"
"RCP2.6_SFM",0.000906139157945656,0,0,"AFM50","2050"
"REF_MFM",0.00071547729160476,0,0,"AFM50","2050"
"REF_SFM",0.000768322563353994,0,0,"AFM50","2050"
"RCP2.6_MFM",0.000881036040330316,0,0,"AFM75","2050"
"RCP2.6_SFM",0.00108921236013725,0,0,"AFM75","2050"
"REF_MFM",0.000709054060586242,0,0,"AFM75","2050"
"REF_SFM",0.000912406494482702,0,0,"AFM75","2050"
"RCP2.6_MFM",0.000874932196256666,0,0,"AFM100","2050"
"RCP2.6_SFM",0.00117030868483261,0,0,"AFM100","2050"
"REF_MFM",0.000721266593036042,0,0,"AFM100","2050"
"REF_SFM",0.00105731692098725,0,0,"AFM100","2050"
"RCP2.6_MFM",0.00115834098483607,0,0,"noAFM","2060"
"RCP2.6_SFM",0.00123521140345238,0,0,"noAFM","2060"
"REF_MFM",0.000923696150938175,0,0,"noAFM","2060"
"REF_SFM",0.000939502639175812,0,0,"noAFM","2060"
"RCP2.6_MFM",0.000971145612478665,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.000951209248087025,0,0,"AFMfree","2060"
"REF_MFM",0.000809528922175476,0,0,"AFMfree","2060"
"REF_SFM",0.000806386940344157,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.00102519879906419,0,0,"AFM25","2060"
"RCP2.6_SFM",0.00101764434001441,0,0,"AFM25","2060"
"REF_MFM",0.000767254720985065,0,0,"AFM25","2060"
"REF_SFM",0.000802852963667356,0,0,"AFM25","2060"
"RCP2.6_MFM",0.000980256760477353,0,0,"AFM50","2060"
"RCP2.6_SFM",0.00111064825740579,0,0,"AFM50","2060"
"REF_MFM",0.000776256170872126,0,0,"AFM50","2060"
"REF_SFM",0.000864160601409017,0,0,"AFM50","2060"
"RCP2.6_MFM",0.00107554949639636,0,0,"AFM75","2060"
"RCP2.6_SFM",0.00141258984406853,0,0,"AFM75","2060"
"REF_MFM",0.000788788866983782,0,0,"AFM75","2060"
"REF_SFM",0.00104771561892008,0,0,"AFM75","2060"
"RCP2.6_MFM",0.00108461024294107,0,0,"AFM100","2060"
"RCP2.6_SFM",0.00155277893695346,0,0,"AFM100","2060"
"REF_MFM",0.000815351838373802,0,0,"AFM100","2060"
"REF_SFM",0.00132150013482388,0,0,"AFM100","2060"
"RCP2.6_MFM",0.00130328563478206,0,0,"noAFM","2070"
"RCP2.6_SFM",0.00131725179139219,0,0,"noAFM","2070"
"REF_MFM",0.000999724074202126,0,0,"noAFM","2070"
"REF_SFM",0.000995499738251902,0,0,"noAFM","2070"
"RCP2.6_MFM",0.00107131065483129,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.00101908496731021,0,0,"AFMfree","2070"
"REF_MFM",0.000824519140675457,0,0,"AFMfree","2070"
"REF_SFM",0.000823451443677317,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.00108791984752833,0,0,"AFM25","2070"
"RCP2.6_SFM",0.00111462935318565,0,0,"AFM25","2070"
"REF_MFM",0.000820987958770802,0,0,"AFM25","2070"
"REF_SFM",0.000851819640267567,0,0,"AFM25","2070"
"RCP2.6_MFM",0.00108739167605314,0,0,"AFM50","2070"
"RCP2.6_SFM",0.00126740022869182,0,0,"AFM50","2070"
"REF_MFM",0.00081108306009152,0,0,"AFM50","2070"
"REF_SFM",0.000944373601991845,0,0,"AFM50","2070"
"RCP2.6_MFM",0.00117428291937093,0,0,"AFM75","2070"
"RCP2.6_SFM",0.00175447796795694,0,0,"AFM75","2070"
"REF_MFM",0.000832703919138214,0,0,"AFM75","2070"
"REF_SFM",0.00123854000147117,0,0,"AFM75","2070"
"RCP2.6_MFM",0.00125120946659545,0,0,"AFM100","2070"
"RCP2.6_SFM",0.00198492524988494,0,0,"AFM100","2070"
"REF_MFM",0.000892924494966139,0,0,"AFM100","2070"
"REF_SFM",0.00158939898243077,0,0,"AFM100","2070"
"RCP2.6_MFM",0.00144528240745926,0,0,"noAFM","2080"
"RCP2.6_SFM",0.00145402020749753,0,0,"noAFM","2080"
"REF_MFM",0.00107045569687317,0,0,"noAFM","2080"
"REF_SFM",0.00108297343069011,0,0,"noAFM","2080"
"RCP2.6_MFM",0.00116918095501013,0,0,"AFMfree","2080"
"RCP2.6_SFM",0.00111869511528134,0,0,"AFMfree","2080"
"REF_MFM",0.00087595665367976,0,0,"AFMfree","2080"
"REF_SFM",0.000849032586719366,0,0,"AFMfree","2080"
"RCP2.6_MFM",0.00118750687527552,0,0,"AFM25","2080"
"RCP2.6_SFM",0.0012397712953558,0,0,"AFM25","2080"
"REF_MFM",0.000860646340607918,0,0,"AFM25","2080"
"REF_SFM",0.000891429000712377,0,0,"AFM25","2080"
"RCP2.6_MFM",0.00120444259129149,0,0,"AFM50","2080"
"RCP2.6_SFM",0.00146660337402334,0,0,"AFM50","2080"
"REF_MFM",0.000862938879678793,0,0,"AFM50","2080"
"REF_SFM",0.00103137353913475,0,0,"AFM50","2080"
"RCP2.6_MFM",0.00128684969427037,0,0,"AFM75","2080"
"RCP2.6_SFM",0.00211340330179755,0,0,"AFM75","2080"
"REF_MFM",0.000875949627872213,0,0,"AFM75","2080"
"REF_SFM",0.00140351404532179,0,0,"AFM75","2080"
"RCP2.6_MFM",0.00138573606600162,0,0,"AFM100","2080"
"RCP2.6_SFM",0.00232858683196703,0,0,"AFM100","2080"
"REF_MFM",0.000956583896555494,0,0,"AFM100","2080"
"REF_SFM",0.00178631619442161,0,0,"AFM100","2080"
"RCP2.6_MFM",0.00162064472984188,0,0,"noAFM","2090"
"RCP2.6_SFM",0.0016200264344412,0,0,"noAFM","2090"
"REF_MFM",0.00114147083690759,0,0,"noAFM","2090"
"REF_SFM",0.00111489472581792,0,0,"noAFM","2090"
"RCP2.6_MFM",0.00131184685510292,0,0,"AFMfree","2090"
"RCP2.6_SFM",0.00124532984954983,0,0,"AFMfree","2090"
"REF_MFM",0.000862026181848778,0,0,"AFMfree","2090"
"REF_SFM",0.000890946097794352,0,0,"AFMfree","2090"
"RCP2.6_MFM",0.00131389674796758,0,0,"AFM25","2090"
"RCP2.6_SFM",0.00143126194280528,0,0,"AFM25","2090"
"REF_MFM",0.000863581325115898,0,0,"AFM25","2090"
"REF_SFM",0.00095078249553129,0,0,"AFM25","2090"
"RCP2.6_MFM",0.00135925616502852,0,0,"AFM50","2090"
"RCP2.6_SFM",0.00173153334133937,0,0,"AFM50","2090"
"REF_MFM",0.000907221233238187,0,0,"AFM50","2090"
"REF_SFM",0.00109162710626636,0,0,"AFM50","2090"
"RCP2.6_MFM",0.00144324484838539,0,0,"AFM75","2090"
"RCP2.6_SFM",0.00237378488887786,0,0,"AFM75","2090"
"REF_MFM",0.000934862088257864,0,0,"AFM75","2090"
"REF_SFM",0.0015209077380273,0,0,"AFM75","2090"
"RCP2.6_MFM",0.00154042811365473,0,0,"AFM100","2090"
"RCP2.6_SFM",0.00270430830227742,0,0,"AFM100","2090"
"REF_MFM",0.00103661561852199,0,0,"AFM100","2090"
"REF_SFM",0.00198206362775707,0,0,"AFM100","2090"
"RCP2.6_MFM",0.00178004736147893,0,0,"noAFM","2100"
"RCP2.6_SFM",0.00178212872059709,0,0,"noAFM","2100"
"REF_MFM",0.00120364944666272,0,0,"noAFM","2100"
"REF_SFM",0.00114295654314337,0,0,"noAFM","2100"
"RCP2.6_MFM",0.00144440329179173,0,0,"AFMfree","2100"
"RCP2.6_SFM",0.00138370084096098,0,0,"AFMfree","2100"
"REF_MFM",0.000868289941482066,0,0,"AFMfree","2100"
"REF_SFM",0.000901882503449423,0,0,"AFMfree","2100"
"RCP2.6_MFM",0.00145058568633353,0,0,"AFM25","2100"
"RCP2.6_SFM",0.00162905766952997,0,0,"AFM25","2100"
"REF_MFM",0.000875492761022695,0,0,"AFM25","2100"
"REF_SFM",0.000979790865499686,0,0,"AFM25","2100"
"RCP2.6_MFM",0.00149371220902986,0,0,"AFM50","2100"
"RCP2.6_SFM",0.0019557909480411,0,0,"AFM50","2100"
"REF_MFM",0.000918803292157911,0,0,"AFM50","2100"
"REF_SFM",0.00113511337729972,0,0,"AFM50","2100"
"RCP2.6_MFM",0.00159438047273548,0,0,"AFM75","2100"
"RCP2.6_SFM",0.00274063457410909,0,0,"AFM75","2100"
"REF_MFM",0.0009472451908128,0,0,"AFM75","2100"
"REF_SFM",0.00163700988011193,0,0,"AFM75","2100"
"RCP2.6_MFM",0.00170490246137844,0,0,"AFM100","2100"
"RCP2.6_SFM",0.00311425788605059,0,0,"AFM100","2100"
"REF_MFM",0.00106598980364699,0,0,"AFM100","2100"
"REF_SFM",0.00212302103693673,0,0,"AFM100","2100"
