"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0646265295492079,0,0
"RCP2.6_SFM","noAFM",0.0646862012731072,0,0
"REF_MFM","noAFM",0.0358275490906323,0,0
"REF_SFM","noAFM",0.0358923216523413,0,0
"RCP2.6_MFM","AFMfree",0.0592216214311695,0,0
"RCP2.6_SFM","AFMfree",0.0590163361578732,0,0
"REF_MFM","AFMfree",0.0280882400882717,0,0
"REF_SFM","AFMfree",0.0274002125213791,0,0
"RCP2.6_MFM","AFM25",0.055263075253001,0,0
"RCP2.6_SFM","AFM25",0.0572901167153187,0,0
"REF_MFM","AFM25",0.0258180734545303,0,0
"REF_SFM","AFM25",0.0262839114929496,0,0
"RCP2.6_MFM","AFM50",0.0527787246481835,0,0
"RCP2.6_SFM","AFM50",0.0579950345316165,0,0
"REF_MFM","AFM50",0.0234647136569252,0,0
"REF_SFM","AFM50",0.0257472377927778,0,0
"RCP2.6_MFM","AFM75",0.0500352815815388,0,0
"RCP2.6_SFM","AFM75",0.0594999466842185,0,0
"REF_MFM","AFM75",0.0217012585138566,0,0
"REF_SFM","AFM75",0.0257366066563418,0,0
"RCP2.6_MFM","AFM100",0.0483066879029775,0,0
"RCP2.6_SFM","AFM100",0.0593971566510066,0,0
"REF_MFM","AFM100",0.0209636215027326,0,0
"REF_SFM","AFM100",0.0258707211886331,0,0
