"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000240201299418627,0,0,"noAFM","2020"
"RCP2.6_SFM",0.000240508536078767,0,0,"noAFM","2020"
"REF_MFM",0.000247690805704107,0,0,"noAFM","2020"
"REF_SFM",0.000247688765641788,0,0,"noAFM","2020"
"RCP2.6_MFM",0.000241776787548005,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.000242598202726911,0,0,"AFMfree","2020"
"REF_MFM",0.000252060813885459,0,0,"AFMfree","2020"
"REF_SFM",0.000248197659731434,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.000240717968369635,0,0,"AFM25","2020"
"RCP2.6_SFM",0.000237918492075408,0,0,"AFM25","2020"
"REF_MFM",0.000251484027845198,0,0,"AFM25","2020"
"REF_SFM",0.000246911115537477,0,0,"AFM25","2020"
"RCP2.6_MFM",0.000240572114611673,0,0,"AFM50","2020"
"RCP2.6_SFM",0.000233474265052368,0,0,"AFM50","2020"
"REF_MFM",0.000249907414402604,0,0,"AFM50","2020"
"REF_SFM",0.000239309400876315,0,0,"AFM50","2020"
"RCP2.6_MFM",0.000240194684317627,0,0,"AFM75","2020"
"RCP2.6_SFM",0.000227329920629314,0,0,"AFM75","2020"
"REF_MFM",0.000248502807922841,0,0,"AFM75","2020"
"REF_SFM",0.000230721105719225,0,0,"AFM75","2020"
"RCP2.6_MFM",0.000239448018159594,0,0,"AFM100","2020"
"RCP2.6_SFM",0.000218668957622706,0,0,"AFM100","2020"
"REF_MFM",0.000245836585193523,0,0,"AFM100","2020"
"REF_SFM",0.00022185085427497,0,0,"AFM100","2020"
"RCP2.6_MFM",0.000272662390818,0,0,"noAFM","2030"
"RCP2.6_SFM",0.00027115259671393,0,0,"noAFM","2030"
"REF_MFM",0.000274006888419751,0,0,"noAFM","2030"
"REF_SFM",0.000274429291642193,0,0,"noAFM","2030"
"RCP2.6_MFM",0.000238780777975675,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.000236006006190433,0,0,"AFMfree","2030"
"REF_MFM",0.000239583285713402,0,0,"AFMfree","2030"
"REF_SFM",0.000231305642786345,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.000227364429502297,0,0,"AFM25","2030"
"RCP2.6_SFM",0.000224433962209627,0,0,"AFM25","2030"
"REF_MFM",0.000229031541020102,0,0,"AFM25","2030"
"REF_SFM",0.000228338555603344,0,0,"AFM25","2030"
"RCP2.6_MFM",0.000226260367709756,0,0,"AFM50","2030"
"RCP2.6_SFM",0.000222398496056647,0,0,"AFM50","2030"
"REF_MFM",0.000227827848041794,0,0,"AFM50","2030"
"REF_SFM",0.000223915656716124,0,0,"AFM50","2030"
"RCP2.6_MFM",0.000225306404808605,0,0,"AFM75","2030"
"RCP2.6_SFM",0.000218466147299021,0,0,"AFM75","2030"
"REF_MFM",0.000225603643879939,0,0,"AFM75","2030"
"REF_SFM",0.000216843698643553,0,0,"AFM75","2030"
"RCP2.6_MFM",0.000229653654030191,0,0,"AFM100","2030"
"RCP2.6_SFM",0.000219699307155268,0,0,"AFM100","2030"
"REF_MFM",0.000227218204785759,0,0,"AFM100","2030"
"REF_SFM",0.00021795278172149,0,0,"AFM100","2030"
"RCP2.6_MFM",0.000305356471128705,0,0,"noAFM","2040"
"RCP2.6_SFM",0.000302317463757242,0,0,"noAFM","2040"
"REF_MFM",0.000300786819765977,0,0,"noAFM","2040"
"REF_SFM",0.00030129443025425,0,0,"noAFM","2040"
"RCP2.6_MFM",0.000254811301010334,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.000253476106587914,0,0,"AFMfree","2040"
"REF_MFM",0.000250505927993948,0,0,"AFMfree","2040"
"REF_SFM",0.000243092489173758,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.000245027247386445,0,0,"AFM25","2040"
"RCP2.6_SFM",0.000249784454699092,0,0,"AFM25","2040"
"REF_MFM",0.000241852857574442,0,0,"AFM25","2040"
"REF_SFM",0.000247514846300018,0,0,"AFM25","2040"
"RCP2.6_MFM",0.000244871685366915,0,0,"AFM50","2040"
"RCP2.6_SFM",0.000257184455496704,0,0,"AFM50","2040"
"REF_MFM",0.000241217284476869,0,0,"AFM50","2040"
"REF_SFM",0.000250134579592683,0,0,"AFM50","2040"
"RCP2.6_MFM",0.000245574547128549,0,0,"AFM75","2040"
"RCP2.6_SFM",0.00025445132858861,0,0,"AFM75","2040"
"REF_MFM",0.000239716803283031,0,0,"AFM75","2040"
"REF_SFM",0.000241659018949816,0,0,"AFM75","2040"
"RCP2.6_MFM",0.000249577909047317,0,0,"AFM100","2040"
"RCP2.6_SFM",0.00026112732614934,0,0,"AFM100","2040"
"REF_MFM",0.000241083789132252,0,0,"AFM100","2040"
"REF_SFM",0.000249317563790436,0,0,"AFM100","2040"
"RCP2.6_MFM",0.000346326029825091,0,0,"noAFM","2050"
