"Pathway","Group","Scenario","Category","Values"
"REF","MFM","noAFM","EU28 Clear cut",409.6267371
"REF","MFM","noAFM","EU28 Selection",115.269702499
"REF","MFM","noAFM","EU28 Retention",0
"REF","MFM","noAFM","EU28 Lignocel. energy crops",64.80594404
"REF","MFM","noAFM","Import - Clear cut",168.4129882
"REF","MFM","noAFM","Import - Timber and pulp plantations",55.82567468
"REF","MFM","noAFM","Import - Selection",6.732005015
"REF","MFM","noAFM","Import - Selective logging",8.473997445
"REF","MFM","noAFM","Import - Energy plantations",19.18120883
"REF","MFM","AFMfree","EU28 Clear cut",404.12569812
"REF","MFM","AFMfree","EU28 Selection",21.72592048
"REF","MFM","AFMfree","EU28 Retention",128.759247
"REF","MFM","AFMfree","EU28 Lignocel. energy crops",59.55358559
"REF","MFM","AFMfree","Import - Clear cut",144.0079421
"REF","MFM","AFMfree","Import - Timber and pulp plantations",40.54683337
"REF","MFM","AFMfree","Import - Selection",4.5275948
"REF","MFM","AFMfree","Import - Selective logging",6.201707216
"REF","MFM","AFMfree","Import - Energy plantations",18.14057736
"REF","MFM","AFM25","EU28 Clear cut",348.34851307
"REF","MFM","AFM25","EU28 Selection",86.66345231
"REF","MFM","AFM25","EU28 Retention",112.50673
"REF","MFM","AFM25","EU28 Lignocel. energy crops",61.06895601
"REF","MFM","AFM25","Import - Clear cut",149.1811155
"REF","MFM","AFM25","Import - Timber and pulp plantations",41.12318779
"REF","MFM","AFM25","Import - Selection",4.974588745
"REF","MFM","AFM25","Import - Selective logging",6.277584527
"REF","MFM","AFM25","Import - Energy plantations",21.2365119
"REF","MFM","AFM50","EU28 Clear cut",287.24995326
"REF","MFM","AFM50","EU28 Selection",154.13869594
"REF","MFM","AFM50","EU28 Retention",91.97270158
"REF","MFM","AFM50","EU28 Lignocel. energy crops",62.70968355
"REF","MFM","AFM50","Import - Clear cut",162.7698026
"REF","MFM","AFM50","Import - Timber and pulp plantations",44.3389173
"REF","MFM","AFM50","Import - Selection",5.815042014
"REF","MFM","AFM50","Import - Selective logging",6.767723608
"REF","MFM","AFM50","Import - Energy plantations",21.77144498
"REF","MFM","AFM75","EU28 Clear cut",236.7055387
"REF","MFM","AFM75","EU28 Selection",227.66261212
"REF","MFM","AFM75","EU28 Retention",49.91673065
"REF","MFM","AFM75","EU28 Lignocel. energy crops",65.17477782
"REF","MFM","AFM75","Import - Clear cut",184.3083793
"REF","MFM","AFM75","Import - Timber and pulp plantations",45.82888316
"REF","MFM","AFM75","Import - Selection",6.633560766
"REF","MFM","AFM75","Import - Selective logging",6.762351638
"REF","MFM","AFM75","Import - Energy plantations",23.34379237
"REF","MFM","AFM100","EU28 Clear cut",193.48688316
"REF","MFM","AFM100","EU28 Selection",297.37483018
"REF","MFM","AFM100","EU28 Retention",0
"REF","MFM","AFM100","EU28 Lignocel. energy crops",69.35216693
"REF","MFM","AFM100","Import - Clear cut",199.896863
"REF","MFM","AFM100","Import - Timber and pulp plantations",54.25769832
"REF","MFM","AFM100","Import - Selection",8.069971882
"REF","MFM","AFM100","Import - Selective logging",8.001688226
"REF","MFM","AFM100","Import - Energy plantations",26.85793847
"RCP2.6","MFM","noAFM","EU28 Clear cut",680.7546739
"RCP2.6","MFM","noAFM","EU28 Selection",100.419893914
"RCP2.6","MFM","noAFM","EU28 Retention",0
"RCP2.6","MFM","noAFM","EU28 Lignocel. energy crops",254.5024053
"RCP2.6","MFM","noAFM","Import - Clear cut",157.4761576
"RCP2.6","MFM","noAFM","Import - Timber and pulp plantations",64.84893898
"RCP2.6","MFM","noAFM","Import - Selection",6.761121666
"RCP2.6","MFM","noAFM","Import - Selective logging",10.11932239
"RCP2.6","MFM","noAFM","Import - Energy plantations",233.2883513
"RCP2.6","MFM","AFMfree","EU28 Clear cut",654.78197976
"RCP2.6","MFM","AFMfree","EU28 Selection",6.31705518
"RCP2.6","MFM","AFMfree","EU28 Retention",213.1678207
