"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.0813090652217,0,0
"RCP2.6_SFM","noAFM",14.078187398236,0,0
"REF_MFM","noAFM",16.2559888023629,0,0
"REF_SFM","noAFM",16.2566383058701,0,0
"RCP2.6_MFM","AFMfree",14.0804855474396,0,0
"RCP2.6_SFM","AFMfree",14.1115163545481,0,0
"REF_MFM","AFMfree",16.2602030110962,0,0
"REF_SFM","AFMfree",16.2500959925429,0,0
"RCP2.6_MFM","AFM25",14.0721327556323,0,0
"RCP2.6_SFM","AFM25",14.0806470987828,0,0
"REF_MFM","AFM25",16.2533954483704,0,0
"REF_SFM","AFM25",16.254396595786,0,0
"RCP2.6_MFM","AFM50",14.0700529676467,0,0
"RCP2.6_SFM","AFM50",14.0862948235452,0,0
"REF_MFM","AFM50",16.244994963197,0,0
"REF_SFM","AFM50",16.2594806249225,0,0
"RCP2.6_MFM","AFM75",14.0625330044956,0,0
"RCP2.6_SFM","AFM75",14.0810701631915,0,0
"REF_MFM","AFM75",16.2383325869819,0,0
"REF_SFM","AFM75",16.2552142024888,0,0
"RCP2.6_MFM","AFM100",14.0597685403094,0,0
"RCP2.6_SFM","AFM100",14.0934884749041,0,0
"REF_MFM","AFM100",16.2257600225978,0,0
"REF_SFM","AFM100",16.2563327069754,0,0
