"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2020","Afforestation",0.0711908386128318
"RCP2.6","noAFM","2020","Regrowth",0.516115000089262
"RCP2.6","noAFM","2020","Forest",1.18138117002082
"RCP2.6","noAFM","2020","Energy_crops_and_plantations",0.0416495282421161
"RCP2.6","noAFM","2020","Annual_crops",2.75597216813655
"RCP2.6","noAFM","2020","Pasture",6.9195026815194
"RCP2.6","noAFM","2020","Permanent_crops",1.66027505553556
"RCP2.6","noAFM","2020","Urban",0.9119630461099
"REF","noAFM","2020","Afforestation",0.0696004087642346
"REF","noAFM","2020","Regrowth",0.516276937750698
"REF","noAFM","2020","Forest",1.18177317146722
"REF","noAFM","2020","Energy_crops_and_plantations",0.0417330640546839
"REF","noAFM","2020","Annual_crops",2.75738516563097
"REF","noAFM","2020","Pasture",6.92214363052603
"REF","noAFM","2020","Permanent_crops",1.66179206307211
"REF","noAFM","2020","Urban",0.912657759238281
"RCP2.6","noAFM","2030","Afforestation",0.111536607943037
"RCP2.6","noAFM","2030","Regrowth",0.496309960672434
"RCP2.6","noAFM","2030","Forest",1.27610955968961
"RCP2.6","noAFM","2030","Energy_crops_and_plantations",0.284207079396483
"RCP2.6","noAFM","2030","Annual_crops",2.72658783370341
"RCP2.6","noAFM","2030","Pasture",6.46011156974913
"RCP2.6","noAFM","2030","Permanent_crops",1.66271430672994
"RCP2.6","noAFM","2030","Urban",0.911679702679606
"REF","noAFM","2030","Afforestation",0.115218624373102
"REF","noAFM","2030","Regrowth",0.480097544513688
"REF","noAFM","2030","Forest",1.27702052880533
"REF","noAFM","2030","Energy_crops_and_plantations",0.125144722553867
"REF","noAFM","2030","Annual_crops",2.92239543664914
"REF","noAFM","2030","Pasture",7.15746527302374
"REF","noAFM","2030","Permanent_crops",1.67847491572671
"REF","noAFM","2030","Urban",0.919901743601587
"RCP2.6","noAFM","2040","Afforestation",0.143384637937145
"RCP2.6","noAFM","2040","Regrowth",0.478592991042886
"RCP2.6","noAFM","2040","Forest",1.35251423773651
"RCP2.6","noAFM","2040","Energy_crops_and_plantations",0.364219448929878
"RCP2.6","noAFM","2040","Annual_crops",2.79475406427892
"RCP2.6","noAFM","2040","Pasture",6.26224695683187
"RCP2.6","noAFM","2040","Permanent_crops",1.6663351296576
"RCP2.6","noAFM","2040","Urban",0.912477144204516
"REF","noAFM","2040","Afforestation",0.148290518252849
"REF","noAFM","2040","Regrowth",0.443564616806786
"REF","noAFM","2040","Forest",1.36263397847135
"REF","noAFM","2040","Energy_crops_and_plantations",0.128308436964892
"REF","noAFM","2040","Annual_crops",3.09286959976187
"REF","noAFM","2040","Pasture",7.3436726924757
"REF","noAFM","2040","Permanent_crops",1.69087655412091
"REF","noAFM","2040","Urban",0.924602338587576
"RCP2.6","noAFM","2050","Afforestation",0.182427306425413
"RCP2.6","noAFM","2050","Regrowth",0.45614496953387
"RCP2.6","noAFM","2050","Forest",1.43921324622466
"RCP2.6","noAFM","2050","Energy_crops_and_plantations",0.587905281173019
"RCP2.6","noAFM","2050","Annual_crops",2.78068696114438
"RCP2.6","noAFM","2050","Pasture",5.96539498778757
"RCP2.6","noAFM","2050","Permanent_crops",1.66703024369101
"RCP2.6","noAFM","2050","Urban",0.911524397533004
"REF","noAFM","2050","Afforestation",0.181118311706368
"REF","noAFM","2050","Regrowth",0.405165251158721
"REF","noAFM","2050","Forest",1.43108929416696
"REF","noAFM","2050","Energy_crops_and_plantations",0.132930500601222
"REF","noAFM","2050","Annual_crops",3.25132822502571
"REF","noAFM","2050","Pasture",7.45540833960017
"REF","noAFM","2050","Permanent_crops",1.69992121006746
"REF","noAFM","2050","Urban",0.927364664786133
"RCP2.6","noAFM","2060","Afforestation",0.213658241335532
"RCP2.6","noAFM","2060","Regrowth",0.440027621848042
"RCP2.6","noAFM","2060","Forest",1.52131474133129
"RCP2.6","noAFM","2060","Energy_crops_and_plantations",0.879123681703807
"RCP2.6","noAFM","2060","Annual_crops",2.72462259423364
"RCP2.6","noAFM","2060","Pasture",5.61276030830793
"RCP2.6","noAFM","2060","Permanent_crops",1.66393061451659
"RCP2.6","noAFM","2060","Urban",0.910434433461219
"REF","noAFM","2060","Afforestation",0.213195238657633
"REF","noAFM","2060","Regrowth",0.377135675216311
"REF","noAFM","2060","Forest",1.47899903832338
"REF","noAFM","2060","Energy_crops_and_plantations",0.149694478545173
"REF","noAFM","2060","Annual_crops",3.39185202652654
"REF","noAFM","2060","Pasture",7.55532886718276
"REF","noAFM","2060","Permanent_crops",1.70560185232158
"REF","noAFM","2060","Urban",0.929926352861632
"RCP2.6","noAFM","2070","Afforestation",0.239167420618126
"RCP2.6","noAFM","2070","Regrowth",0.414984731009535
"RCP2.6","noAFM","2070","Forest",1.69246025589961
"RCP2.6","noAFM","2070","Energy_crops_and_plantations",1.24948452434428
"RCP2.6","noAFM","2070","Annual_crops",2.57259905949305
"RCP2.6","noAFM","2070","Pasture",5.25933779387202
"RCP2.6","noAFM","2070","Permanent_crops",1.66082196367117
"RCP2.6","noAFM","2070","Urban",0.90936848741959
"REF","noAFM","2070","Afforestation",0.24222065020029
"REF","noAFM","2070","Regrowth",0.35586305619059
"REF","noAFM","2070","Forest",1.53059689649373
"REF","noAFM","2070","Energy_crops_and_plantations",0.170241356048112
"REF","noAFM","2070","Annual_crops",3.46873180344644
"REF","noAFM","2070","Pasture",7.62226591521002
"REF","noAFM","2070","Permanent_crops",1.70928638494647
"REF","noAFM","2070","Urban",0.931277602113751
"RCP2.6","noAFM","2080","Afforestation",0.284853336978023
"RCP2.6","noAFM","2080","Regrowth",0.368952617262295
"RCP2.6","noAFM","2080","Forest",1.96320436515411
"RCP2.6","noAFM","2080","Energy_crops_and_plantations",1.71663222892862
"RCP2.6","noAFM","2080","Annual_crops",2.36286633287694
"RCP2.6","noAFM","2080","Pasture",4.84824128927345
"RCP2.6","noAFM","2080","Permanent_crops",1.66116647252528
"RCP2.6","noAFM","2080","Urban",0.908647837076322
"REF","noAFM","2080","Afforestation",0.265088089236437
"REF","noAFM","2080","Regrowth",0.3390983805291
"REF","noAFM","2080","Forest",1.59377779800231
"REF","noAFM","2080","Energy_crops_and_plantations",0.189612049441994
"REF","noAFM","2080","Annual_crops",3.49065655870597
"REF","noAFM","2080","Pasture",7.63637655996158
"REF","noAFM","2080","Permanent_crops",1.71096518214385
"REF","noAFM","2080","Urban",0.931267456420774
"RCP2.6","noAFM","2090","Afforestation",0.385738057792647
"RCP2.6","noAFM","2090","Regrowth",0.31865551839053
"RCP2.6","noAFM","2090","Forest",2.33649239173791
"RCP2.6","noAFM","2090","Energy_crops_and_plantations",2.13067367156188
"RCP2.6","noAFM","2090","Annual_crops",2.11042749388032
"RCP2.6","noAFM","2090","Pasture",4.33888707169904
"RCP2.6","noAFM","2090","Permanent_crops",1.66013078995952
"RCP2.6","noAFM","2090","Urban",0.907436744715961
