"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","ANZ","2000",0,0,0,0,0.0636825919959952,0.0465829481681191,0.482710209198986,0.0161406332732506,0,6.76007522962471e-05,0,0,8.83485618389419e-09,0,0,0,1.10986762787809e-08,0,1.94289046392997e-09,0,0,0,0,0,0,0.0412054309075727,0,0.0069208470780593,0,0.0157453042966911
"RCP_MFM_AF0","ANZ","2010",0,0,0,0,0.0671183098588212,0.0466574430224238,0.489781456453129,0.0162410721086553,0,8.75673164503795e-05,0,0,8.95370297828106e-09,0,0,0,1.05825595641459e-08,0,1.96900935357334e-09,0,0,0,0,0,1.85648728736363e-05,0.0366960651630523,0,0.00752184048216776,0,0.020949001637332
"RCP_MFM_AF0","ANZ","2020",0,0,0,0,0.0715530877080966,0.0468504693341991,0.497148431575843,0.0163506355199035,0,0.00025564570235526,0,0,9.70144454278555e-09,0,0,0,2.76378801427935e-08,0,2.13390698972106e-09,0,0,0,0,0,3.04956036332929e-05,0.0327548793495378,0,0.00797242458090652,0,0.0234061803691987
"RCP_MFM_AF0","ANZ","2030",0,0,0,0,0.0710873403155543,0.0467417702054242,0.482624021739456,0.0162676127541689,0,0.000255209779288951,0,0,1.01356397051572e-08,0,0,0,2.52118971731368e-08,0,2.22980750048806e-09,0,0,7.30415361403815e-09,0,0,6.79675927163856e-05,0.032834985264289,0,0.00832593743653256,0,0.0255270077159997
"RCP_MFM_AF0","ANZ","2040",0,0,0,0,0.0713343572573653,0.0468585670740645,0.481922853888976,0.0162815173521977,0,0.000255711105840341,0,0,1.32802004949332e-08,0,0,0,2.47546520286917e-08,0,2.92246818902031e-09,0,0,7.67670477744207e-09,0,0,0.000114964000777024,0.0329309719670377,0,0.00840221244048462,0,0.0271549094837767
"RCP_MFM_AF0","ANZ","2050",0,0,0,0,0.0710260741745953,0.0469280994537649,0.479712748164525,0.0162802439329916,0,0.000255870372654682,0,0,2.20290619984923e-08,0,0,0,2.44918027037266e-08,0,4.85225204784120e-09,0,0,1.68938364727299e-08,1.16901611536777e-09,0,0.000179444603921961,0.0322284703915462,0,0.00865902385396156,0,0.0290831056300219
"RCP_MFM_AF0","ANZ","2060",0,0,0,0,0.0725232284713672,0.0467883670589313,0.467275949356839,0.0162189765977331,0,0.000255209786764608,0,0,2.10979997404211e-08,0,0,0,0,0,4.64899216448263e-09,0,0,1.72890455113805e-08,4.017673594447e-09,0,0.000257783521229257,0.0312919852086094,0,0.0088757205872302,0,0.0307786516776566
"RCP_MFM_AF0","ANZ","2070",0,0,0,0,0.0751452605525418,0.0466648353654064,0.446068353692242,0.0161412406311562,0,0.000254341651052794,0,0,1.72285376552747e-08,0,0,0,0,0,3.80180861271044e-09,0,0,0.000108074965769136,6.63812596431636e-09,0,0.000287820561975293,0.0302448343082296,0,0.00907623603803512,0,0.032847048219402
"RCP_MFM_AF0","ANZ","2080",0,0,0,0,0.0732767416069273,0.046930423788239,0.419044036662973,0.0162304698615416,0,0.000256006172456324,0,0,1.53199685042604e-08,0,0,0,0,0,3.38806380753146e-09,0,0,0.013961158655436,6.89703212007943e-09,0,0.000322791659072896,0.0271119924501076,0,0.0100234773331322,0,0.0400261966128354
"RCP_MFM_AF0","ANZ","2090",0,0,0,0,0.0727721687531137,0.0475589594649574,0.385875049196081,0.01645115133701,0,0.000261110167032929,0,0,1.45158063178307e-08,0,0,0,0,0,3.21745867560471e-09,0,0,0.0392117835795601,7.00960459659089e-09,0,0.000358527497085342,0.0203683763714642,0,0.0121165254279209,0,0.0571014105876266
"RCP_MFM_AF0","ANZ","2100",0,0,0,0,0.0592574980787,0.0476025758052847,0.362049067668174,0.0163859878395084,0,0.000265184767388864,0,0,1.4123448725962e-08,0,0,0,0,0,3.14394038382033e-09,0,0,0.0523160343967115,7.16956698303048e-09,0,0.00154750800643657,0.0110374217122339,0,0.0149240971514367,0,0.079990858511459
"RCP_MFM_AF0","ArgentinaReg","2000",0,0,0,0,0.038654362020012,0.0102137635170313,0.17325921101729,0.00244700046188699,0,9.9995553194586e-05,0,0,7.54630780329818e-05,0,0,0,0,0,1.95975653286122e-05,0,0,0,0,0,0,0.00803056155220165,0,0.00480477104512118,0,0.018309372473122
"RCP_MFM_AF0","ArgentinaReg","2010",0,0,0,0,0.0397361010449959,0.0102258957145613,0.169510111170934,0.00243368751111723,0,0.000101332711380284,0,0,7.65147206045012e-05,0,0,0,0,0,1.98987726962306e-05,0,0,0,0,0,0.00264406555776164,0.0060460551425937,0,0.00449241280644542,0,0.0174009249130471
"RCP_MFM_AF0","ArgentinaReg","2020",0,0,0,0,0.0447313194075545,0.0103263513031227,0.171949190314929,0.00245966708272377,0,0.000116624803676917,0,0,7.7419751508397e-05,0,0,0,0,0,2.01913022336749e-05,0,0,0.000134758014608193,0,0,0.00268529355951775,0.0041124458694447,0,0.00461518873496282,0,0.0183978208074178
"RCP_MFM_AF0","ArgentinaReg","2030",0,0,0,0,0.048209121134827,0.0102721142883997,0.160317603734951,0.0024448745343412,0,0.000118953764968112,0,0,7.75504350477512e-05,0,0,0,0,0,2.02735708801336e-05,0,0,0.000721697389671435,0,0,0.00289506580470325,0.003879071378024,0,0.00463366541249276,0,0.0189615266809617
