"Group","Scenario","Category","Values"
"REF_MFM","noAFM","EU28 - High-intensity management",474.43268114
"REF_MFM","noAFM","EU28 - Low-intensity management",115.269702499
"REF_MFM","noAFM","Import - High-intensity management",243.41987171
"REF_MFM","noAFM","Import - Low-intensity management",15.20600246
"REF_MFM","AFMfree","EU28 - High-intensity management",592.43853071
"REF_MFM","AFMfree","EU28 - Low-intensity management",21.72592048
"REF_MFM","AFMfree","Import - High-intensity management",202.69535283
"REF_MFM","AFMfree","Import - Low-intensity management",10.729302016
"REF_MFM","AFM25","EU28 - High-intensity management",521.92419908
"REF_MFM","AFM25","EU28 - Low-intensity management",86.66345231
"REF_MFM","AFM25","Import - High-intensity management",211.54081519
"REF_MFM","AFM25","Import - Low-intensity management",11.252173272
"REF_MFM","AFM50","EU28 - High-intensity management",441.93233839
"REF_MFM","AFM50","EU28 - Low-intensity management",154.13869594
"REF_MFM","AFM50","Import - High-intensity management",228.88016488
"REF_MFM","AFM50","Import - Low-intensity management",12.582765622
"REF_MFM","AFM75","EU28 - High-intensity management",351.79704717
"REF_MFM","AFM75","EU28 - Low-intensity management",227.66261212
"REF_MFM","AFM75","Import - High-intensity management",253.48105483
"REF_MFM","AFM75","Import - Low-intensity management",13.395912404
"REF_MFM","AFM100","EU28 - High-intensity management",262.83905009
"REF_MFM","AFM100","EU28 - Low-intensity management",297.37483018
"REF_MFM","AFM100","Import - High-intensity management",281.01249979
"REF_MFM","AFM100","Import - Low-intensity management",16.071660108
"RCP2.6_MFM","noAFM","EU28 - High-intensity management",935.2570792
"RCP2.6_MFM","noAFM","EU28 - Low-intensity management",100.419893914
"RCP2.6_MFM","noAFM","Import - High-intensity management",455.61344788
"RCP2.6_MFM","noAFM","Import - Low-intensity management",16.880444056
"RCP2.6_MFM","AFMfree","EU28 - High-intensity management",1108.20943316
"RCP2.6_MFM","AFMfree","EU28 - Low-intensity management",6.31705518
"RCP2.6_MFM","AFMfree","Import - High-intensity management",354.26545712
"RCP2.6_MFM","AFMfree","Import - Low-intensity management",12.037576989
"RCP2.6_MFM","AFM25","EU28 - High-intensity management",977.62576323
"RCP2.6_MFM","AFM25","EU28 - Low-intensity management",112.20453479
"RCP2.6_MFM","AFM25","Import - High-intensity management",383.23379395
"RCP2.6_MFM","AFM25","Import - Low-intensity management",13.233856299
"RCP2.6_MFM","AFM50","EU28 - High-intensity management",850.52809825
"RCP2.6_MFM","AFM50","EU28 - Low-intensity management",206.40380167
