"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0333190413573203
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0402310398586749
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0446282389421642
"RCP2.6_MFM","noAFM","Import_Forest",0.0687416107753199
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.0331086006235173
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0397107522127544
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0426189657999557
"RCP2.6_SFM","noAFM","Import_Forest",0.070910229817034
"REF_MFM","noAFM","EU28_Energy_crops",0.00641599445224177
"REF_MFM","noAFM","EU28_Forest_net",0.0339708499539242
"REF_MFM","noAFM","Import_Energy_plantations",0.00430898321472046
"REF_MFM","noAFM","Import_Forest",0.0802220706889066
"REF_SFM","noAFM","EU28_Energy_crops",0.00647663346730856
"REF_SFM","noAFM","EU28_Forest_net",0.0340977456048498
"REF_SFM","noAFM","Import_Energy_plantations",0.0048342162615674
"REF_SFM","noAFM","Import_Forest",0.0735681462079048
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0341932910797941
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.0382435261119772
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0353072254960001
"RCP2.6_MFM","AFMfree","Import_Forest",0.0499158346973723
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.0363085646155656
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0548034438738699
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0344907307040298
"RCP2.6_SFM","AFMfree","Import_Forest",0.0448795410379954
"REF_MFM","AFMfree","EU28_Energy_crops",0.00647319773279492
"REF_MFM","AFMfree","EU28_Forest_net",0.0304830172870575
"REF_MFM","AFMfree","Import_Energy_plantations",0.00457010270470891
"REF_MFM","AFMfree","Import_Forest",0.0541753903620129
"REF_SFM","AFMfree","EU28_Energy_crops",0.0066843201527184
"REF_SFM","AFMfree","EU28_Forest_net",0.0391414998037448
"REF_SFM","AFMfree","Import_Energy_plantations",0.00402596690451385
"REF_SFM","AFMfree","Import_Forest",0.0587812386472007
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0330633533465666
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0338944976252527
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0381807258963461
"RCP2.6_MFM","AFM25","Import_Forest",0.0516218239071151
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0356111662257706
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.0540461630495488
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.0424748749323959
"RCP2.6_SFM","AFM25","Import_Forest",0.0631496066914694
"REF_MFM","AFM25","EU28_Energy_crops",0.00644168355262412
"REF_MFM","AFM25","EU28_Forest_net",0.0272099498858971
"REF_MFM","AFM25","Import_Energy_plantations",0.00488118752561643
"REF_MFM","AFM25","Import_Forest",0.0568626260315626
"REF_SFM","AFM25","EU28_Energy_crops",0.00684089138655641
"REF_SFM","AFM25","EU28_Forest_net",0.038391960245321
"REF_SFM","AFM25","Import_Energy_plantations",0.0053898350032332
"REF_SFM","AFM25","Import_Forest",0.0663182421035985
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0331819182597587
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0307737006579014
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.0427397152152783
"RCP2.6_MFM","AFM50","Import_Forest",0.0538608587921927
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.0365326971501679
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0536151836140711
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0520335145879409
"RCP2.6_SFM","AFM50","Import_Forest",0.0855522090878409
"REF_MFM","AFM50","EU28_Energy_crops",0.00642976875606646
"REF_MFM","AFM50","EU28_Forest_net",0.0241642743063765
"REF_MFM","AFM50","Import_Energy_plantations",0.0047908985501163
"REF_MFM","AFM50","Import_Forest",0.0636440207067266
"REF_SFM","AFM50","EU28_Energy_crops",0.00706782698733212
"REF_SFM","AFM50","EU28_Forest_net",0.0375098100808859
"REF_SFM","AFM50","Import_Energy_plantations",0.00719529128739819
"REF_SFM","AFM50","Import_Forest",0.0805594173560407
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0331964835763312
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0274609399089224
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.0476872189743478
"RCP2.6_MFM","AFM75","Import_Forest",0.0617246029913761
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0377982720294079
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0532281488105506
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0560105415561026
"RCP2.6_SFM","AFM75","Import_Forest",0.158553628333121
"REF_MFM","AFM75","EU28_Energy_crops",0.00643466989932836
"REF_MFM","AFM75","EU28_Forest_net",0.0214750083510825
"REF_MFM","AFM75","Import_Energy_plantations",0.00590431632492718
"REF_MFM","AFM75","Import_Forest",0.0671356432279794
"REF_SFM","AFM75","EU28_Energy_crops",0.00761891965736834
"REF_SFM","AFM75","EU28_Forest_net",0.0364002037841108
"REF_SFM","AFM75","Import_Energy_plantations",0.00704696778340246
"REF_SFM","AFM75","Import_Forest",0.130904194849684
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.0336826115216629
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.0245928243914572
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.0511808130646103
"RCP2.6_MFM","AFM100","Import_Forest",0.0710028552529884
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.0392362746021446
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0502312691641729
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.065850933946677
"RCP2.6_SFM","AFM100","Import_Forest",0.186191884625481
"REF_MFM","AFM100","EU28_Energy_crops",0.00650178433442142
"REF_MFM","AFM100","EU28_Forest_net",0.0191209085990714
"REF_MFM","AFM100","Import_Energy_plantations",0.006199058367563
"REF_MFM","AFM100","Import_Forest",0.0794367403563071
"REF_SFM","AFM100","EU28_Energy_crops",0.00796914464555011
"REF_SFM","AFM100","EU28_Forest_net",0.0355024074680738
"REF_SFM","AFM100","Import_Energy_plantations",0.00876500843672673
"REF_SFM","AFM100","Import_Forest",0.177661190275478
