"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0735500812159952,0,0
"RCP2.6_SFM","noAFM",0.0728193528362716,0,0
"REF_MFM","noAFM",0.040386844406166,0,0
"REF_SFM","noAFM",0.0405743790721584,0,0
"RCP2.6_MFM","AFMfree",0.0724368171917713,0,0
"RCP2.6_SFM","AFMfree",0.0911120084894355,0,0
"REF_MFM","AFMfree",0.0369562150198525,0,0
"REF_SFM","AFMfree",0.0458258199564632,0,0
"RCP2.6_MFM","AFM25",0.0669578509718193,0,0
"RCP2.6_SFM","AFM25",0.0896573292753194,0,0
"REF_MFM","AFM25",0.0336516334385213,0,0
"REF_SFM","AFM25",0.0452328516318774,0,0
"RCP2.6_MFM","AFM50",0.0639556189176602,0,0
"RCP2.6_SFM","AFM50",0.090147880764239,0,0
"REF_MFM","AFM50",0.0305940430624429,0,0
"REF_SFM","AFM50",0.044577637068218,0,0
"RCP2.6_MFM","AFM75",0.0606574234852537,0,0
"RCP2.6_SFM","AFM75",0.0910264208399584,0,0
"REF_MFM","AFM75",0.0279096782504109,0,0
"REF_SFM","AFM75",0.0440191234414792,0,0
"RCP2.6_MFM","AFM100",0.0582754359131202,0,0
"RCP2.6_SFM","AFM100",0.0894675437663176,0,0
"REF_MFM","AFM100",0.0256226929334928,0,0
"REF_SFM","AFM100",0.0434715521136239,0,0
