"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.279063341436755,0,0
"RCP2.6_SFM","noAFM",0.278035818888955,0,0
"REF_MFM","noAFM",0.33316247438945,0,0
"REF_SFM","noAFM",0.333292599126015,0,0
"RCP2.6_MFM","AFMfree",0.280219958633975,0,0
"RCP2.6_SFM","AFMfree",0.309471858375673,0,0
"REF_MFM","AFMfree",0.338803038546333,0,0
"REF_SFM","AFMfree",0.353288179281949,0,0
"RCP2.6_MFM","AFM25",0.272316608275665,0,0
"RCP2.6_SFM","AFM25",0.308030180796845,0,0
"REF_MFM","AFM25",0.332498652179664,0,0
"REF_SFM","AFM25",0.352771087530173,0,0
"RCP2.6_MFM","AFM50",0.268599426812502,0,0
"RCP2.6_SFM","AFM50",0.308497971897432,0,0
"REF_MFM","AFM50",0.326212083157747,0,0
"REF_SFM","AFM50",0.353361808973824,0,0
"RCP2.6_MFM","AFM75",0.26408537180843,0,0
"RCP2.6_SFM","AFM75",0.310060444281128,0,0
"REF_MFM","AFM75",0.320862896980574,0,0
"REF_SFM","AFM75",0.353444524824951,0,0
"RCP2.6_MFM","AFM100",0.261846503860965,0,0
"RCP2.6_SFM","AFM100",0.30833387373638,0,0
"REF_MFM","AFM100",0.312899195547163,0,0
"REF_SFM","AFM100",0.354523305143894,0,0
