"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0221447058855464
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.000115072960007525
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0122652769538511
"RCP2.6_MFM","noAFM","EP_EU",0.0267530574487081
"RCP2.6_SFM","noAFM","Clear_cut",0.0221468198201846
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.000114941150096644
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.0122536266896742
"RCP2.6_SFM","noAFM","EP_EU",0.0267518409775308
"REF_MFM","noAFM","Clear_cut",0.0143916167151025
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.000557985325597733
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.00954636317520631
"REF_MFM","noAFM","EP_EU",0.0062795855003655
"REF_SFM","noAFM","Clear_cut",0.0143975192297272
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.000557360426669111
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.00954914023551739
"REF_SFM","noAFM","EP_EU",0.00629025911402611
"RCP2.6_MFM","AFMfree","Clear_cut",0.0170375811175885
"RCP2.6_MFM","AFMfree","Retention",0.000606550806058044
"RCP2.6_MFM","AFMfree","Selection",0.000158502060722596
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.0127700188144296
"RCP2.6_MFM","AFMfree","EP_EU",0.0260702811446047
"RCP2.6_SFM","AFMfree","Clear_cut",0.0171155861940794
"RCP2.6_SFM","AFMfree","Retention",0.000606784823822163
"RCP2.6_SFM","AFMfree","Selection",0.000136934195975637
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.0126949520751983
"RCP2.6_SFM","AFMfree","EP_EU",0.0260435869162157
"REF_MFM","AFMfree","Clear_cut",0.0112758671146858
"REF_MFM","AFMfree","Retention",0.000403763740081759
"REF_MFM","AFMfree","Selection",0.000529354752298421
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.00987014661618255
"REF_MFM","AFMfree","EP_EU",0.00602597013787358
"REF_SFM","AFMfree","Clear_cut",0.0119664147034229
"REF_SFM","AFMfree","Retention",0.000408709515783491
"REF_SFM","AFMfree","Selection",0.000408527180308433
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.00990302862483546
"REF_SFM","AFMfree","EP_EU",0.00603557238655482
"RCP2.6_MFM","AFM25","Clear_cut",0.0156967589169765
"RCP2.6_MFM","AFM25","Retention",0.000482660257262569
"RCP2.6_MFM","AFM25","Selection",0.000402750607365519
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.0126608507273946
"RCP2.6_MFM","AFM25","EP_EU",0.026386149424095
"RCP2.6_SFM","AFM25","Clear_cut",0.0157172913193939
"RCP2.6_SFM","AFM25","Retention",0.000502385122478853
"RCP2.6_SFM","AFM25","Selection",0.000102431089487541
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.0123726068315639
"RCP2.6_SFM","AFM25","EP_EU",0.0268538656323809
"REF_MFM","AFM25","Clear_cut",0.0116217452348331
"REF_MFM","AFM25","Retention",0.000321424817309424
"REF_MFM","AFM25","Selection",0.000694798407911076
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.0097783589433548
"REF_MFM","AFM25","EP_EU",0.00605834278791034
"REF_SFM","AFM25","Clear_cut",0.0126719988703888
"REF_SFM","AFM25","Retention",0.000381425208343319
"REF_SFM","AFM25","Selection",0.000297782693603807
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.00965427193506477
"REF_SFM","AFM25","EP_EU",0.00617467281721141
"RCP2.6_MFM","AFM50","Clear_cut",0.014177912355463
"RCP2.6_MFM","AFM50","Retention",0.000346781578405562
"RCP2.6_MFM","AFM50","Selection",0.000661855004142826
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.0122794972168669
"RCP2.6_MFM","AFM50","EP_EU",0.0266930637341822
"RCP2.6_SFM","AFM50","Clear_cut",0.014070710073455
"RCP2.6_SFM","AFM50","Retention",0.000353490830058877
"RCP2.6_SFM","AFM50","Selection",9.51082802217278e-05
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0.0120888185131994
"RCP2.6_SFM","AFM50","EP_EU",0.0276208524085226
"REF_MFM","AFM50","Clear_cut",0.0111130997027698
"REF_MFM","AFM50","Retention",0.000258378483956772
"REF_MFM","AFM50","Selection",0.000885487264386788
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0.00967250617461747
"REF_MFM","AFM50","EP_EU",0.00614343368056564
"REF_SFM","AFM50","Clear_cut",0.0111723777497114
"REF_SFM","AFM50","Retention",0.000287041847057712
"REF_SFM","AFM50","Selection",0.000263826731032919
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0.00938056796832
"REF_SFM","AFM50","EP_EU",0.00658559162966444
"RCP2.6_MFM","AFM75","Clear_cut",0.0127639630763594
"RCP2.6_MFM","AFM75","Retention",0.00018309088824097
"RCP2.6_MFM","AFM75","Selection",0.000917561791460087
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0.0120684670107211
"RCP2.6_MFM","AFM75","EP_EU",0.0272420302937851
"RCP2.6_SFM","AFM75","Clear_cut",0.0124054225566886
"RCP2.6_SFM","AFM75","Retention",0.000184997746477605
"RCP2.6_SFM","AFM75","Selection",7.49260735842037e-05
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",0.011503960356978
"RCP2.6_SFM","AFM75","EP_EU",0.028143496881151
"REF_MFM","AFM75","Clear_cut",0.00988576805385617
"REF_MFM","AFM75","Retention",0.00014228511164848
"REF_MFM","AFM75","Selection",0.00111557446716092
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",0.00939588312171859
"REF_MFM","AFM75","EP_EU",0.00629778563148971
"REF_SFM","AFM75","Clear_cut",0.00931202902583682
"REF_SFM","AFM75","Retention",0.000187756445896733
"REF_SFM","AFM75","Selection",0.000250444892466952
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",0.00909628773547551
"REF_SFM","AFM75","EP_EU",0.00712545455185236
"RCP2.6_MFM","AFM100","Clear_cut",0.0112542277322371
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",0.00117858518868321
"RCP2.6_MFM","AFM100","Timber",0
"RCP2.6_MFM","AFM100","Other_management",0.0119389360145318
"RCP2.6_MFM","AFM100","EP_EU",0.0275614690122139
