"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.22224381204559,0,0
"RCP2.6_SFM","noAFM",0.222227121474908,0,0
"REF_MFM","noAFM",0.253043565506106,0,0
"REF_SFM","noAFM",0.253046094711289,0,0
"RCP2.6_MFM","AFMfree",0.217244223703105,0,0
"RCP2.6_SFM","AFMfree",0.217117692607608,0,0
"REF_MFM","AFMfree",0.250400386247729,0,0
"REF_SFM","AFMfree",0.250961298273242,0,0
"RCP2.6_MFM","AFM25",0.215652127703284,0,0
"RCP2.6_SFM","AFM25",0.215470419759554,0,0
"REF_MFM","AFM25",0.250375943624656,0,0
"REF_SFM","AFM25",0.251865896707437,0,0
"RCP2.6_MFM","AFM50",0.213760235298603,0,0
"RCP2.6_SFM","AFM50",0.213764332139946,0,0
"REF_MFM","AFM50",0.250135019441408,0,0
"REF_SFM","AFM50",0.250016635624284,0,0
"RCP2.6_MFM","AFM75",0.212709615183242,0,0
"RCP2.6_SFM","AFM75",0.211771731733335,0,0
"REF_MFM","AFM75",0.249189267897003,0,0
"REF_SFM","AFM75",0.248097181889451,0,0
"RCP2.6_MFM","AFM100",0.212148503921792,0,0
"RCP2.6_SFM","AFM100",0.210343692479079,0,0
"REF_MFM","AFM100",0.248845668029894,0,0
"REF_SFM","AFM100",0.24652172481712,0,0
