"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.233634222895687,0,0
"RCP2.6_SFM","noAFM",0.234281774193077,0,0
"REF_MFM","noAFM",0.126045082451434,0,0
"REF_SFM","noAFM",0.127441888404371,0,0
"RCP2.6_MFM","AFMfree",0.193796944093939,0,0
"RCP2.6_SFM","AFMfree",0.191545874945539,0,0
"REF_MFM","AFMfree",0.0933977205986403,0,0
"REF_SFM","AFMfree",0.0956555449974571,0,0
"RCP2.6_MFM","AFM25",0.199100420930044,0,0
"RCP2.6_SFM","AFM25",0.222142141509616,0,0
"REF_MFM","AFM25",0.0957237799614171,0,0
"REF_SFM","AFM25",0.108297477915509,0,0
"RCP2.6_MFM","AFM50",0.209277960424615,0,0
"RCP2.6_SFM","AFM50",0.27496397078539,0,0
"REF_MFM","AFM50",0.0997808327503856,0,0
"REF_SFM","AFM50",0.148125600256372,0,0
"RCP2.6_MFM","AFM75",0.229407257193813,0,0
"RCP2.6_SFM","AFM75",0.309830515841021,0,0
"REF_MFM","AFM75",0.110700107298474,0,0
"REF_SFM","AFM75",0.186982996495631,0,0
"RCP2.6_MFM","AFM100",0.243099667801771,0,0
"RCP2.6_SFM","AFM100",0.351736434877574,0,0
"REF_MFM","AFM100",0.124786474010392,0,0
"REF_SFM","AFM100",0.238463703337928,0,0
