"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.1487664695649,0,0
"RCP2.6_SFM","noAFM",14.1492456343062,0,0
"REF_MFM","noAFM",16.2889979764892,0,0
"REF_SFM","noAFM",16.2894258620282,0,0
"RCP2.6_MFM","AFMfree",14.1356971698055,0,0
"RCP2.6_SFM","AFMfree",14.1352326672942,0,0
"REF_MFM","AFMfree",16.2832565001754,0,0
"REF_SFM","AFMfree",16.2844203245304,0,0
"RCP2.6_MFM","AFM25",14.1355851670706,0,0
"RCP2.6_SFM","AFM25",14.1419239603683,0,0
"REF_MFM","AFM25",16.2830377889903,0,0
"REF_SFM","AFM25",16.2842440026428,0,0
"RCP2.6_MFM","AFM50",14.1370171818917,0,0
"RCP2.6_SFM","AFM50",14.1468465233802,0,0
"REF_MFM","AFM50",16.2822703390808,0,0
"REF_SFM","AFM50",16.2845716406261,0,0
"RCP2.6_MFM","AFM75",14.1398297137096,0,0
"RCP2.6_SFM","AFM75",14.1510220374991,0,0
"REF_MFM","AFM75",16.2833414791842,0,0
"REF_SFM","AFM75",16.2849773666485,0,0
"RCP2.6_MFM","AFM100",14.1401718180364,0,0
"RCP2.6_SFM","AFM100",14.1572365678315,0,0
"REF_MFM","AFM100",16.2829293221956,0,0
"REF_SFM","AFM100",16.2861051766808,0,0
