"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.562325629483269
"RCP2.6_MFM","noAFM","Regrowth",0.266380271325235
"RCP2.6_MFM","noAFM","Forest",2.81790486580586
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",2.36121960655161
"RCP2.6_MFM","noAFM","Annual_crops",1.85541155050765
"RCP2.6_MFM","noAFM","Pasture",3.74072712238641
"RCP2.6_MFM","noAFM","Permanent_crops",1.66566321605658
"RCP2.6_MFM","noAFM","Urban",0.906107196173506
"RCP2.6_SFM","noAFM","Afforestation",0.562329958100238
"RCP2.6_SFM","noAFM","Regrowth",0.266329834976061
"RCP2.6_SFM","noAFM","Forest",2.81840380564508
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",2.36100231127353
"RCP2.6_SFM","noAFM","Annual_crops",1.85557557833975
"RCP2.6_SFM","noAFM","Pasture",3.74080463421066
"RCP2.6_SFM","noAFM","Permanent_crops",1.66567131532752
"RCP2.6_SFM","noAFM","Urban",0.90610936248529
"REF_MFM","noAFM","Afforestation",0.312722436324722
"REF_MFM","noAFM","Regrowth",0.310067444183347
"REF_MFM","noAFM","Forest",1.74794769129813
"REF_MFM","noAFM","Energy_crops_and_plantations",0.222071364800591
"REF_MFM","noAFM","Annual_crops",3.52868916817569
"REF_MFM","noAFM","Pasture",7.5498766861747
"REF_MFM","noAFM","Permanent_crops",1.71867822262846
"REF_MFM","noAFM","Urban",0.931418294079627
"REF_SFM","noAFM","Afforestation",0.312725452980897
"REF_SFM","noAFM","Regrowth",0.310024216659194
"REF_SFM","noAFM","Forest",1.74816479808024
"REF_SFM","noAFM","Energy_crops_and_plantations",0.222370005188741
"REF_SFM","noAFM","Annual_crops",3.52856932532203
"REF_SFM","noAFM","Pasture",7.54968325399789
"REF_SFM","noAFM","Permanent_crops",1.71869414950242
"REF_SFM","noAFM","Urban",0.931422133099341
"RCP2.6_MFM","AFMfree","Afforestation",0.562168084822361
"RCP2.6_MFM","AFMfree","Regrowth",0.267594862628248
"RCP2.6_MFM","AFMfree","Forest",2.79990922032266
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",2.35517878149461
"RCP2.6_MFM","AFMfree","Annual_crops",1.8575440063932
"RCP2.6_MFM","AFMfree","Pasture",3.7418600995206
"RCP2.6_MFM","AFMfree","Permanent_crops",1.6646857682248
"RCP2.6_MFM","AFMfree","Urban",0.905863719457121
"RCP2.6_SFM","AFMfree","Afforestation",0.562162067306369
"RCP2.6_SFM","AFMfree","Regrowth",0.267482522050268
"RCP2.6_SFM","AFMfree","Forest",2.79988275143267
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",2.35305500997012
"RCP2.6_SFM","AFMfree","Annual_crops",1.85860256775063
"RCP2.6_SFM","AFMfree","Pasture",3.74247751976521
