"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0114477876062173,0.0861487670870704,0.0796820959991066,0.0226141441696471,1.84396376290144,1.57951444896951,3.6610450263873,0.883493052003859,0.0292310117689212,0.0206526075761319,0.0079352762981986,0,0.078097121308189,0,0,0.000151896307209933,0.00118111293024929,1.00218458032873e-05,0.0298568597453926,0.0201914682872202,0.0151225675450745,2.28047739261949,0.0454281780998305,0.0046366294066264,0.557689000076643,0.266380271325235,3.10439560338647e-05,0.266546841218433,0.0161591216230496,2.36805195122825
"RCP2.6_SFM","noAFM",0.0114474807891878,0.0861479130140301,0.0796778187587496,0.0226133425807352,1.84412809755056,1.57952340231348,3.66112681545192,0.883496019904555,0.0292338021626437,0.0206788626352217,0.00793407315285996,0,0.0789802920206428,0,0,0.00015172231812757,0.00118173739791197,9.96904112458541e-06,0.0298564222434125,0.0201908035718607,0.0151216265184801,2.28050552601998,0.0451843551632123,0.00463646120870934,0.557693496891528,0.266329834976061,3.1028126947001e-05,0.266512137554307,0.016143759103423,2.36768999988845
"REF_MFM","noAFM",0.0828523170960429,0.0882807203500036,0.0901922831117721,0.0240484897728955,3.44583685107965,1.63039750227845,7.45968440306293,0.907369804306732,0.0189969340639352,0.0192659930896865,0.00784310077178172,0,0.0513063423685447,0,0,0.000736540629789008,0.00197629638908291,0.000176868420084872,0.0332341752584129,0.0023440261841445,0.00594502667633796,0.208903882062256,0.00487842987785178,0,0.312722436324722,0.310067444183347,0.000315251201783785,0.15419472892698,0.0122859481894885,1.44761551198856
"REF_SFM","noAFM",0.0828312892858612,0.088280236870501,0.0901921504241177,0.0240475824018585,3.44573803603617,1.63041391263192,7.45949110357377,0.907374550697482,0.0190047253832399,0.0191461137293829,0.00784453654419522,0,0.0525146411852299,0,0,0.000735715763203227,0.00200515316831407,0.000176601204527519,0.0330136786528086,0.00234408640648094,0.00595905562403353,0.208904451102738,0.00516241205548882,0,0.312725452980897,0.310024216659194,0.000315435001268493,0.154188943181492,0.0122894301096145,1.44692982415696
"RCP2.6_MFM","AFMfree",0.0115287762953019,0.0857267561458926,0.0796071065042235,0.0224707517945656,1.84601523009789,1.57895901207891,3.66225299301638,0.883392967662555,0.0224896070752168,0.0149925838764135,0.00803784658054438,0.000800647063996618,0.0569117077586947,0,0,0.000209222720153827,0.000757617389044826,1.54663114552015e-05,0.0215912734850773,0.0199980754063371,0.0144146957045411,2.27998169105294,0.0407843193307837,0.00460699885082328,0.557561085971538,0.267594862628248,3.22625880301172e-05,0.268946172264712,0.016824162247017,2.38830065096231
"RCP2.6_SFM","AFMfree",0.0114991135020991,0.0857099160165944,0.0795923793568701,0.022472161445709,1.84710345424853,1.57893545745298,3.66288514040834,0.883386406948058,0.0225925737761848,0.0152519142136176,0.00799259542108569,0.000800955967445255,0.0565447589694874,0,0,0.000180753138687841,0.000790334691592851,1.33120393615225e-05,0.0213762782122925,0.0200088395103413,0.0143686952190634,2.27995927758514,0.0387181976555765,0.00460672210933854,0.557555345197031,0.267482522050268,3.2144378513099e-05,0.268979758352786,0.0167251923607486,2.38860217991086
"REF_MFM","AFMfree",0.0827439572712296,0.0881435954685702,0.0902797578679521,0.0240016121808158,3.44505255076785,1.62963595002755,7.45748913708972,0.907223937747362,0.0148841445913853,0.0127126956928662,0.0081495840605768,0.000532968136907921,0.0325741357049471,0,0,0.000698748273033915,0.00130524050485435,0.000111267881177042,0.0182265910672618,0.00233134764182019,0.00562293294017292,0.208852155043474,0.00514069424053504,0,0.312707565496512,0.313816188015388,0.000327404605975661,0.156907578923461,0.0127011889273853,1.46832611563637
"REF_SFM","AFMfree",0.0828269116324919,0.08821291965064,0.0902779490044244,0.0239972460317277,3.44533860048821,1.62966300135194,7.45769518466593,0.907227078748326,0.0157956674085183,0.0129152926744755,0.00795845463917857,0.000539496560834207,0.0340920983108556,0,0,0.000539255878007132,0.00133151907936034,8.2059579821813e-05,0.0184989843075459,0.00233117125985792,0.00563578429039444,0.208856040504286,0.00476168755788139,0,0.312709237493917,0.313695280173097,0.000328107143523963,0.156818479771416,0.0127438906412588,1.46713582844417
"RCP2.6_MFM","AFM25",0.0112876364067876,0.0856254801876808,0.0793816055048592,0.022434307131848,1.84334188348157,1.57894866051324,3.66024039930226,0.883391902113432,0.020719721770409,0.016193338544314,0.00789374450230285,0.00063711153958659,0.0574043886905033,0,0,0.000531630801722485,0.000843300441091819,1.00148529277521e-05,0.0197745848184926,0.0199601583601003,0.0148695588797052,2.28013368167562,0.0461550148720715,0.00459751567024468,0.557570470513996,0.267539715857722,3.19084715931346e-05,0.269002230387755,0.0166804144885677,2.38788759699961
"RCP2.6_SFM","AFM25",0.0111240743508297,0.0856437037998612,0.0791856179184719,0.0224421044029066,1.84054235170671,1.5791761491719,3.6581934355616,0.883438977414177,0.0207468245415999,0.0190577272663218,0.008099119058672,0.000663148361672085,0.0711941897247716,0,0,0.000135209038123555,0.00108615371074839,4.44893954894009e-06,0.0206372703735047,0.019990895378,0.0154562072567429,2.28047398056256,0.0523019904139059,0.00459776001851872,0.557630276301746,0.266757834624055,3.11348114381371e-05,0.268130864254256,0.0163007062062262,2.37731728071251
