"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0351743722515045
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0293275494861086
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0454250589882271
"RCP2.6_MFM","noAFM","Import_Forest",0.104599859352374
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.0351733115917897
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0293305349370346
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0451812301637342
"RCP2.6_SFM","noAFM","Import_Forest",0.105512107162816
"REF_MFM","noAFM","EU28_Energy_crops",0.00827444439131752
"REF_MFM","noAFM","EU28_Forest_net",0.0196908204295047
"REF_MFM","noAFM","Import_Energy_plantations",0.00487830153561766
"REF_MFM","noAFM","Import_Forest",0.077420154703964
"REF_SFM","noAFM","EU28_Energy_crops",0.00828855990741895
"REF_SFM","noAFM","EU28_Forest_net",0.0196978482709246
"REF_SFM","noAFM","Import_Energy_plantations",0.00516126651968838
"REF_SFM","noAFM","Import_Forest",0.0784854995226232
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0343064122555681
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.023416155654363
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0407814993864167
"RCP2.6_MFM","AFMfree","Import_Forest",0.0760735137075358
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.034256335857348
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0234735072198134
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0387156622337685
"RCP2.6_SFM","AFMfree","Import_Forest",0.0759396212315498
"REF_MFM","AFMfree","EU28_Energy_crops",0.00791899706887859
"REF_MFM","AFMfree","EU28_Forest_net",0.0160212682882084
"REF_MFM","AFMfree","Import_Energy_plantations",0.00514101421696144
"REF_MFM","AFMfree","Import_Forest",0.0490976454009872
"REF_SFM","AFMfree","EU28_Energy_crops",0.00793689653846123
"REF_SFM","AFMfree","EU28_Forest_net",0.0167480712779222
"REF_SFM","AFMfree","Import_Energy_plantations",0.00476228007168028
"REF_SFM","AFMfree","Import_Forest",0.050887620313752
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0347463433583583
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0218083404922221
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0461512759438893
"RCP2.6_MFM","AFM25","Import_Forest",0.0774697786206057
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0353313067420106
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.0214470211632511
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.052298622584096
"RCP2.6_SFM","AFM25","Import_Forest",0.0943802194573351
"REF_MFM","AFM25","EU28_Energy_crops",0.00798368604851518
"REF_MFM","AFM25","EU28_Forest_net",0.0166404831743245
"REF_MFM","AFM25","Import_Energy_plantations",0.00486378686390715
"REF_MFM","AFM25","Import_Forest",0.0510851636286283
"REF_SFM","AFM25","EU28_Energy_crops",0.00812323449260023
"REF_SFM","AFM25","EU28_Forest_net",0.0175336029292912
"REF_SFM","AFM25","Import_Energy_plantations",0.00551178844456071
"REF_SFM","AFM25","Import_Forest",0.0614782752783015
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0351541198618661
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0200018708952859
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.0517508742069603
"RCP2.6_MFM","AFM50","Import_Forest",0.0839233265866182
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.036324117726111
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0190878249556327
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0639992416626512
"RCP2.6_SFM","AFM50","Import_Forest",0.136067848238784
"REF_MFM","AFM50","EU28_Energy_crops",0.00809432520021318
"REF_MFM","AFM50","EU28_Forest_net",0.0161394382937718
"REF_MFM","AFM50","Import_Energy_plantations",0.0054164240971781
"REF_MFM","AFM50","Import_Forest",0.0548765297287372
"REF_SFM","AFM50","EU28_Energy_crops",0.00866613933665418
"REF_SFM","AFM50","EU28_Forest_net",0.0153758033598
"REF_SFM","AFM50","Import_Energy_plantations",0.00618280124408496
"REF_SFM","AFM50","Import_Forest",0.101102197468539
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0358776149435155
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0182484254006569
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.0558252725575381
"RCP2.6_MFM","AFM75","Import_Forest",0.100940748782009
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0369978031093775
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0166523925972174
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0764966613567747
"RCP2.6_SFM","AFM75","Import_Forest",0.160544497362959
"REF_MFM","AFM75","EU28_Energy_crops",0.00829780839310846
"REF_MFM","AFM75","EU28_Forest_net",0.0146675895432398
"REF_MFM","AFM75","Import_Energy_plantations",0.00524352982337198
"REF_MFM","AFM75","Import_Forest",0.0671003637350564
"REF_SFM","AFM75","EU28_Energy_crops",0.0093530504859193
"REF_SFM","AFM75","EU28_Forest_net",0.0122013441238905
"REF_SFM","AFM75","Import_Energy_plantations",0.00942353831694846
"REF_SFM","AFM75","Import_Forest",0.13794867768449
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.0362999454245691
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.0163709880611105
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.0633440815216596
"RCP2.6_MFM","AFM100","Import_Forest",0.108525827316237
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.037914321115013
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0142339350725318
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.0840598168724411
"RCP2.6_SFM","AFM100","Import_Forest",0.196448364667525
"REF_MFM","AFM100","EU28_Energy_crops",0.00858156341020968
"REF_MFM","AFM100","EU28_Forest_net",0.0131340755965699
"REF_MFM","AFM100","Import_Energy_plantations",0.00632199277038525
"REF_MFM","AFM100","Import_Forest",0.0809474879166743
"REF_SFM","AFM100","EU28_Energy_crops",0.00990831613662191
"REF_SFM","AFM100","EU28_Forest_net",0.00958615869711879
"REF_SFM","AFM100","Import_Energy_plantations",0.0141298325923412
"REF_SFM","AFM100","Import_Forest",0.186399284602957
