"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0352668069420177
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0465110622338764
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0454299246732115
"RCP2.6_MFM","noAFM","Clear_cut_im",0.0212693184710323
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",0.083360536451778
"RCP2.6_MFM","noAFM","Selection_im",0
"RCP2.6_MFM","noAFM","Selective_im",0
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.0352656168327384
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0465021703497674
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0451861687744269
"RCP2.6_SFM","noAFM","Clear_cut_im",0.0212974815552777
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",0.0842445368753722
"RCP2.6_SFM","noAFM","Selection_im",0
"RCP2.6_SFM","noAFM","Selective_im",0
"REF_MFM","noAFM","EU28_Energy_crops",0.00829869280384344
"REF_MFM","noAFM","EU28_Forest_net",0.033086482805482
"REF_MFM","noAFM","Import_Energy_plantations",0.00487860203581085
"REF_MFM","noAFM","Clear_cut_im",0.0202943257633344
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",0.0571486461899012
"REF_MFM","noAFM","Selection_im",0
"REF_MFM","noAFM","Selective_im",0
"REF_SFM","noAFM","EU28_Energy_crops",0.00831282537292345
"REF_SFM","noAFM","EU28_Forest_net",0.0331085459719132
"REF_SFM","noAFM","Import_Energy_plantations",0.00516313945003759
"REF_SFM","noAFM","Clear_cut_im",0.0201878273900476
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",0.0583195249567466
"REF_SFM","noAFM","Selection_im",0
"REF_SFM","noAFM","Selective_im",0
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0343948067830557
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.0409003643109484
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0407856513245995
"RCP2.6_MFM","AFMfree","Clear_cut_im",0.0153862312652982
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",0.0607057113937255
"RCP2.6_MFM","AFMfree","Selection_im",0
"RCP2.6_MFM","AFMfree","Selective_im",0
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.03434691110892
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0409408336652405
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0387195579329232
"RCP2.6_SFM","AFMfree","Clear_cut_im",0.0156625944177864
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",0.0602969553130522
"RCP2.6_SFM","AFMfree","Selection_im",0
"RCP2.6_SFM","AFMfree","Selective_im",0
"REF_MFM","AFMfree","EU28_Energy_crops",0.00794142079640285
"REF_MFM","AFMfree","EU28_Forest_net",0.0295851914934837
"REF_MFM","AFMfree","Import_Energy_plantations",0.00514249156529589
"REF_MFM","AFMfree","Clear_cut_im",0.0133704030922431
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",0.035740987278912
"REF_MFM","AFMfree","Selection_im",0
"REF_MFM","AFMfree","Selective_im",0
"REF_SFM","AFMfree","EU28_Energy_crops",0.00795861333544073
"REF_SFM","AFMfree","EU28_Forest_net",0.0304141237950363
"REF_SFM","AFMfree","Import_Energy_plantations",0.00476285552596792
"REF_SFM","AFMfree","Clear_cut_im",0.0135906067723622
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",0.037309422380345
"REF_SFM","AFMfree","Selection_im",0
"REF_SFM","AFMfree","Selective_im",0
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0348372955017183
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0391943636834061
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0461560906445723
"RCP2.6_MFM","AFM25","Clear_cut_im",0.0166316898502701
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",0.0608585661267317
"RCP2.6_MFM","AFM25","Selection_im",0
"RCP2.6_MFM","AFM25","Selective_im",0
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0354170940438043
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.038701221622018
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.0523039402233061
"RCP2.6_SFM","AFM25","Clear_cut_im",0.0196244801626562
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",0.074782755453372
"RCP2.6_SFM","AFM25","Selection_im",0
"RCP2.6_SFM","AFM25","Selective_im",0
"REF_MFM","AFM25","EU28_Energy_crops",0.00800585768851255
"REF_MFM","AFM25","EU28_Forest_net",0.0301172352810309
"REF_MFM","AFM25","Import_Energy_plantations",0.00486484630413142
"REF_MFM","AFM25","Clear_cut_im",0.0139241950969505
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",0.0371765375240453
"REF_MFM","AFM25","Selection_im",0
"REF_MFM","AFM25","Selective_im",0
"REF_SFM","AFM25","EU28_Energy_crops",0.00814560722467348
"REF_SFM","AFM25","EU28_Forest_net",0.0310328696744403
"REF_SFM","AFM25","Import_Energy_plantations",0.00551331551043578
"REF_SFM","AFM25","Clear_cut_im",0.0182441715806892
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",0.0432515061912343
"REF_SFM","AFM25","Selection_im",0
"REF_SFM","AFM25","Selective_im",0
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0352441990995572
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0370471757358253
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.0517557767075158
"RCP2.6_MFM","AFM50","Clear_cut_im",0.0186624232045877
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",0.06528692369624
"RCP2.6_MFM","AFM50","Selection_im",0
"RCP2.6_MFM","AFM50","Selective_im",0
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.0364135943003973
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.036143395835642
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0640048263568389
"RCP2.6_SFM","AFM50","Clear_cut_im",0.0249761764103452
"RCP2.6_SFM","AFM50","Pulp_Timber_Plantation_im",0.111124828625781
"RCP2.6_SFM","AFM50","Selection_im",0
"RCP2.6_SFM","AFM50","Selective_im",0
"REF_MFM","AFM50","EU28_Energy_crops",0.00811686209324659
"REF_MFM","AFM50","EU28_Forest_net",0.0295393954027155
"REF_MFM","AFM50","Import_Energy_plantations",0.00541702109753123
"REF_MFM","AFM50","Clear_cut_im",0.0160351563836771
"REF_MFM","AFM50","Pulp_Timber_Plantation_im",0.0388597916704041
"REF_MFM","AFM50","Selection_im",0
"REF_MFM","AFM50","Selective_im",0
"REF_SFM","AFM50","EU28_Energy_crops",0.00869053968704421
"REF_SFM","AFM50","EU28_Forest_net",0.0287057948906977
"REF_SFM","AFM50","Import_Energy_plantations",0.00618480680309844
"REF_SFM","AFM50","Clear_cut_im",0.023902847087194
"REF_SFM","AFM50","Pulp_Timber_Plantation_im",0.0772210980534551
"REF_SFM","AFM50","Selection_im",0
"REF_SFM","AFM50","Selective_im",0
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0359698267935838
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0351382332179047
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.0558300159399529
"RCP2.6_MFM","AFM75","Clear_cut_im",0.0201032752968711
"RCP2.6_MFM","AFM75","Pulp_Timber_Plantation_im",0.0808677675216419
"RCP2.6_MFM","AFM75","Selection_im",0
"RCP2.6_MFM","AFM75","Selective_im",0
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0370857811318058
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0332204641504049
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0765032938669234
"RCP2.6_SFM","AFM75","Clear_cut_im",0.0312293043790082
"RCP2.6_SFM","AFM75","Pulp_Timber_Plantation_im",0.129360672107834
"RCP2.6_SFM","AFM75","Selection_im",0
"RCP2.6_SFM","AFM75","Selective_im",0
"REF_MFM","AFM75","EU28_Energy_crops",0.00832128966717022
"REF_MFM","AFM75","EU28_Forest_net",0.0278753996103731
"REF_MFM","AFM75","Import_Energy_plantations",0.00524359225783403
"REF_MFM","AFM75","Clear_cut_im",0.0174772918558415
"REF_MFM","AFM75","Pulp_Timber_Plantation_im",0.0496468148440492
"REF_MFM","AFM75","Selection_im",0
"REF_MFM","AFM75","Selective_im",0
"REF_SFM","AFM75","EU28_Energy_crops",0.00937820483605459
"REF_SFM","AFM75","EU28_Forest_net",0.0253420553688182
"REF_SFM","AFM75","Import_Energy_plantations",0.00942445442033936
"REF_SFM","AFM75","Clear_cut_im",0.0335771433964884
"REF_SFM","AFM75","Pulp_Timber_Plantation_im",0.104399181717559
"REF_SFM","AFM75","Selection_im",0
"REF_SFM","AFM75","Selective_im",0
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.0363919950283142
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.0331649829918446
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.0633490241611269
"RCP2.6_MFM","AFM100","Clear_cut_im",0.0233311595716315
"RCP2.6_MFM","AFM100","Pulp_Timber_Plantation_im",0.0852271206155938
"RCP2.6_MFM","AFM100","Selection_im",0
"RCP2.6_MFM","AFM100","Selective_im",0
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.0380017547503482
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0304297520417611
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.0840678770798487
"RCP2.6_SFM","AFM100","Clear_cut_im",0.0365942665364268
"RCP2.6_SFM","AFM100","Pulp_Timber_Plantation_im",0.159905643686156
"RCP2.6_SFM","AFM100","Selection_im",0
"RCP2.6_SFM","AFM100","Selective_im",0
"REF_MFM","AFM100","EU28_Energy_crops",0.00860567352283907
"REF_MFM","AFM100","EU28_Forest_net",0.0262815139073105
"REF_MFM","AFM100","Import_Energy_plantations",0.00632325663000606
"REF_MFM","AFM100","Clear_cut_im",0.0209928788948641
"REF_MFM","AFM100","Pulp_Timber_Plantation_im",0.0599786228633286
"REF_MFM","AFM100","Selection_im",0
"REF_MFM","AFM100","Selective_im",0
"REF_SFM","AFM100","EU28_Energy_crops",0.00993546413868665
"REF_SFM","AFM100","EU28_Forest_net",0.0224816011912646
"REF_SFM","AFM100","Import_Energy_plantations",0.0141335521006727
"REF_SFM","AFM100","Clear_cut_im",0.0417694779950012
"REF_SFM","AFM100","Pulp_Timber_Plantation_im",0.144660931419521
"REF_SFM","AFM100","Selection_im",0
