"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.00507723390571258
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.00238062480997931
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.00752610273762442
"RCP2.6_MFM","noAFM","Clear_cut_im",0
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",0.0147561651370228
"RCP2.6_MFM","noAFM","Selection_im",0
"RCP2.6_MFM","noAFM","Selective_im",0
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.00507709088737031
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.00237887066205828
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0074885640939652
"RCP2.6_SFM","noAFM","Clear_cut_im",0
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",0.0149339549556554
"RCP2.6_SFM","noAFM","Selection_im",0
"RCP2.6_SFM","noAFM","Selective_im",0
"REF_MFM","noAFM","EU28_Energy_crops",0.00142258684465233
"REF_MFM","noAFM","EU28_Forest_net",0.00196450902108748
"REF_MFM","noAFM","Import_Energy_plantations",0.00103819834536881
"REF_MFM","noAFM","Clear_cut_im",0
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",0.00997639331358457
"REF_MFM","noAFM","Selection_im",0
"REF_MFM","noAFM","Selective_im",0
"REF_SFM","noAFM","EU28_Energy_crops",0.00142385136388164
"REF_SFM","noAFM","EU28_Forest_net",0.00196594133276867
"REF_SFM","noAFM","Import_Energy_plantations",0.00106791955552529
"REF_SFM","noAFM","Clear_cut_im",0
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",0.0102030914168674
"REF_SFM","noAFM","Selection_im",0
"REF_SFM","noAFM","Selective_im",0
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.00497949340623909
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.00243837791363598
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.00671659553326566
"RCP2.6_MFM","AFMfree","Clear_cut_im",0
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",0.0108571286974176
"RCP2.6_MFM","AFMfree","Selection_im",0
"RCP2.6_MFM","AFMfree","Selective_im",0
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.00498166008270673
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.00242951536019173
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.00646209000224992
"RCP2.6_SFM","AFMfree","Clear_cut_im",0
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",0.0107421930288496
"RCP2.6_SFM","AFMfree","Selection_im",0
"RCP2.6_SFM","AFMfree","Selective_im",0
"REF_MFM","AFMfree","EU28_Energy_crops",0.00136803612654144
"REF_MFM","AFMfree","EU28_Forest_net",0.00198990754163227
"REF_MFM","AFMfree","Import_Energy_plantations",0.00106822818932359
"REF_MFM","AFMfree","Clear_cut_im",0
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",0.00639252767072332
"REF_MFM","AFMfree","Selection_im",0
"REF_MFM","AFMfree","Selective_im",0
"REF_SFM","AFMfree","EU28_Energy_crops",0.00136741958796579
"REF_SFM","AFMfree","EU28_Forest_net",0.00199769595701185
"REF_SFM","AFMfree","Import_Energy_plantations",0.0010125202970881
"REF_SFM","AFMfree","Clear_cut_im",0
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",0.00668109885190507
"REF_SFM","AFMfree","Selection_im",0
"REF_SFM","AFMfree","Selective_im",0
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.00507273927611961
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.00243315605645974
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.00751935104069867
"RCP2.6_MFM","AFM25","Clear_cut_im",0
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",0.0110545970688141
"RCP2.6_MFM","AFM25","Selection_im",0
"RCP2.6_MFM","AFM25","Selective_im",0
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0051525396579177
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.00240667405276284
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.00854661668414478
"RCP2.6_SFM","AFM25","Clear_cut_im",0
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",0.0137145451176973
"RCP2.6_SFM","AFM25","Selection_im",0
"RCP2.6_SFM","AFM25","Selective_im",0
"REF_MFM","AFM25","EU28_Energy_crops",0.00137724626686252
"REF_MFM","AFM25","EU28_Forest_net",0.00198292722628644
"REF_MFM","AFM25","Import_Energy_plantations",0.00103582067279341
"REF_MFM","AFM25","Clear_cut_im",0
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",0.00664100824958309
"REF_MFM","AFM25","Selection_im",0
"REF_MFM","AFM25","Selective_im",0
"REF_SFM","AFM25","EU28_Energy_crops",0.00140975753829903
"REF_SFM","AFM25","EU28_Forest_net",0.00198353065424424
"REF_SFM","AFM25","Import_Energy_plantations",0.00116742127785317
"REF_SFM","AFM25","Clear_cut_im",0
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",0.0077550085172761
"REF_SFM","AFM25","Selection_im",0
"REF_SFM","AFM25","Selective_im",0
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.00512463099673503
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.00238629826450914
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.00846485179357459
"RCP2.6_MFM","AFM50","Clear_cut_im",0
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",0.0119655987855237
"RCP2.6_MFM","AFM50","Selection_im",0
"RCP2.6_MFM","AFM50","Selective_im",0
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.00528632751949631
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0023899053872168
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0103997562908105
"RCP2.6_SFM","AFM50","Clear_cut_im",0
"RCP2.6_SFM","AFM50","Pulp_Timber_Plantation_im",0.0196873722520284
"RCP2.6_SFM","AFM50","Selection_im",0
"RCP2.6_SFM","AFM50","Selective_im",0
"REF_MFM","AFM50","EU28_Energy_crops",0.00139888869467689
"REF_MFM","AFM50","EU28_Forest_net",0.00197886407896546
"REF_MFM","AFM50","Import_Energy_plantations",0.00113528697848895
"REF_MFM","AFM50","Clear_cut_im",0
"REF_MFM","AFM50","Pulp_Timber_Plantation_im",0.00699659056767808
"REF_MFM","AFM50","Selection_im",0
"REF_MFM","AFM50","Selective_im",0
"REF_SFM","AFM50","EU28_Energy_crops",0.00149964013861509
"REF_SFM","AFM50","EU28_Forest_net",0.00196606420367219
