"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.231837648771916,0,0
"RCP2.6_SFM","noAFM",0.232495974387583,0,0
"REF_MFM","noAFM",0.123706749598372,0,0
"REF_SFM","noAFM",0.125091863141669,0,0
"RCP2.6_MFM","AFMfree",0.192172765077627,0,0
"RCP2.6_SFM","AFMfree",0.189966852437922,0,0
"REF_MFM","AFMfree",0.0917804942263376,0,0
"REF_SFM","AFMfree",0.0940356218091521,0,0
"RCP2.6_MFM","AFM25",0.197678005806699,0,0
"RCP2.6_SFM","AFM25",0.220829491505157,0,0
"REF_MFM","AFM25",0.0940886718946707,0,0
"REF_SFM","AFM25",0.106187470181473,0,0
"RCP2.6_MFM","AFM50",0.207996498443726,0,0
"RCP2.6_SFM","AFM50",0.272662821529005,0,0
"REF_MFM","AFM50",0.0979682266475746,0,0
"REF_SFM","AFM50",0.144705086521489,0,0
"RCP2.6_MFM","AFM75",0.227909118769954,0,0
"RCP2.6_SFM","AFM75",0.307399515635977,0,0
"REF_MFM","AFM75",0.108564388235268,0,0
"REF_SFM","AFM75",0.18212103973926,0,0
"RCP2.6_MFM","AFM100",0.241464282368511,0,0
"RCP2.6_SFM","AFM100",0.348999294094541,0,0
"REF_MFM","AFM100",0.122181945818348,0,0
"REF_SFM","AFM100",0.232981026845146,0,0
