"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0517473845777934,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0517060898720806,0,0,"noAFM","2020"
"REF_MFM",0.0518327783225233,0,0,"noAFM","2020"
"REF_SFM",0.051896463894321,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0514953577434633,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0518572368214568,0,0,"AFMfree","2020"
"REF_MFM",0.0518086828533361,0,0,"AFMfree","2020"
"REF_SFM",0.0520616504711294,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.051450313191612,0,0,"AFM25","2020"
"RCP2.6_SFM",0.051501304885743,0,0,"AFM25","2020"
"REF_MFM",0.0519677131307105,0,0,"AFM25","2020"
"REF_SFM",0.0515646459197352,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0517689476558544,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0510431759493739,0,0,"AFM50","2020"
"REF_MFM",0.0517310411670082,0,0,"AFM50","2020"
"REF_SFM",0.0511601254262783,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0517407394356346,0,0,"AFM75","2020"
"RCP2.6_SFM",0.0501943058057383,0,0,"AFM75","2020"
"REF_MFM",0.051677278648265,0,0,"AFM75","2020"
"REF_SFM",0.0503261129983479,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0517074047477781,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0493805608562584,0,0,"AFM100","2020"
"REF_MFM",0.0516841235099627,0,0,"AFM100","2020"
"REF_SFM",0.049659367181579,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0583126826949007,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0582554926981057,0,0,"noAFM","2030"
"REF_MFM",0.0566234953827336,0,0,"noAFM","2030"
"REF_SFM",0.056839074712672,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0576070409759576,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0562102666312713,0,0,"AFMfree","2030"
"REF_MFM",0.0557415394606782,0,0,"AFMfree","2030"
"REF_SFM",0.0556990687049569,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0574683209196779,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0562427255801662,0,0,"AFM25","2030"
"REF_MFM",0.0552614326026257,0,0,"AFM25","2030"
"REF_SFM",0.0557389871858288,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0571279810198011,0,0,"AFM50","2030"
"RCP2.6_SFM",0.0573696438743393,0,0,"AFM50","2030"
"REF_MFM",0.0556289425621702,0,0,"AFM50","2030"
"REF_SFM",0.0554040346465762,0,0,"AFM50","2030"
"RCP2.6_MFM",0.0568489110815001,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0605018655337186,0,0,"AFM75","2030"
"REF_MFM",0.0551257548410012,0,0,"AFM75","2030"
"REF_SFM",0.0583437403493798,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0573209531499633,0,0,"AFM100","2030"
"RCP2.6_SFM",0.0653606101007848,0,0,"AFM100","2030"
"REF_MFM",0.0554322593980249,0,0,"AFM100","2030"
"REF_SFM",0.0628213688658234,0,0,"AFM100","2030"
"RCP2.6_MFM",0.0750461052740772,0,0,"noAFM","2040"
"RCP2.6_SFM",0.0751482046569737,0,0,"noAFM","2040"
"REF_MFM",0.0664544844564088,0,0,"noAFM","2040"
"REF_SFM",0.0667304628225754,0,0,"noAFM","2040"
"RCP2.6_MFM",0.0693343653012629,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.067763377964904,0,0,"AFMfree","2040"
"REF_MFM",0.0589547659319051,0,0,"AFMfree","2040"
"REF_SFM",0.059112685548125,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.0685122937172454,0,0,"AFM25","2040"
"RCP2.6_SFM",0.0670752174190277,0,0,"AFM25","2040"
"REF_MFM",0.059222622658002,0,0,"AFM25","2040"
"REF_SFM",0.062022279844314,0,0,"AFM25","2040"
"RCP2.6_MFM",0.0668424153904219,0,0,"AFM50","2040"
"RCP2.6_SFM",0.0747823897894639,0,0,"AFM50","2040"
"REF_MFM",0.0598034400672713,0,0,"AFM50","2040"
"REF_SFM",0.0679967609233399,0,0,"AFM50","2040"
"RCP2.6_MFM",0.068188011233545,0,0,"AFM75","2040"
"RCP2.6_SFM",0.0793592657634064,0,0,"AFM75","2040"
"REF_MFM",0.0607900304248834,0,0,"AFM75","2040"
"REF_SFM",0.0718120869323463,0,0,"AFM75","2040"
"RCP2.6_MFM",0.0705890429067772,0,0,"AFM100","2040"
"RCP2.6_SFM",0.0873878485235381,0,0,"AFM100","2040"
"REF_MFM",0.0629424245984791,0,0,"AFM100","2040"
"REF_SFM",0.0813766885671464,0,0,"AFM100","2040"
"RCP2.6_MFM",0.0927733745675561,0,0,"noAFM","2050"
"RCP2.6_SFM",0.0947058771201502,0,0,"noAFM","2050"
"REF_MFM",0.0791256257741775,0,0,"noAFM","2050"
"REF_SFM",0.0794073338018084,0,0,"noAFM","2050"
"RCP2.6_MFM",0.0779216101452325,0,0,"AFMfree","2050"
"RCP2.6_SFM",0.0806290826523143,0,0,"AFMfree","2050"
"REF_MFM",0.0632734012672294,0,0,"AFMfree","2050"
