"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0289555589003762,0,0
"RCP2.6_SFM","noAFM",0.0289560481488559,0,0
"REF_MFM","noAFM",0.0252504910415056,0,0
"REF_SFM","noAFM",0.0252677120740419,0,0
"RCP2.6_MFM","AFMfree",0.0260731612207497,0,0
"RCP2.6_SFM","AFMfree",0.0260356058060179,0,0
"REF_MFM","AFMfree",0.0228181837105515,0,0
"REF_SFM","AFMfree",0.0229562886093428,0,0
"RCP2.6_MFM","AFM25",0.0259729687343221,0,0
"RCP2.6_SFM","AFM25",0.0261589719285387,0,0
"REF_MFM","AFM25",0.022366104230477,0,0
"REF_SFM","AFM25",0.022612880879802,0,0
"RCP2.6_MFM","AFM50",0.0258898036606529,0,0
"RCP2.6_SFM","AFM50",0.0261198825831747,0,0
"REF_MFM","AFM50",0.0222009014899299,0,0
"REF_SFM","AFM50",0.0224626674332909,0,0
"RCP2.6_MFM","AFM75",0.0258760496119883,0,0
"RCP2.6_SFM","AFM75",0.0256972528140954,0,0
"REF_MFM","AFM75",0.021895478208402,0,0
"REF_SFM","AFM75",0.0222539290144098,0,0
"RCP2.6_MFM","AFM100",0.0256956170591655,0,0
"RCP2.6_SFM","AFM100",0.0250479218300708,0,0
"REF_MFM","AFM100",0.0217883209787614,0,0
"REF_SFM","AFM100",0.0216552318397299,0,0
