"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Clear_cut",0.000291601910628497
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",1.67358423258854e-06
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0
"RCP2.6_MFM","noAFM","EP_EU",0.000351743722515045
"RCP2.6_SFM","noAFM","Clear_cut",0.000291634162967333
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",1.67118640301301e-06
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0
"RCP2.6_SFM","noAFM","EP_EU",0.000351733115917897
"REF_MFM","noAFM","Clear_cut",0.000187758828483941
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",9.1493758111061e-06
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0
"REF_MFM","noAFM","EP_EU",8.27444439131752e-05
"REF_SFM","noAFM","Clear_cut",0.000187839813979007
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",9.1386687302387e-06
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0
"REF_SFM","noAFM","EP_EU",8.28855990741895e-05
"RCP2.6_MFM","AFMfree","Clear_cut",0.000223887352011094
"RCP2.6_MFM","AFMfree","Retention",8.01336329252262e-06
"RCP2.6_MFM","AFMfree","Selection",2.26084124001334e-06
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0
"RCP2.6_MFM","AFMfree","EP_EU",0.000343064122555681
"RCP2.6_SFM","AFMfree","Clear_cut",0.00022478327599615
"RCP2.6_SFM","AFMfree","Retention",7.99120003652643e-06
"RCP2.6_SFM","AFMfree","Selection",1.96059616545754e-06
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0
"RCP2.6_SFM","AFMfree","EP_EU",0.00034256335857348
"REF_MFM","AFMfree","Clear_cut",0.000146685648113225
"REF_MFM","AFMfree","Retention",5.35963078015986e-06
"REF_MFM","AFMfree","Selection",8.16740398869958e-06
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0
"REF_MFM","AFMfree","EP_EU",7.91899706887859e-05
"REF_SFM","AFMfree","Clear_cut",0.000155805962733177
"REF_SFM","AFMfree","Retention",5.40963439029653e-06
"REF_SFM","AFMfree","Selection",6.26511565574805e-06
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0
