"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.00205694766698198,0,0,"noAFM","2020"
"RCP2.6_SFM",0.00205694702954439,0,0,"noAFM","2020"
"REF_MFM",0.00216343213663514,0,0,"noAFM","2020"
"REF_SFM",0.00216334405546335,0,0,"noAFM","2020"
"RCP2.6_MFM",0.00209059908056307,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.00207712681578398,0,0,"AFMfree","2020"
"REF_MFM",0.00218118380086559,0,0,"AFMfree","2020"
"REF_SFM",0.00218512346786356,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.00209088789731267,0,0,"AFM25","2020"
"RCP2.6_SFM",0.00207732728754225,0,0,"AFM25","2020"
"REF_MFM",0.00216333230350149,0,0,"AFM25","2020"
"REF_SFM",0.00219274796250527,0,0,"AFM25","2020"
"RCP2.6_MFM",0.00205718956251734,0,0,"AFM50","2020"
"RCP2.6_SFM",0.00207737346972072,0,0,"AFM50","2020"
"REF_MFM",0.00219421249057994,0,0,"AFM50","2020"
"REF_SFM",0.00218451843789399,0,0,"AFM50","2020"
"RCP2.6_MFM",0.00205727903035457,0,0,"AFM75","2020"
"RCP2.6_SFM",0.00208568973549261,0,0,"AFM75","2020"
"REF_MFM",0.00219473261941451,0,0,"AFM75","2020"
"REF_SFM",0.0022161975992059,0,0,"AFM75","2020"
"RCP2.6_MFM",0.00205718118483949,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0020793756611724,0,0,"AFM100","2020"
"REF_MFM",0.00218105471488543,0,0,"AFM100","2020"
"REF_SFM",0.00218676990440851,0,0,"AFM100","2020"
"RCP2.6_MFM",0.00251546386158364,0,0,"noAFM","2030"
"RCP2.6_SFM",0.00251555850812904,0,0,"noAFM","2030"
"REF_MFM",0.00253883923623057,0,0,"noAFM","2030"
"REF_SFM",0.00253865024249818,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0025369775494974,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.00253413912255547,0,0,"AFMfree","2030"
"REF_MFM",0.00255508701364735,0,0,"AFMfree","2030"
"REF_SFM",0.00256796712214379,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.00254470539592595,0,0,"AFM25","2030"
"RCP2.6_SFM",0.00253963550411285,0,0,"AFM25","2030"
"REF_MFM",0.00254045422488856,0,0,"AFM25","2030"
"REF_SFM",0.00257361102352463,0,0,"AFM25","2030"
"RCP2.6_MFM",0.00251507062187067,0,0,"AFM50","2030"
"RCP2.6_SFM",0.00253952309264429,0,0,"AFM50","2030"
"REF_MFM",0.00256441902300815,0,0,"AFM50","2030"
"REF_SFM",0.00256431324311709,0,0,"AFM50","2030"
"RCP2.6_MFM",0.00251593226361525,0,0,"AFM75","2030"
"RCP2.6_SFM",0.00255156472001375,0,0,"AFM75","2030"
"REF_MFM",0.00255868604560098,0,0,"AFM75","2030"
"REF_SFM",0.00259538951384482,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0025153241779977,0,0,"AFM100","2030"
"RCP2.6_SFM",0.00254539959326349,0,0,"AFM100","2030"
"REF_MFM",0.00255074126410739,0,0,"AFM100","2030"
"REF_SFM",0.00256989750662385,0,0,"AFM100","2030"
"RCP2.6_MFM",0.00294435362060187,0,0,"noAFM","2040"
"RCP2.6_SFM",0.00294498085008587,0,0,"noAFM","2040"
"REF_MFM",0.00272592915068221,0,0,"noAFM","2040"
"REF_SFM",0.00272533111399768,0,0,"noAFM","2040"
"RCP2.6_MFM",0.00296076651814915,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.00295675355929251,0,0,"AFMfree","2040"
"REF_MFM",0.00272595263738132,0,0,"AFMfree","2040"
"REF_SFM",0.00274030663170117,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.00296693442502784,0,0,"AFM25","2040"
"RCP2.6_SFM",0.00297252222333133,0,0,"AFM25","2040"
"REF_MFM",0.00271518723449831,0,0,"AFM25","2040"
"REF_SFM",0.00275646404155768,0,0,"AFM25","2040"
"RCP2.6_MFM",0.00294588972069955,0,0,"AFM50","2040"
"RCP2.6_SFM",0.00297570514513393,0,0,"AFM50","2040"
"REF_MFM",0.00274184034748782,0,0,"AFM50","2040"
"REF_SFM",0.0027582105704829,0,0,"AFM50","2040"
"RCP2.6_MFM",0.00294717027255811,0,0,"AFM75","2040"
"RCP2.6_SFM",0.00299771383387287,0,0,"AFM75","2040"
"REF_MFM",0.00274205630301479,0,0,"AFM75","2040"
"REF_SFM",0.00279109751671951,0,0,"AFM75","2040"
"RCP2.6_MFM",0.00294854412678763,0,0,"AFM100","2040"
"RCP2.6_SFM",0.00299604034634166,0,0,"AFM100","2040"
"REF_MFM",0.00273992836912385,0,0,"AFM100","2040"
