"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.00461994305027771
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0372417678004935
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0351743722515045
"RCP2.6_MFM","noAFM","Annual_crops",0.0113657580295232
"RCP2.6_MFM","noAFM","Pasture",0.0795510233390221
"RCP2.6_MFM","noAFM","Permanent_crops",0.086019052053668
"RCP2.6_MFM","noAFM","Urban",0.022576022373593
"RCP2.6_SFM","noAFM","Afforestation",0.00461982530737713
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0372435830306277
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0351733115917897
"RCP2.6_SFM","noAFM","Annual_crops",0.0113656217967543
"RCP2.6_SFM","noAFM","Pasture",0.0795474817444971
"RCP2.6_SFM","noAFM","Permanent_crops",0.086018471666199
"RCP2.6_SFM","noAFM","Urban",0.022575648661334
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0277225596043697
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00827444439131752
"REF_MFM","noAFM","Annual_crops",0.0828055135729216
"REF_MFM","noAFM","Pasture",0.0901803096443644
"REF_MFM","noAFM","Permanent_crops",0.0882024980272651
"REF_MFM","noAFM","Urban",0.0240508885941383
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0277306854344233
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00828855990741895
"REF_SFM","noAFM","Annual_crops",0.0827841450979204
"REF_SFM","noAFM","Pasture",0.0901803716910624
"REF_SFM","noAFM","Permanent_crops",0.0882016866843859
"REF_SFM","noAFM","Urban",0.0240499267365571
"RCP2.6_MFM","AFMfree","Afforestation",0.00459178330253063
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0314316223345634
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0343064122555681
"RCP2.6_MFM","AFMfree","Annual_crops",0.0114503811378384
"RCP2.6_MFM","AFMfree","Pasture",0.0794563963895079
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0855887708206879
"RCP2.6_MFM","AFMfree","Urban",0.0224248428652633
"RCP2.6_SFM","AFMfree","Afforestation",0.00459187857733339
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0314507157275332
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.034256335857348
"RCP2.6_SFM","AFMfree","Annual_crops",0.0114176956839704
"RCP2.6_SFM","AFMfree","Pasture",0.0794613979382076
"RCP2.6_SFM","AFMfree","Permanent_crops",0.0855938604079039
"RCP2.6_SFM","AFMfree","Urban",0.0224216050802743
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.0242699312124991
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00791899706887859
"REF_MFM","AFMfree","Annual_crops",0.0824740192871102
"REF_MFM","AFMfree","Pasture",0.0900317144427772
"REF_MFM","AFMfree","Permanent_crops",0.087818705132718
"REF_MFM","AFMfree","Urban",0.0239319282096268
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.0247768833324312
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00793689653846123
"REF_SFM","AFMfree","Annual_crops",0.0826312738609122
"REF_SFM","AFMfree","Pasture",0.0901454006079291
"REF_SFM","AFMfree","Permanent_crops",0.0879304575629933
"REF_SFM","AFMfree","Urban",0.0239737373593736
"RCP2.6_MFM","AFM25","Afforestation",0.004582549889635
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0296915273512466
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0347463433583583
"RCP2.6_MFM","AFM25","Annual_crops",0.0112071461751532
"RCP2.6_MFM","AFM25","Pasture",0.0792444523593247
"RCP2.6_MFM","AFM25","Permanent_crops",0.0854916183017785
"RCP2.6_MFM","AFM25","Urban",0.0223948048896031
"RCP2.6_SFM","AFM25","Afforestation",0.00458229996588445
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.0295173359566832
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0353313067420106
"RCP2.6_SFM","AFM25","Annual_crops",0.0110480251304011
"RCP2.6_SFM","AFM25","Pasture",0.0790775131044623
"RCP2.6_SFM","AFM25","Permanent_crops",0.0855219386173458
"RCP2.6_SFM","AFM25","Urban",0.022419794491601
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.0247519494749399
"REF_MFM","AFM25","Energy_crops_and_plantations",0.00798368604851518
"REF_MFM","AFM25","Annual_crops",0.082628702026077
"REF_MFM","AFM25","Pasture",0.0900717451762184
"REF_MFM","AFM25","Permanent_crops",0.0880730174973772
"REF_MFM","AFM25","Urban",0.0239219879896553
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Forest",0.0256960109991901
"REF_SFM","AFM25","Energy_crops_and_plantations",0.00812323449260023
"REF_SFM","AFM25","Annual_crops",0.0827893574794394
"REF_SFM","AFM25","Pasture",0.090287776851495
"REF_SFM","AFM25","Permanent_crops",0.0882406762152567
"REF_SFM","AFM25","Urban",0.0240123734955956
"RCP2.6_MFM","AFM50","Afforestation",0.00457480476053707
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Forest",0.0277925049220204
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",0.0351541198618661
"RCP2.6_MFM","AFM50","Annual_crops",0.0110975590171596
"RCP2.6_MFM","AFM50","Pasture",0.0790055350119436
"RCP2.6_MFM","AFM50","Permanent_crops",0.0854208844032979
"RCP2.6_MFM","AFM50","Urban",0.0223598448166718
"RCP2.6_SFM","AFM50","Afforestation",0.00457349945935975
"RCP2.6_SFM","AFM50","Regrowth",0
"RCP2.6_SFM","AFM50","Forest",0.0274624374952406
"RCP2.6_SFM","AFM50","Energy_crops_and_plantations",0.036324117726111
"RCP2.6_SFM","AFM50","Annual_crops",0.0107320758616038
"RCP2.6_SFM","AFM50","Pasture",0.0786955840002593
"RCP2.6_SFM","AFM50","Permanent_crops",0.0854444267343946
"RCP2.6_SFM","AFM50","Urban",0.0223922252882417
"REF_MFM","AFM50","Afforestation",0
"REF_MFM","AFM50","Regrowth",0
"REF_MFM","AFM50","Forest",0.0241331287755952
"REF_MFM","AFM50","Energy_crops_and_plantations",0.00809432520021318
"REF_MFM","AFM50","Annual_crops",0.0826644740350414
"REF_MFM","AFM50","Pasture",0.0901692559394382
"REF_MFM","AFM50","Permanent_crops",0.0881886458718929
"REF_MFM","AFM50","Urban",0.0239442578270746
"REF_SFM","AFM50","Afforestation",0
"REF_SFM","AFM50","Regrowth",0
"REF_SFM","AFM50","Forest",0.0239075301014733
"REF_SFM","AFM50","Energy_crops_and_plantations",0.00866613933665418
"REF_SFM","AFM50","Annual_crops",0.0824217238929923
"REF_SFM","AFM50","Pasture",0.0899956723383212
"REF_SFM","AFM50","Permanent_crops",0.0881163756543109
"REF_SFM","AFM50","Urban",0.023986259881451
"RCP2.6_MFM","AFM75","Afforestation",0.00457378415617225
"RCP2.6_MFM","AFM75","Regrowth",0
"RCP2.6_MFM","AFM75","Forest",0.0259653010145061
"RCP2.6_MFM","AFM75","Energy_crops_and_plantations",0.0358776149435155
"RCP2.6_MFM","AFM75","Annual_crops",0.0108173207460945
"RCP2.6_MFM","AFM75","Pasture",0.0790117387344744
"RCP2.6_MFM","AFM75","Permanent_crops",0.0856644100240413
"RCP2.6_MFM","AFM75","Urban",0.0224049583975232
"RCP2.6_SFM","AFM75","Afforestation",0.00456483195609591
"RCP2.6_SFM","AFM75","Regrowth",0
"RCP2.6_SFM","AFM75","Forest",0.0255348994319935
"RCP2.6_SFM","AFM75","Energy_crops_and_plantations",0.0369978031093775
"RCP2.6_SFM","AFM75","Annual_crops",0.0105375252082681
"RCP2.6_SFM","AFM75","Pasture",0.0784080252002702
"RCP2.6_SFM","AFM75","Permanent_crops",0.0853660730365446
"RCP2.6_SFM","AFM75","Urban",0.0223631049283607
"REF_MFM","AFM75","Afforestation",0
"REF_MFM","AFM75","Regrowth",0
"REF_MFM","AFM75","Forest",0.0225825468502583
"REF_MFM","AFM75","Energy_crops_and_plantations",0.00829780839310846
"REF_MFM","AFM75","Annual_crops",0.0827491786149302
"REF_MFM","AFM75","Pasture",0.0902539765901781
"REF_MFM","AFM75","Permanent_crops",0.088445094799617
"REF_MFM","AFM75","Urban",0.0239684750843153
"REF_SFM","AFM75","Afforestation",0
"REF_SFM","AFM75","Regrowth",0
"REF_SFM","AFM75","Forest",0.0212710027100539
"REF_SFM","AFM75","Energy_crops_and_plantations",0.0093530504859193
"REF_SFM","AFM75","Annual_crops",0.0817114345883287
"REF_SFM","AFM75","Pasture",0.0897602595890052
"REF_SFM","AFM75","Permanent_crops",0.087885657177854
"REF_SFM","AFM75","Urban",0.0239746007098992
"RCP2.6_MFM","AFM100","Afforestation",0.00458164908687024
"RCP2.6_MFM","AFM100","Regrowth",0
"RCP2.6_MFM","AFM100","Forest",0.0240710121365566
"RCP2.6_MFM","AFM100","Energy_crops_and_plantations",0.0362999454245691
"RCP2.6_MFM","AFM100","Annual_crops",0.0108497821195291
"RCP2.6_MFM","AFM100","Pasture",0.0792910867436959
"RCP2.6_MFM","AFM100","Permanent_crops",0.0861725064689974
"RCP2.6_MFM","AFM100","Urban",0.0224878091228422
"RCP2.6_SFM","AFM100","Afforestation",0.00455757986913519
"RCP2.6_SFM","AFM100","Regrowth",0
"RCP2.6_SFM","AFM100","Forest",0.0240302758951004
"RCP2.6_SFM","AFM100","Energy_crops_and_plantations",0.037914321115013
"RCP2.6_SFM","AFM100","Annual_crops",0.0103789364537501
"RCP2.6_SFM","AFM100","Pasture",0.0781229289230197
"RCP2.6_SFM","AFM100","Permanent_crops",0.0853203972332598
"RCP2.6_SFM","AFM100","Urban",0.0223372331767853
"REF_MFM","AFM100","Afforestation",0
"REF_MFM","AFM100","Regrowth",0
"REF_MFM","AFM100","Forest",0.0210270306123876
"REF_MFM","AFM100","Energy_crops_and_plantations",0.00858156341020968
"REF_MFM","AFM100","Annual_crops",0.0829636357991087
"REF_MFM","AFM100","Pasture",0.0904797892634934
"REF_MFM","AFM100","Permanent_crops",0.088954650205044
"REF_MFM","AFM100","Urban",0.023999927173312
"REF_SFM","AFM100","Afforestation",0
"REF_SFM","AFM100","Regrowth",0
"REF_SFM","AFM100","Forest",0.0195202078557286
"REF_SFM","AFM100","Energy_crops_and_plantations",0.00990831613662191
"REF_SFM","AFM100","Annual_crops",0.0810473878600531
"REF_SFM","AFM100","Pasture",0.0893874655147774
"REF_SFM","AFM100","Permanent_crops",0.0877030499242438
"REF_SFM","AFM100","Urban",0.0238888088827638
