"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00276547938898082,0,0
"RCP2.6_SFM","noAFM",0.00276543943798579,0,0
"REF_MFM","noAFM",0.00321236213834377,0,0
"REF_SFM","noAFM",0.00321235375551768,0,0
"RCP2.6_MFM","AFMfree",0.0026925020910596,0,0
"RCP2.6_SFM","AFMfree",0.00269193489272571,0,0
"REF_MFM","AFMfree",0.0031644529535361,0,0
"REF_SFM","AFMfree",0.00317394649262101,0,0
"RCP2.6_MFM","AFM25",0.00267358442325099,0,0
"RCP2.6_SFM","AFM25",0.00267498214008388,0,0
"REF_MFM","AFM25",0.00317431088212783,0,0
"REF_SFM","AFM25",0.00319149429533577,0,0
"RCP2.6_MFM","AFM50",0.00265405252793496,0,0
"RCP2.6_SFM","AFM50",0.00265624366565211,0,0
"REF_MFM","AFM50",0.00317194087649255,0,0
"REF_SFM","AFM50",0.00317093701205203,0,0
"RCP2.6_MFM","AFM75",0.00264315128016327,0,0
"RCP2.6_SFM","AFM75",0.0026377226287091,0,0
"REF_MFM","AFM75",0.00316297080332407,0,0
"REF_SFM","AFM75",0.0031395600526106,0,0
"RCP2.6_MFM","AFM100",0.0026375379110306,0,0
"RCP2.6_SFM","AFM100",0.00262661672666063,0,0
"REF_MFM","AFM100",0.00316006596463555,0,0
"REF_SFM","AFM100",0.00311455236174189,0,0
