"Scenario","Category","Values"
"RCP_MFM_AF0","Wood_forest_EU",838
"RCP_MFM_AF0","Wood_EP_EU",279
"RCP_MFM_AF0","Wood_forest_im",223.476825682
"RCP_MFM_AF0","Wood_EP_im",201.308860904
"RCP_MFM_AF0","Wood_forest_ex",115
"RCP_MFM_AF0","Wood_Byproducts",22.081977984
"RCP_MFM_AF100","Wood_forest_EU",588
"RCP_MFM_AF100","Wood_EP_EU",318
"RCP_MFM_AF100","Wood_forest_im",329.749596206
"RCP_MFM_AF100","Wood_EP_im",328.635251838
"RCP_MFM_AF100","Wood_forest_ex",111
"RCP_MFM_AF100","Wood_Byproducts",27.847444306
"RCP_MFM_AF25","Wood_forest_EU",783
"RCP_MFM_AF25","Wood_EP_EU",295
"RCP_MFM_AF25","Wood_forest_im",237.335106641
"RCP_MFM_AF25","Wood_EP_im",229.662164441
"RCP_MFM_AF25","Wood_forest_ex",114
"RCP_MFM_AF25","Wood_Byproducts",23.720610807
"RCP_MFM_AF50","Wood_forest_EU",719
"RCP_MFM_AF50","Wood_EP_EU",303
"RCP_MFM_AF50","Wood_forest_im",267.459323787
"RCP_MFM_AF50","Wood_EP_im",262.380481963
"RCP_MFM_AF50","Wood_forest_ex",113
"RCP_MFM_AF50","Wood_Byproducts",26.989355821
"RCP_MFM_AF75","Wood_forest_EU",656
"RCP_MFM_AF75","Wood_EP_EU",318
"RCP_MFM_AF75","Wood_forest_im",299.508627446
"RCP_MFM_AF75","Wood_EP_im",284.253934438
"RCP_MFM_AF75","Wood_forest_ex",111
"RCP_MFM_AF75","Wood_Byproducts",27.60601131
"RCP_MFM_noAF","Wood_forest_EU",746
"RCP_MFM_noAF","Wood_EP_EU",298
"RCP_MFM_noAF","Wood_forest_im",299.700074474
"RCP_MFM_noAF","Wood_EP_im",227.747803041
"RCP_MFM_noAF","Wood_forest_ex",112
"RCP_MFM_noAF","Wood_Byproducts",24.662972699
"RCP_SFM_AF0","Wood_forest_EU",837
"RCP_SFM_AF0","Wood_EP_EU",283
"RCP_SFM_AF0","Wood_forest_im",226.291515548
"RCP_SFM_AF0","Wood_EP_im",196.183891352
"RCP_SFM_AF0","Wood_forest_ex",115
"RCP_SFM_AF0","Wood_Byproducts",19.914165581
"RCP_SFM_AF100","Wood_forest_EU",252
"RCP_SFM_AF100","Wood_EP_EU",361
"RCP_SFM_AF100","Wood_forest_im",558.174896295
"RCP_SFM_AF100","Wood_EP_im",443.716633293
"RCP_SFM_AF100","Wood_forest_ex",109
"RCP_SFM_AF100","Wood_Byproducts",38.364257684
"RCP_SFM_AF25","Wood_forest_EU",705
