"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0",2000,0.00060564308635255,1.441371921581e-05,9.7375880653536e-06,1.29015153596658e-05,2.93464756418283e-05,2.83293848293591e-05,2.04900307200884e-05,6.11265416186242e-05,2.32313449309542e-06,1.83111962004487e-06,2.95850002195741e-06,0,4.11421564860548e-05,0,0,2.90387267865114e-07,0,0,0,0,0,0,0,0,0,4.59280055748972e-06,3.12930114882033e-07,1.66803863325065e-06,3.61582440626921e-06,2.26375016732579e-05
"RCP_MFM_AF0",2010,0.000594315931375652,1.43605046486666e-05,9.53221961698888e-06,1.2812991388399e-05,3.02036035956974e-05,2.84519014308608e-05,2.1086675291442e-05,6.12796982464497e-05,2.25390587443515e-06,2.13828881731313e-06,2.95249425201178e-06,0,4.10342124802016e-05,0,0,2.99212473914333e-07,0,0,0,0,0,0,0,2.40101657490662e-06,5.27448101030883e-06,4.31895852971885e-06,3.12990462614516e-07,1.64539038558885e-06,3.59061664381723e-06,2.23759071674217e-05
"RCP_MFM_AF0",2020,0.0006127700955198,1.44761349069013e-05,9.58087751365375e-06,1.29240396534243e-05,3.07529835063846e-05,2.8666626324683e-05,2.13960157869641e-05,6.15562072895248e-05,2.36283841934121e-06,2.38200459346272e-06,2.97749341423654e-06,0,4.14541417379822e-05,0,0,3.03607642454426e-07,0,0,0,3.12374176175869e-06,1.46113322657484e-05,5.02121512283543e-05,0,2.50127452940085e-06,5.47105952790308e-06,4.16110576944897e-06,3.13770092666975e-07,1.71985911850514e-06,3.58837740455823e-06,2.27419211782052e-05
"RCP_MFM_AF0",2030,0.000600240316214849,1.44454531968175e-05,9.56021671251224e-06,1.28933256588867e-05,3.02803308489295e-05,2.87200913325464e-05,2.07994304780476e-05,6.15436479362859e-05,2.34974181878199e-06,2.38957964285919e-06,2.97080414095194e-06,2.96805824379607e-07,4.11447655013765e-05,0,0,3.13553756564631e-07,0,0,0,5.34241963809258e-06,1.44191831356027e-05,5.66966435877681e-05,0,2.3306461046337e-06,5.57804926382328e-06,4.14248865354361e-06,3.16362495198225e-07,1.77733471525002e-06,3.61006976874469e-06,2.30847553956503e-05
"RCP_MFM_AF0",2040,0.000598294772022246,1.4433521212874e-05,9.56549549305779e-06,1.30115348822942e-05,3.03168024650915e-05,2.88027086299804e-05,2.06128762120014e-05,6.16035328482122e-05,2.30661365888538e-06,2.39592525154339e-06,2.96260398381581e-06,2.91910087896504e-07,4.15957587804821e-05,0,0,3.2642620120566e-07,0,0,0,5.47891804536167e-06,1.36856130703051e-05,5.16072128942389e-05,4.21605613284465e-05,2.30255854397922e-06,5.76044888972871e-06,4.13651681932765e-06,3.11496115991045e-07,1.81955936568218e-06,3.54302025830603e-06,2.3183211056988e-05
"RCP_MFM_AF0",2050,0.00054749976784426,1.44128300103313e-05,9.61901599404273e-06,1.30367523090466e-05,2.98084360726805e-05,2.88335184412844e-05,2.01860217206103e-05,6.15568032628121e-05,2.34165639039153e-06,2.41013902981883e-06,2.95891406808362e-06,2.89369124915087e-07,4.08924611592842e-05,0,0,3.39868105410709e-07,0,0,0,5.52182702850157e-06,1.2854912082104e-05,5.40660725685037e-05,4.54262858443628e-05,2.20880875731258e-06,6.16638021590416e-06,4.12852088741343e-06,3.11339184729021e-07,1.8790431067164e-06,3.5316491357499e-06,2.32769787800941e-05
"RCP_MFM_AF0",2060,0.000465768789446374,1.43128183335027e-05,9.58958259184687e-06,1.30327083316151e-05,2.9451148024687e-05,2.88593284950863e-05,1.96403991746467e-05,6.15301355335747e-05,2.46308357205393e-06,2.45329757074451e-06,2.94439947951224e-06,3.02290656858629e-07,4.34995802960246e-05,0,0,3.61397365243853e-07,0,0,0,5.40625112300475e-06,1.25628893353287e-05,5.40562119501031e-05,5.57774200006413e-05,2.10999461797494e-06,6.2526725783576e-06,4.11804485197692e-06,3.10698629729882e-07,1.95346106011494e-06,3.49858195213471e-06,2.3517715000575e-05
"RCP_MFM_AF0",2070,0.000358233346723574,1.4114029132043e-05,9.48566739878342e-06,1.29468979624395e-05,2.85914441913771e-05,2.8888334654919e-05,1.91796601738683e-05,6.15031158487843e-05,2.76763160935306e-06,2.57907624240218e-06,2.90957335905168e-06,3.01675382612005e-07,4.35855608415546e-05,0,0,3.70522471582772e-07,0,0,0,6.66865448795607e-06,1.1872703636818e-05,5.0517987524108e-05,5.27561386307461e-05,1.96207027626557e-06,6.16736711381267e-06,4.03551498657196e-06,3.08115847749009e-07,2.09813651567592e-06,3.40464958907368e-06,2.45540127510516e-05
"RCP_MFM_AF0",2080,0.000226122909719789,1.39081781022038e-05,9.5886076282739e-06,1.28386697098561e-05,2.75233929597188e-05,2.89505801697098e-05,1.85197008029006e-05,6.14962334234698e-05,2.90082312891366e-06,2.86672842954416e-06,2.8829029838878e-06,3.08692773176899e-07,4.06037702028615e-05,0,0,3.73462344543583e-07,0,0,0,6.75552147670461e-06,1.16372968736821e-05,4.85844439932939e-05,4.92307923903447e-05,1.88561199925946e-06,6.43023358191075e-06,3.86457830166032e-06,3.08402911245723e-07,2.32304476303754e-06,3.39214303605307e-06,2.59373604012675e-05
"RCP_MFM_AF0",2090,0.000168174979888249,1.38195309100884e-05,9.50813838072581e-06,1.27311721204974e-05,2.61434278175532e-05,2.89576501687271e-05,1.76223166763289e-05,6.14495122419923e-05,2.97251586902328e-06,3.12651695508185e-06,2.86943780092087e-06,3.11368545504993e-07,4.27150320982184e-05,0,0,3.819252913319e-07,0,0,0,8.91243265756454e-06,1.13730848190972e-05,4.64298909343587e-05,5.33267007028586e-05,1.71458586714194e-06,6.78786746527984e-06,3.64257263651869e-06,3.08803289000447e-07,2.57737358329247e-06,3.38742233639006e-06,2.76554491578463e-05
"RCP_MFM_AF0",2100,0.000115343519925467,1.37690602692605e-05,9.50925212452872e-06,1.26530716160867e-05,2.49112080968366e-05,2.88520297751079e-05,1.64376786009535e-05,6.11950727712378e-05,3.02041459115911e-06,3.31061067600506e-06,2.85740609786418e-06,3.07776811513587e-07,4.18392667817731e-05,0,0,4.227266464918e-07,0,0,0,1.01088743197689e-05,1.1096164964918e-05,4.32725776721409e-05,5.91203430618737e-05,1.55570963044912e-06,6.87383284220457e-06,3.41816352170029e-06,3.08341611185183e-07,2.77091418651401e-06,3.37220616399036e-06,2.90350785815769e-05
"RCP_MFM_AF100",2000,0.000605642539587941,1.44137098855578e-05,9.73757767173519e-06,1.29015026471786e-05,2.93464560538659e-05,2.83293607522107e-05,2.04900237186331e-05,6.11264938689597e-05,2.32312531482797e-06,1.82777021087469e-06,2.95849250095749e-06,0,4.1121542727744e-05,0,0,2.90386488603927e-07,0,0,0,0,0,0,0,0,0,4.59287067437833e-06,3.12907003828739e-07,1.66804697260327e-06,3.61546960493146e-06,2.26370836650338e-05
"RCP_MFM_AF100",2010,0.000594315321486475,1.43604940631306e-05,9.53220918323198e-06,1.28129771955602e-05,3.02035708880328e-05,2.84518617310117e-05,2.1086664053856e-05,6.12796337541367e-05,2.2538962481997e-06,2.13459590318482e-06,2.9524860274401e-06,0,4.09850166501053e-05,0,0,2.99211632919886e-07,0,0,0,0,0,0,0,2.40101211151381e-06,5.27447824996902e-06,4.31904773717095e-06,3.12965260864433e-07,1.6454007663082e-06,3.59023322006065e-06,2.23753583565765e-05
"RCP_MFM_AF100",2020,0.000612638270165363,1.44751782814105e-05,9.5785672720943e-06,1.29164983105794e-05,3.07529437937261e-05,2.86666465349905e-05,2.1396019492548e-05,6.15560727724255e-05,2.36387556896572e-06,2.34894487220867e-06,2.9767845196474e-06,0,4.13983821760335e-05,0,0,3.03257231101837e-07,0,0,0,3.1252229350471e-06,1.47371530287786e-05,5.02121773933332e-05,8.76536480436638e-05,2.50157031913627e-06,5.47104737748322e-06,4.16333344736415e-06,3.12691877447484e-07,1.72098711933262e-06,3.55689345575442e-06,2.27478557135e-05
"RCP_MFM_AF100",2030,0.000599770101286419,1.44370531674806e-05,9.55468229979021e-06,1.28788487679673e-05,3.02801316913186e-05,2.87199075093811e-05,2.07993414779341e-05,6.15434152116326e-05,2.38583841238318e-06,2.37208965005432e-06,2.96825443541719e-06,0,4.11792356599317e-05,0,0,2.94801150573531e-07,0,0,0,5.33957515545673e-06,1.43902110741274e-05,5.66966351739987e-05,8.80477895006684e-05,2.32984812033651e-06,5.57800757933156e-06,4.14490889025932e-06,3.15156119716598e-07,1.77865025124498e-06,3.58334092851837e-06,2.30927807256559e-05
"RCP_MFM_AF100",2040,0.000597216368728691,1.44262239404407e-05,9.56179542095428e-06,1.2995645241236e-05,3.03177204035453e-05,2.88030856354822e-05,2.06131595118724e-05,6.16037164796408e-05,2.40468922322814e-06,2.40290127755979e-06,2.95983760258004e-06,0,4.17820884733495e-05,0,0,2.9023364709923e-07,0,0,0,5.4734841756373e-06,1.31849838427625e-05,5.16065238043964e-05,4.03167918417627e-05,2.30140558962095e-06,5.76040462932393e-06,4.137998058121e-06,3.10051922043717e-07,1.8211162488812e-06,3.51427523700055e-06,2.31914396684919e-05
"RCP_MFM_AF100",2050,0.00054627618710861,1.44179464237323e-05,9.62303418856768e-06,1.30320474562823e-05,2.9809091102879e-05,2.88373320604532e-05,2.01875126773751e-05,6.15604351286769e-05,2.55324332832199e-06,2.43054264948441e-06,2.95739264731272e-06,0,4.36532640770469e-05,0,0,2.81699608940296e-07,0,0,0,5.52088677965178e-06,1.24542508280173e-05,5.40688668392275e-05,4.33839461656674e-05,2.20741501508258e-06,6.16652641426261e-06,4.12546602973591e-06,3.09570214191863e-07,1.88040096931716e-06,3.50063737861218e-06,2.32692187357542e-05
"RCP_MFM_AF100",2060,0.000463641334438366,1.43251806006518e-05,9.59978692811852e-06,1.30319880069143e-05,2.94416864932884e-05,2.88668201951126e-05,1.96407851725903e-05,6.15372521170361e-05,2.86846013124096e-06,2.48596068337952e-06,2.94344636204121e-06,0,4.51416589569558e-05,0,0,2.663466034359e-07,0,0,0,5.40001487041263e-06,1.20384504356428e-05,5.40641387070893e-05,5.67856442464121e-05,2.10981546992381e-06,6.25304995185532e-06,4.11676721967308e-06,3.08623852120909e-07,1.95448422957895e-06,3.46618961637198e-06,2.35104271923263e-05
"RCP_MFM_AF100",2070,0.000353094634146322,1.4106358559901e-05,9.48738905868576e-06,1.2927653919802e-05,2.8583040818809e-05,2.88999453345437e-05,1.91811361233026e-05,6.15138152133519e-05,3.28416614618287e-06,2.63330495678635e-06,2.90235095716954e-06,0,4.54160436539743e-05,0,0,2.46057401231764e-07,0,0,0,6.66530250129997e-06,1.12368691155062e-05,5.05332793438409e-05,4.98481153581931e-05,1.95740557656725e-06,6.16799318469559e-06,4.03668478604537e-06,3.05835220200764e-07,2.10060001116384e-06,3.37457075601338e-06,2.45540978816691e-05
"RCP_MFM_AF100",2080,0.000219301016324762,1.38767224081037e-05,9.57772275264714e-06,1.28041649638273e-05,2.75069756499254e-05,2.8963455757339e-05,1.85206620130072e-05,6.15081560408653e-05,3.52043622108446e-06,3.03285362347209e-06,2.86843304675828e-06,0,4.43909592872293e-05,0,0,2.34451243421702e-07,0,0,0,6.74316104925216e-06,1.1077749547845e-05,4.86032416884284e-05,4.52555759236755e-05,1.87666687422109e-06,6.43111635234231e-06,3.86820831213138e-06,3.06177044301376e-07,2.33088604570783e-06,3.36637711982348e-06,2.59440490703893e-05
