"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000",4.20878318640593e-05,7.23436266629791e-05,4.61388169417389e-05,0.000185065820988401,NA,NA,3.3801675264237e-05
"RCP_MFM_AF0","2010",3.80188657349315e-05,7.18544982229779e-05,4.30595558635046e-05,0.000199747186802842,NA,NA,2.98059931600033e-05
"RCP_MFM_AF0","2020",3.448533690791e-05,7.26372247629413e-05,4.04389754585359e-05,0.000207210318965077,7.01877925961248e-05,NA,2.65950357104986e-05
"RCP_MFM_AF0","2030",3.09555261141836e-05,7.24372513346183e-05,3.68729480116231e-05,0.000217647036042226,6.47597100738399e-05,NA,2.35255126723236e-05
"RCP_MFM_AF0","2040",2.75939037177048e-05,7.24305635210876e-05,3.42474722179394e-05,0.000250489801688566,6.25437021123132e-05,0.000157815191701991,2.03538471391838e-05
"RCP_MFM_AF0","2050",2.62917852916151e-05,7.20966396620559e-05,3.28683009065147e-05,0.000253847282944823,5.85785462300001e-05,0.000168630427717339,1.85623288324513e-05
"RCP_MFM_AF0","2060",2.65440648982703e-05,7.14711382266529e-05,3.26511729748235e-05,0.000278155542935611,5.74028787733468e-05,0.000192072594444273,1.81817124771195e-05
"RCP_MFM_AF0","2070",2.88764525475878e-05,7.08594905133698e-05,3.43073292248262e-05,0.000295763981771826,5.42451154239073e-05,0.000181334990501103,1.89370990601176e-05
"RCP_MFM_AF0","2080",2.92384401930205e-05,7.03141150281567e-05,3.43953207673007e-05,0.000314967247937715,5.35202261926316e-05,0.00017676501237789,1.81762019750286e-05
"RCP_MFM_AF0","2090",2.88092773259856e-05,6.99790773961029e-05,3.38567474838358e-05,0.000340021341866845,5.2510784115441e-05,0.000185574613550353,1.69800866921847e-05
"RCP_MFM_AF0","2100",2.79429065054247e-05,6.96997102554385e-05,3.29817653000224e-05,0.000340397105915983,5.15027288758943e-05,0.000202581740374895,1.55732651013772e-05
"RCP_MFM_AF100","2000",4.20876580938115e-05,7.23432361251379e-05,4.6138614148215e-05,0.000184913200537073,NA,NA,3.38012442139386e-05
"RCP_MFM_AF100","2010",3.80186940486253e-05,7.18540833612311e-05,4.30593479499446e-05,0.000199579020811522,NA,NA,2.98055748833493e-05
"RCP_MFM_AF100","2020",3.4726738522216e-05,7.2624924329376e-05,4.06786971906482e-05,0.00020288363704252,7.03142556283081e-05,0.000241411086067754,2.69045292206869e-05
