Scenario,Year,forest_EU_noex,forest_ex,forest_EU_ex,forest_im,EP_EU,EP_im,tot_noexport
RCP_MFM_noAF,2100,3.9E-05,7.1E-05,4.3E-05,3.5E-04,5.1E-05,2.0E-04,1.9E-05
RCP_MFM_AF25,2100,2.8E-05,6.9E-05,3.3E-05,3.3E-04,5.0E-05,2.0E-04,1.5E-05
RCP_MFM_AF50,2100,2.8E-05,6.9E-05,3.3E-05,3.1E-04,5.0E-05,2.0E-04,1.3E-05
RCP_MFM_AF75,2100,2.8E-05,7.0E-05,3.4E-05,3.4E-04,5.0E-05,2.0E-04,1.2E-05
RCP_MFM_AF100,2100,2.8E-05,6.9E-05,3.4E-05,3.3E-04,5.1E-05,1.9E-04,1.1E-05
RCP_SFM_noAF,2100,3.9E-05,7.1E-05,4.3E-05,3.5E-04,5.1E-05,2.0E-04,1.9E-05
RCP_SFM_AF25,2100,3.0E-05,7.2E-05,3.6E-05,3.3E-04,5.0E-05,2.0E-04,1.4E-05
RCP_SFM_AF50,2100,3.4E-05,7.6E-05,4.1E-05,3.7E-04,5.1E-05,1.9E-04,1.3E-05
RCP_SFM_AF75,2100,4.1E-05,8.2E-05,4.9E-05,3.5E-04,5.0E-05,1.9E-04,1.1E-05
RCP_SFM_AF100,2100,5.7E-05,9.0E-05,6.7E-05,3.5E-04,5.0E-05,1.9E-04,9.2E-06
REF_MFM_noAF,2100,4.0E-05,7.1E-05,4.6E-05,2.8E-04,6.1E-05,1.8E-04,2.3E-05
REF_MFM_AF25,2100,3.1E-05,7.1E-05,3.8E-05,2.5E-04,6.2E-05,1.7E-04,2.0E-05
REF_MFM_AF50,2100,3.1E-05,7.1E-05,3.8E-05,2.4E-04,6.2E-05,1.6E-04,1.9E-05
REF_MFM_AF75,2100,3.0E-05,7.1E-05,3.8E-05,2.6E-04,6.1E-05,1.7E-04,1.7E-05
REF_MFM_AF100,2100,2.9E-05,7.1E-05,3.8E-05,2.8E-04,5.9E-05,1.7E-04,1.5E-05
REF_SFM_noAF,2100,4.0E-05,7.1E-05,4.6E-05,2.9E-04,6.1E-05,1.5E-04,2.3E-05
REF_SFM_AF25,2100,3.5E-05,7.3E-05,4.2E-05,2.5E-04,6.1E-05,1.6E-04,2.1E-05
REF_SFM_AF50,2100,3.6E-05,7.8E-05,4.5E-05,3.1E-04,5.6E-05,1.7E-04,1.8E-05
REF_SFM_AF75,2100,3.9E-05,8.3E-05,5.1E-05,3.3E-04,5.6E-05,1.6E-04,1.4E-05
REF_SFM_AF100,2100,5.4E-05,9.1E-05,6.8E-05,3.6E-04,5.3E-05,1.6E-04,1.1E-05
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
