"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.182540942547657
"RCP2.6_MFM","noAFM","Regrowth",0.462862574586861
"RCP2.6_MFM","noAFM","Forest",1.46422080326306
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.588502826806181
"RCP2.6_MFM","noAFM","Annual_crops",2.7844865162936
"RCP2.6_MFM","noAFM","Pasture",5.96760680098264
"RCP2.6_MFM","noAFM","Permanent_crops",1.66853681062518
"RCP2.6_MFM","noAFM","Urban",0.911985448347054
"RCP2.6_SFM","noAFM","Afforestation",0.182543407970714
"RCP2.6_SFM","noAFM","Regrowth",0.462550249527698
"RCP2.6_SFM","noAFM","Forest",1.46589739225131
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.588220550635242
"RCP2.6_SFM","noAFM","Annual_crops",2.7846331603922
"RCP2.6_SFM","noAFM","Pasture",5.96778906748223
"RCP2.6_SFM","noAFM","Permanent_crops",1.6685794776688
"RCP2.6_SFM","noAFM","Urban",0.912002288287942
"REF_MFM","noAFM","Afforestation",0.181151371956042
"REF_MFM","noAFM","Regrowth",0.4125260674795
"REF_MFM","noAFM","Forest",1.44883048124017
"REF_MFM","noAFM","Energy_crops_and_plantations",0.134448714353587
"REF_MFM","noAFM","Annual_crops",3.25377756635776
"REF_MFM","noAFM","Pasture",7.45748893575763
"REF_MFM","noAFM","Permanent_crops",1.70071680731532
"REF_MFM","noAFM","Urban",0.927799048126022
"REF_SFM","noAFM","Afforestation",0.181152092468103
"REF_SFM","noAFM","Regrowth",0.412476618714395
"REF_SFM","noAFM","Forest",1.44906434686118
"REF_SFM","noAFM","Energy_crops_and_plantations",0.134336900495791
"REF_SFM","noAFM","Annual_crops",3.25386058734702
"REF_SFM","noAFM","Pasture",7.45752173978794
"REF_SFM","noAFM","Permanent_crops",1.70072657170412
"REF_SFM","noAFM","Urban",0.927801821696109
"RCP2.6_MFM","AFMfree","Afforestation",0.182527110339925
"RCP2.6_MFM","AFMfree","Regrowth",0.464325426251971
"RCP2.6_MFM","AFMfree","Forest",1.45247571930132
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.587987326461575
"RCP2.6_MFM","AFMfree","Annual_crops",2.78429323376146
"RCP2.6_MFM","AFMfree","Pasture",5.96686067097654
"RCP2.6_MFM","AFMfree","Permanent_crops",1.66789531790773
"RCP2.6_MFM","AFMfree","Urban",0.911832471849362
"RCP2.6_SFM","AFMfree","Afforestation",0.182528084050989
"RCP2.6_SFM","AFMfree","Regrowth",0.463861249946076
"RCP2.6_SFM","AFMfree","Forest",1.45489635335487
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.587428783130493
"RCP2.6_SFM","AFMfree","Annual_crops",2.78455633452999
"RCP2.6_SFM","AFMfree","Pasture",5.96717077952215
"RCP2.6_SFM","AFMfree","Permanent_crops",1.66797368350385
"RCP2.6_SFM","AFMfree","Urban",0.91185893190696
"REF_MFM","AFMfree","Afforestation",0.181138938852735
"REF_MFM","AFMfree","Regrowth",0.413999238366787
"REF_MFM","AFMfree","Forest",1.43637640269011
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.134265038283039
"REF_MFM","AFMfree","Annual_crops",3.25302281223571
"REF_MFM","AFMfree","Pasture",7.45631886751957
"REF_MFM","AFMfree","Permanent_crops",1.69994406399312
"REF_MFM","AFMfree","Urban",0.927643508037727
"REF_SFM","AFMfree","Afforestation",0.181139184404325
"REF_SFM","AFMfree","Regrowth",0.41394229816681
"REF_SFM","AFMfree","Forest",1.43676149399614
