"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Afforestation",0.00562307865368393
"RCP2.6_MFM","noAFM","Regrowth",0.00268932813180455
"RCP2.6_MFM","noAFM","Forest",0.0280884143262362
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0236124133649495
"RCP2.6_MFM","noAFM","Annual_crops",0.0185541433589651
"RCP2.6_MFM","noAFM","Pasture",0.037403941433044
"RCP2.6_MFM","noAFM","Permanent_crops",0.0166571602347811
"RCP2.6_MFM","noAFM","Urban",0.00906102547789857
"RCP2.6_SFM","noAFM","Afforestation",0.00562312101218372
"RCP2.6_SFM","noAFM","Regrowth",0.00268887239507702
"RCP2.6_SFM","noAFM","Forest",0.0280934006413967
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0236102319923326
"RCP2.6_SFM","noAFM","Annual_crops",0.0185557786343612
"RCP2.6_SFM","noAFM","Pasture",0.0374047271003708
"RCP2.6_SFM","noAFM","Permanent_crops",0.0166572449380168
"RCP2.6_SFM","noAFM","Urban",0.00906105240084438
"REF_MFM","noAFM","Afforestation",0.0031273623848331
"REF_MFM","noAFM","Regrowth",0.00314615067125214
"REF_MFM","noAFM","Forest",0.0173915485836171
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00222098821518746
"REF_MFM","noAFM","Annual_crops",0.0352897717190514
"REF_MFM","noAFM","Pasture",0.0754933739401063
"REF_MFM","noAFM","Permanent_crops",0.0171868089927397
"REF_MFM","noAFM","Urban",0.00931498154090504
"REF_SFM","noAFM","Afforestation",0.00312739614891867
"REF_SFM","noAFM","Regrowth",0.00314563158965558
"REF_SFM","noAFM","Forest",0.0173955042083933
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00222395923566043
"REF_SFM","noAFM","Annual_crops",0.03528863300999
"REF_SFM","noAFM","Pasture",0.0754916662115106
"REF_SFM","noAFM","Permanent_crops",0.0171870121605628
"REF_SFM","noAFM","Urban",0.00931503959565838
"RCP2.6_MFM","AFMfree","Afforestation",0.00562148703234539
"RCP2.6_MFM","AFMfree","Regrowth",0.00269772377983168
"RCP2.6_MFM","AFMfree","Forest",0.0278989771011869
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0235517215159086
"RCP2.6_MFM","AFMfree","Annual_crops",0.0185752076994008
"RCP2.6_MFM","AFMfree","Pasture",0.0374147747839859
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0166465687442548
"RCP2.6_MFM","AFMfree","Urban",0.00905847178915687
"RCP2.6_SFM","AFMfree","Afforestation",0.0056214240245888
"RCP2.6_SFM","AFMfree","Regrowth",0.00269686064627118
"RCP2.6_SFM","AFMfree","Forest",0.0278998591632581
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0235303024219134
"RCP2.6_SFM","AFMfree","Annual_crops",0.0185857946952157
"RCP2.6_SFM","AFMfree","Pasture",0.0374212305949559
"RCP2.6_SFM","AFMfree","Permanent_crops",0.0166464157319431
"RCP2.6_SFM","AFMfree","Urban",0.00905837885212141
"REF_MFM","AFMfree","Afforestation",0.00312711085552734
"REF_MFM","AFMfree","Regrowth",0.00316796144806434
"REF_MFM","AFMfree","Forest",0.0171987218830599
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00221931114409332
"REF_MFM","AFMfree","Annual_crops",0.0352777984141392
"REF_MFM","AFMfree","Pasture",0.0754723298768588
"REF_MFM","AFMfree","Permanent_crops",0.0171752572654371
"REF_MFM","AFMfree","Urban",0.00931211563766622
"REF_SFM","AFMfree","Afforestation",0.00312713747635782
"REF_SFM","AFMfree","Regrowth",0.0031671805869995
"REF_SFM","AFMfree","Forest",0.0172134802221767
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00221576472860503
"REF_SFM","AFMfree","Annual_crops",0.035282307975224
"REF_SFM","AFMfree","Pasture",0.0754751910267758
"REF_SFM","AFMfree","Permanent_crops",0.0171766032660713
"REF_SFM","AFMfree","Urban",0.00931261181715853
"RCP2.6_MFM","AFM25","Afforestation",0.00562145896334644
"RCP2.6_MFM","AFM25","Regrowth",0.00269722903934576
"RCP2.6_MFM","AFM25","Forest",0.0278766293464344
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0236110456963929
"RCP2.6_MFM","AFM25","Annual_crops",0.018546064835161
"RCP2.6_MFM","AFM25","Pasture",0.037392636168653
"RCP2.6_MFM","AFM25","Permanent_crops",0.0166452434495142
"RCP2.6_MFM","AFM25","Urban",0.00905814909619918
"RCP2.6_SFM","AFM25","Afforestation",0.0056220665711654
"RCP2.6_SFM","AFM25","Regrowth",0.00269091212546063
"RCP2.6_SFM","AFM25","Forest",0.0279413199775385
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0236819628883918
"RCP2.6_SFM","AFM25","Annual_crops",0.0185168699013153
"RCP2.6_SFM","AFM25","Pasture",0.037370824423512
"RCP2.6_SFM","AFM25","Permanent_crops",0.0166479433264817
"RCP2.6_SFM","AFM25","Urban",0.00905894839317582
"REF_MFM","AFM25","Afforestation",0.0031271145595298
